claim_id,paper_id,comparison_layer,claim,label,source_locator,source_url,project_implication,limitation_or_open_question
TR-C001,TR-P001,task_contract,MathTutorBench định nghĩa ba nhóm năng lực lớn và bảy nhiệm vụ với đầu vào đầu ra nhãn chuẩn và thước đo riêng,evidence,Sections 3.2 and 4.1; Table 1,https://arxiv.org/html/2502.18940v2,Nhiệm vụ phải là hợp đồng đầu vào-đầu ra rõ ràng thay vì một chiều chất lượng rộng,Bộ đánh giá không dùng một cấu trúc mẫu thống nhất cho cả bảy nhiệm vụ.
TR-C002,TR-P001,rubric_scope,Bốn nguyên tắc khoa học học tập định hướng sư phạm nhưng không được lưu thành bốn tiêu chí gắn với mọi mẫu,evidence,Section 3.2; Sections 4.3.1-4.3.3,https://arxiv.org/html/2502.18940v2,Không dùng MathTutorBench làm bằng chứng trực tiếp cho bốn tiêu chí chung bắt buộc,Bộ chấm cuối tổng hợp ưu tiên thành điểm ẩn thay vì xuất điểm theo tiêu chí.
TR-C003,TR-P001,reference_role,Nhiệm vụ sinh phản hồi mở so điểm của phản hồi mô hình với phản hồi giáo viên và báo tỷ lệ mô hình thắng giáo viên,evidence,Figure 2; Section 4.3; Table 4,https://arxiv.org/html/2502.18940v2,Phản hồi chuẩn có thể là đối chứng nhưng không nên là chuỗi đích duy nhất,Tính hợp lệ của phép so sánh phụ thuộc chất lượng phản hồi tham chiếu và hiệu chỉnh bộ chấm.
TR-C004,TR-P001,metric,Các nhiệm vụ có đầu ra cấu trúc dùng Accuracy BLEU F1 Micro-F1 hoặc độ chính xác đáp án còn phản hồi gia sư mở dùng tỷ lệ thắng của mô hình chấm điểm ưu tiên,evidence,Table 4,https://arxiv.org/html/2502.18940v2,Thước đo có thể thay đổi hợp lệ theo nhóm nhiệm vụ,Một điểm tổng duy nhất không phải trung tâm của thiết kế này.
TR-C005,TR-P002,instance_structure,KMP-Dialogue cắt hội thoại trước một lượt gia sư và dùng lượt bị cắt làm phản hồi tham chiếu,evidence,Section 3.1; Figure 3,https://arxiv.org/html/2603.02775v1,Đây là tiền lệ trực tiếp cho cách chuyển đổi một mẫu cho mỗi lượt gia sư,Chất lượng lượt gốc phải đủ tốt trước khi dùng để so sánh theo cặp.
TR-C006,TR-P002,task_label,Mỗi lượt gia sư đích trong KMP-Dialogue mang một hoặc hai trong sáu nguyên tắc sư phạm,evidence,Sections 2.3 and 3.1,https://arxiv.org/html/2603.02775v1,Nhãn nhiệm vụ hoặc kỹ năng phải được gán cho từng lượt ứng viên thay vì một lần cho cả hội thoại thô,Nguyên tắc là hành vi mong đợi và không tự động tương đương nhiệm vụ benchmark.
TR-C007,TR-P002,rubric_scope,KMP-Dialogue có thư viện 22 tiêu chí nhưng chỉ áp dụng bốn tiêu chí chung cộng ba tiêu chí cho mỗi nguyên tắc đích,evidence,Section 3.1; Figure 3; Appendix F,https://arxiv.org/html/2603.02775v1,Mẫu có một nguyên tắc nhận bảy tiêu chí và mẫu có hai nguyên tắc nhận mười tiêu chí thay vì cả 22,Bài báo chỉ minh họa tên của một phần trong 22 tiêu chí.
TR-C008,TR-P002,judgment,Bộ chấm xuất Win Tie hoặc Lose cho mỗi tiêu chí áp dụng và một phán quyết tổng thể riêng,evidence,Section 3.1; Appendix F,https://arxiv.org/html/2603.02775v1,Đầu ra theo tiêu chí và đầu ra tổng thể phải được giữ riêng,Đề dẫn hạn chế chọn Tie nên không thể mặc nhiên coi Tie là nửa điểm.
TR-C009,TR-P002,aggregation,Điểm chung là trung bình tỷ lệ thắng của bốn tiêu chí chung; điểm mỗi nguyên tắc là trung bình ba tiêu chí; điểm tổng là trung bình của điểm chung và trung bình sáu nguyên tắc,evidence,Section 4.1,https://arxiv.org/html/2603.02775v1,Nên báo điểm thành phần trước mọi điểm tổng hợp,Đây là phép tổng hợp cấp mô hình chứ không phải điểm rubric có trọng số ở cấp mẫu.
TR-C010,TR-P002,task_contract,KMP-Skills dùng bộ chấm riêng theo nhiệm vụ cho giải bài nhiều lượt chẩn đoán lỗi và tạo bài toán,evidence,Section 3.2,https://arxiv.org/html/2603.02775v1,Nhiệm vụ chẩn đoán có đầu ra cấu trúc có thể tách khỏi nhiệm vụ sinh phản hồi gia sư mở,Các mẫu HNMU hiện tại đều nhắm tới một phản hồi gia sư mở.
