claim_id,design_area,claim_vi,support_label,source_ids,evidence_locations,evidence_summary_vi,project_relevance_vi,transfer_limitations_vi,p04_action_vi,human_decision_needed,notes
P03-C001,task_taxonomy,Benchmark gia sư cần tách năng lực giải đúng bài/kiến thức khỏi năng lực dạy học/gia sư.,bằng chứng,P03-P001;P03-P002;P03-P003,"P001 Section 1, Section 6.1, Table 4; P002 Abstract, Introduction, Main Results; P003 Abstract, Section 1","Cả ba paper đều chỉ ra benchmark kiến thức hoặc problem-solving accuracy không đủ để đánh giá tutor. MathTutorBench và KMP-Bench nêu rõ model giỏi giải bài vẫn có thể yếu ở năng lực sư phạm; TutorBench nhấn mạnh các năng lực như thích ứng, hướng dẫn và hỗ trợ học sinh.","P04 không nên thiết kế task chỉ như hỏi-đáp Tin học. Cần đánh giá phản hồi gia sư trong bối cảnh học sinh có hiểu lầm, lời giải sai, hoặc đang mắc kẹt.","Nguồn chủ yếu là Toán/STEM, không phải Tin học 9 Việt Nam; cần HNMU xác nhận ví dụ chuyên môn.","Dùng claim này làm nguyên tắc lõi: cột task nên mô tả hành vi gia sư cần đánh giá, không chỉ mô tả mức Bloom hay nội dung kiến thức.",no,Claim nền tảng mạnh nhất từ 3 paper A.
P03-C002,task_taxonomy,"Benchmark nên có nhóm task đánh giá hiểu/chẩn đoán trạng thái học sinh: đúng-sai, vị trí lỗi, loại hiểu lầm, hoặc điểm học sinh đang mắc.",bằng chứng,P03-P001;P03-P002;P03-P003,"P001 Section 4.1, Table 1; P002 KMP-Skills, Table 2; P003 Section 2.1, Section 3.5","MathTutorBench có Student Solution Correctness, Mistake Location, Mistake Correction. KMP-Bench có Error Detection and Correction. TutorBench có assessment/feedback và tutoring-skill tags về nhận diện bước đúng/sai, core misconception.","Tin học 9 có nhiều dạng lỗi: hiểu sai khái niệm, sai thuật toán, sai cú pháp/code, sai cách diễn giải đề. Task/rubric cần yêu cầu tutor nhận diện các lỗi này.","Cách phân loại lỗi Tin học phải dựa SGK/SGV và giáo viên HNMU, không lấy taxonomy lỗi Toán áp nguyên xi.",Tạo nhóm task hoặc nhãn phụ “chẩn đoán/feedback” cho các mức Bloom liên quan.,yes,Cần P02/học liệu để chuẩn hóa loại lỗi Tin học.
P03-C003,rubric_and_serious_error,"Khi mục tiêu là gợi mở/active learning, tutor không nên tiết lộ đáp án ngay; vi phạm này cần được đánh dấu rõ.",bằng chứng,P03-P001;P03-P003,"P001 Section 3.2, Section 4.3, Figure 7; P003 Section 2.1, Section 2.3, Figure 1",MathTutorBench nhấn mạnh scaffolding bằng câu hỏi/gợi ý thay vì đưa lời giải. TutorBench dùng active learning support và có ví dụ penalty âm khi response tiết lộ final answer trong bối cảnh hint.,Rất phù hợp với task gia sư khi học sinh đang mắc kẹt và cần tự đi tiếp.,"Không phải mọi tình huống đều cấm trả lời trực tiếp; nếu học sinh hỏi khái niệm hoặc đã cần tổng kết, tutor có thể cần giải thích rõ.",Đưa vào serious-error policy hoặc rubric ràng buộc theo task: “lộ đáp án khi task yêu cầu gợi mở”.,yes,Cần quy định ngoại lệ để không biến mọi câu trả lời trực tiếp thành lỗi.
P03-C004,task_taxonomy,"Các task ban đầu nên dựa trên hành vi gia sư trong hội thoại: giải thích thích ứng, phản hồi bài làm/lời giải, gợi ý học tập chủ động, và có thể chẩn đoán lỗi/hiểu lầm.",bằng chứng,P03-P003,"P003 Section 2.1, Conclusion","TutorBench xây dựng ba use case: Adaptive Explanation Generation, Assessment and Feedback, Active Learning Support.","Rất phù hợp với phiếu tác giả: cột task nên cho giáo viên biết gia sư đang phải làm gì, còn Bloom nên là cột riêng “Mức độ nhận thức”.",TutorBench nêu ba use case rõ; MathTutorBench/KMP-Bench bổ sung mạnh phần chẩn đoán lỗi. Cần P04/HNMU chốt T4 là task riêng hay nhãn kỹ năng phụ để tránh chồng với feedback/scaffolding.,Dùng hành vi gia sư làm cơ sở đặt task. Đề xuất T1 giải thích thích ứng; T2 phản hồi bài làm/lời giải; T3 gợi ý từng bước; T4 chẩn đoán lỗi/hiểu lầm ở trạng thái needs_hnmu_review hoặc nhãn phụ. Bloom chuyển thành cột “Mức độ nhận thức”.,yes,Cập nhật sau phản hồi 06/07/2026: không dùng Bloom làm task chính; Bloom là metadata/cột phiếu tác giả.
P03-C005,rubric_design,"Rubric/tiêu chí chấm cần cụ thể, quan sát được từ response/hội thoại, và tránh chồng chéo.",bằng chứng,P03-P002;P03-P003,P002 Evaluation Framework; P003 Section 2.3,"KMP-Bench dùng general criteria và principle-specific criteria theo từng tutor turn. TutorBench yêu cầu sample-specific rubrics self-contained, mutually exclusive, verifiable và chấm pass/fail.",HNMU/UET cần rubric đủ rõ để reviewer nhìn vào câu trả lời của tutor và chấm nhất quán.,TutorBench/KMP dùng nhiều criteria; dự án muốn 3–4 tiêu chí nên cần gom nhóm.,Thiết kế compact rubric 3–4 tiêu chí nhưng mỗi tiêu chí phải có dấu hiệu quan sát được và ví dụ lỗi.,no,Claim mạnh cho form rubric P04.
P03-C006,rubric_design,"Rubric của dự án nên rút gọn thành bộ tiêu chí compact khoảng 4–5 tiêu chí, đồng thời tách độ chính xác kiến thức khỏi tuân thủ phạm vi/ranh giới.",suy luận,P03-P002;P03-P003,P002 Evaluation Framework; P003 Section 2.3,"KMP-Bench dùng 22 tiêu chí; TutorBench dùng 3–39 criteria mỗi sample. Hai paper cho thấy lợi ích của tiêu chí cụ thể nhưng cũng cho thấy độ phức tạp cao. Phiếu tác giả hiện đã có trường riêng cho độ chính xác kiến thức và tuân thủ ranh giới, nên không nên gộp hai ý này vào một rubric mơ hồ.","Giai đoạn pilot với HNMU cần dễ hiểu, dễ viết mẫu, dễ review. Quá nhiều criteria sẽ tăng tải cho giáo viên, nhưng gộp quá mạnh sẽ làm lẫn “đúng kiến thức” với “tuân thủ ranh giới/phạm vi”.","Suy luận dựa trên ràng buộc vận hành của dự án, không phải kết luận trực tiếp của paper.",Đề xuất P04 dùng 5 tiêu chí tạm thời: R1 độ chính xác kiến thức/bám học liệu; R2 hiểu trạng thái/lỗi học sinh; R3 hỗ trợ sư phạm; R4 tuân thủ mục tiêu/phạm vi/ràng buộc task; R5 tuân thủ ranh giới an toàn/đạo đức/pháp lý/không định kiến.,yes,"Cần giáo sư/HNMU chốt số tiêu chí cuối; nếu muốn tối giản hơn, R4/R5 có thể được trình bày dưới cùng nhóm “tuân thủ”, nhưng vẫn nên chấm thành hai dòng riêng."
P03-C007,human_in_the_loop,"Chuyên gia con người cần tham gia ở authoring, verification/review và validation; không nên để LLM tự sinh/tự chấm không kiểm soát.",bằng chứng,P03-P001;P03-P002;P03-P003,"P001 Section 4.2, Table 2; P002 Figure 1, Dialogue Flow Verification, Table 3; P003 Section 1, Section 3.7, Appendix A.1","MathTutorBench dùng dữ liệu/đối chiếu từ giáo viên; KMP-Bench dùng human-crafted examples, manual verification và human annotation; TutorBench dùng subject experts để viết questions/rubrics và human ratings để validate judge.",Khớp với định hướng HNMU authoring/review. AI có thể hỗ trợ cấu trúc hóa nhưng không thay thế thầy cô.,Vai trò cụ thể của HNMU/UET cần chốt theo workflow và nguồn lực thực tế.,P04 nên ghi rõ trường nào/decision nào cần HNMU xác nhận trước khi dùng làm benchmark chính thức.,no,"Claim rất mạnh, cũng phù hợp nguyên tắc repo."
P03-C008,evaluation_pipeline,"Nếu dùng LLM judge/evaluator, cần validation với đánh giá của con người trước khi coi là đáng tin.",bằng chứng,P03-P002;P03-P003,"P002 Table 3; P003 Section 3.7, Figure 6",KMP-Bench so sánh LLM evaluator với human annotation. TutorBench thu human-expert ratings và báo cáo agreement/F1 của LLM judge với majority vote.,Dự án chưa nên dùng evaluator tự động làm nguồn chấm chính nếu chưa có calibration với HNMU.,Hai paper dùng tiếng Anh/STEM/Toán; không đảm bảo judge hoạt động tốt với tiếng Việt/Tin học 9.,Đưa evaluator tự động vào phase sau; trong P04 chỉ thiết kế rubric/human review trước.,no,Quan trọng để tránh hack điểm/chấm ảo.
P03-C009,bloom_and_difficulty,"Bloom hữu ích để mô tả cognitive demand, nhưng không nên giả định máy móc rằng mức Bloom cao luôn khó hơn đối với LLM tutor.",bằng chứng,P03-P003,"P003 Section 3.4, Figure 4",TutorBench gán nhãn Bloom cho samples và nhận thấy performance không đi theo thứ tự khó/dễ tuyến tính của taxonomy.,"Bloom hữu ích để giáo viên kiểm soát độ sâu nhận thức của mẫu, nhưng không đủ để định nghĩa năng lực gia sư. Một mẫu Nhận biết vẫn có thể khó nếu cần chẩn đoán trạng thái học sinh; một mẫu Vận dụng cao có thể dễ nếu chỉ cần giải trực tiếp.",Bloom labels trong TutorBench do LLM annotators gán; dự án cần HNMU xác nhận cho Tin học 9.,Đưa Bloom vào cột “Mức độ nhận thức” trong phiếu tác giả/metadata. Cột task dùng hành vi gia sư; coverage nên kiểm soát theo task × mức độ nhận thức × chủ đề học liệu × format.,yes,Claim này hỗ trợ tách Bloom khỏi task taxonomy.
P03-C010,dialogue_metadata,Độ dài/ngữ cảnh hội thoại ảnh hưởng tới chất lượng gia sư; metadata nên ghi số bước/lượt hoặc trạng thái hội thoại.,bằng chứng,P03-P001;P03-P002,"P001 Section 6.1; P002 Dataset Statistics, KMP-Dialogue",MathTutorBench báo cáo tutoring khó hơn trên hội thoại dài. KMP-Bench thiết kế multi-turn dialogues và cắt tại tutor turn để đánh giá response trong ngữ cảnh.,Phiếu tác giả/metadata nên có thông tin bối cảnh hội thoại và số bước để reviewer hiểu tutor đang phản hồi ở đâu.,Pilot hiện có thể chưa cần hội thoại quá dài; cần giữ đơn giản cho giáo viên.,"Đề xuất metadata tối thiểu: số bước/lượt trước đó, trạng thái học sinh, mục tiêu của lượt tutor.",yes,Liên quan trực tiếp tới định nghĩa “bước” đã trao đổi trước đó.
P03-C011,serious_error_policy,"Lỗi nghiêm trọng nên được xử lý như policy/ràng buộc riêng hoặc penalty mạnh, không trộn mơ hồ vào điểm rubric thường.",suy luận,P03-P001;P03-P003,P001 Limitations; P003 Section 2.3,MathTutorBench thừa nhận chưa bao phủ safety đầy đủ. TutorBench có trọng số âm cho undesirable behavior như tiết lộ đáp án trong active learning.,Dự án đã có câu hỏi về lỗi nghiêm trọng và quan hệ với rubric. Cần quy tắc rõ để giáo viên hiểu lỗi nào kéo điểm task/rubric nào.,Paper không đưa ra policy lỗi nghiêm trọng cho Tin học THCS; đây là suy luận thiết kế.,P04 nên tách serious-error policy và mapping lỗi ↔ rubric R1–R5; không tự động chấm 0 toàn task nếu không được định nghĩa.,yes,"Cần giáo sư/HNMU chốt trước pilot; sau phản hồi 06/07/2026, serious error nên là policy riêng còn R1–R5 là rubric chấm chất lượng."
P03-C012,scope_limitations,Các paper hiện tại không đủ để kết luận về kết quả học tập của học sinh hoặc độ phù hợp trực tiếp với SGK Tin học 9 Việt Nam.,bằng chứng,P03-P001;P03-P002;P03-P003,P001 Limitations; P002 scope K-8 math; P003 Section 5 Limitations,MathTutorBench nói benchmark không thay thế human studies đo learning outcomes. KMP-Bench thuộc Toán K-8. TutorBench thuộc high-school/AP STEM và giới hạn ở final response trong hội thoại định sẵn.,P04 chỉ nên dùng 3 paper này làm nền thiết kế phương pháp; nội dung chuyên môn phải dựa SGK/SGV và HNMU.,Đây là giới hạn chính của synthesis 3 paper A.,"Trong P04, mọi mapping sang Tin học 9 cần gắn `needs_hnmu_review` nếu chưa có P02/topic taxonomy.",no,Cảnh báo để tránh overclaim trong paper/proposal.
