axis,code,label,definition,source,notes
task,T1,Giải thích thích ứng,"Gia sư giải thích khái niệm, thao tác, quy trình hoặc cách làm theo mức hiểu hiện tại của học sinh.",P04 benchmark_tasks.csv,Task hành vi gia sư; không dùng Bloom làm task.
task,T2,Phản hồi bài làm hoặc lập luận của học sinh,"Gia sư nhận xét phần học sinh đã làm/nói, chỉ ra đúng, sai, thiếu và hướng sửa.",P04 benchmark_tasks.csv,Task hành vi gia sư; không dùng Bloom làm task.
task,T3,Gợi ý từng bước để học sinh tự đi tiếp,Gia sư hỗ trợ theo giàn giáo ở mức vừa đủ để học sinh tiếp tục tự làm.,P04 benchmark_tasks.csv,Task hành vi gia sư; không dùng Bloom làm task.
task,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Gia sư xác định bản chất lỗi/hiểu lầm/thiếu nền tảng trước khi đề xuất hướng xử lý.,P04 benchmark_tasks.csv,Task hành vi gia sư; không dùng Bloom làm task.
cognitive_level,CL1,Biết,"Nhận ra, nêu lại, gọi tên hoặc mô tả đúng kiến thức/kĩ năng trong SGK Tin học 9.",P02 + tài liệu HNMU Biểu hiện mức độ nhận thức Tin học,Chốt 3 mức theo phản hồi của Quân; không dùng Vận dụng cao trong v0.
cognitive_level,CL2,Hiểu,"Giải thích được ý nghĩa, quan hệ, nguyên nhân hoặc cách dùng của kiến thức/kĩ năng.",P02 + tài liệu HNMU Biểu hiện mức độ nhận thức Tin học,Chốt 3 mức theo phản hồi của Quân; không dùng Vận dụng cao trong v0.
cognitive_level,CL3,Vận dụng,"Dùng kiến thức/kĩ năng để xử lý tình huống, bài tập, thao tác, sản phẩm hoặc đoạn mã cụ thể.",P02 + tài liệu HNMU Biểu hiện mức độ nhận thức Tin học,Chốt 3 mức theo phản hồi của Quân; không dùng Vận dụng cao trong v0.
topic_group,TIN9-CD01,Máy tính và cộng đồng,Cụm nội dung SGK Tin học 9: Bài 1.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
topic_group,TIN9-CD02,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Cụm nội dung SGK Tin học 9: Bài 2–3.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
topic_group,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Cụm nội dung SGK Tin học 9: Bài 4.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
topic_group,TIN9-CD04,Ứng dụng tin học — phần chung,Cụm nội dung SGK Tin học 9: Bài 5–8.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
topic_group,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Cụm nội dung SGK Tin học 9: Bài 9a–13a.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
topic_group,TIN9-CD04B,Làm quen với phần mềm làm video,Cụm nội dung SGK Tin học 9: Bài 9b–13b.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
topic_group,TIN9-CD05,Giải quyết vấn đề với sự trợ giúp của máy tính,Cụm nội dung SGK Tin học 9: Bài 14–16.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
topic_group,TIN9-CD06,Hướng nghiệp với tin học,Cụm nội dung SGK Tin học 9: Bài 17.,P02 tin9_sgk_topics_v0.csv,Dùng cụm chủ đề để kiểm soát độ phủ tổng quát; bài học cụ thể sẽ chọn ở P06/P07.
format_family,F01,Câu hỏi khái niệm/lý thuyết,"Học sinh hỏi “là gì”, “vì sao”, “khác nhau thế nào”, hoặc cần diễn giải lại nội dung SGK.",P03/P04 design decision,"Dùng để giữ đa dạng định dạng, chưa phải schema cuối của phiếu tác giả."
format_family,F02,Trắc nghiệm có giải thích,Học sinh đưa đáp án trắc nghiệm hoặc hỏi vì sao một lựa chọn đúng/sai.,P03/P04 design decision,"Dùng để giữ đa dạng định dạng, chưa phải schema cuối của phiếu tác giả."
format_family,F03,Tự luận ngắn hoặc lập luận ngắn,"Học sinh cần viết/kiểm tra một đoạn giải thích, nhận xét, phân tích hoặc lập luận.",P03/P04 design decision,"Dùng để giữ đa dạng định dạng, chưa phải schema cuối của phiếu tác giả."
format_family,F04,Phản hồi hoặc sửa lỗi,"Học sinh đưa sản phẩm/lời giải/đoạn mã/thao tác có lỗi và cần nhận xét, sửa hướng.",P03/P04 design decision,"Dùng để giữ đa dạng định dạng, chưa phải schema cuối của phiếu tác giả."
format_family,F05,Thao tác công cụ hoặc sản phẩm số,"Tình huống liên quan phần mềm, bảng tính, mô phỏng, trình bày thông tin hoặc dựng video.",P03/P04 design decision,"Dùng để giữ đa dạng định dạng, chưa phải schema cuối của phiếu tác giả."
format_family,F06,"Lập trình, thuật toán hoặc bài toán tin học","Tình huống có thuật toán, mô tả bài toán, lập chương trình hoặc kiểm tra logic chương trình.",P03/P04 design decision,"Dùng để giữ đa dạng định dạng, chưa phải schema cuối của phiếu tác giả."
support_label,SP1,Gợi mở,Đặt câu hỏi/đưa tín hiệu rất nhẹ để học sinh tự phát hiện hướng đi.,P02 scaffolding_function_notes.md,Dùng chủ yếu để giải thích R3 và ghi trong cột note của phiếu tác giả.
support_label,SP2,Giải thích,"Diễn giải lại kiến thức, thao tác hoặc quan hệ nguyên nhân-kết quả.",P02 scaffolding_function_notes.md,Dùng chủ yếu để giải thích R3 và ghi trong cột note của phiếu tác giả.
support_label,SP3,Gợi ý,"Đưa manh mối cụ thể hơn gợi mở, nhưng chưa làm thay toàn bộ.",P02 scaffolding_function_notes.md,Dùng chủ yếu để giải thích R3 và ghi trong cột note của phiếu tác giả.
