stt,ten_truong_phieu,ten_truong_benchmark,kieu_du_lieu,muc_do_bat_buoc,nguoi_dien_de_xuat,vai_tro,rang_buoc_chinh,trang_thai_ra_soat,diem_can,de_xuat,cau_hoi_can_xac_nhan
1,Tên người tạo dữ liệu,author_name,Văn bản,Ưu tiên 1,HNMU - giáo viên tác giả,Ghi nhận người chịu trách nhiệm chính tạo mẫu.,Ghi tên đầy đủ; nên thống nhất cách viết tên để dễ thống kê.,"Ổn, có thể giữ",Cần lưu ý quyền riêng tư nếu dữ liệu được công bố hoặc chia sẻ ngoài nhóm.,Giữ trường này; khi xuất bản dataset nên thay bằng mã người tạo hoặc ẩn danh.,Có cần dùng mã giáo viên thay cho tên thật trong bản dữ liệu chia sẻ không?
2,Mã task,Task_id,Văn bản/mã ngắn,Ưu tiên 1,UET điền hoặc cung cấp danh sách chọn trước,Gắn mẫu với nhiệm vụ benchmark tương ứng.,Phải khớp registry mã task do UET ban hành; giáo viên không tự đặt mã.,Đúng hướng nhưng đang là nút chặn,Task chưa chốt chính thức; nếu mã thay đổi sau khi nhập dữ liệu sẽ phải sửa hàng loạt.,Tạo task_code_registry tạm thời trước khi giáo viên nhập nhiều mẫu; đánh dấu mã nào là provisional.,Danh sách mã task tạm thời nào được phép dùng trong vòng nhập dữ liệu đầu tiên?
3,Chủ đề,Topic,Văn bản/mã ngắn,Ưu tiên 1,HNMU chọn theo danh sách UET/HNMU chốt,Xác định vùng kiến thức Tin học THCS mà mẫu đang đánh giá.,Chủ đề phải nằm trong danh sách chủ đề SGK Tin học THCS đã chuẩn hóa.,Cần chuẩn hóa trước khi nhập đại trà,Tên chủ đề giữa lớp 6–9 chưa thống nhất; nếu để nhập tự do sẽ rất khó tổng hợp.,Dùng danh sách chọn tạm thời; sau đó HNMU xác nhận mapping chủ đề lớp 6–9.,Danh sách chủ đề chuẩn gồm những nhóm nào và tên tiếng Việt cuối cùng là gì?
4,Yêu cầu của học sinh về kiến thức thuộc chủ đề,student_prompt,Văn bản,Ưu tiên 1,HNMU - giáo viên tác giả,"Câu hỏi/yêu cầu ban đầu của học sinh, làm trung tâm cho toàn mẫu.",Phải liên quan đến chủ đề đã chọn; nếu lệch phạm vi cần ghi rõ cách xử lý.,"Ổn về ý nghĩa, cần hướng dẫn case lệch phạm vi",Chưa có quy tắc ngắn cho câu hỏi lệch Tin học 9 nhưng vẫn liên quan tiền kiến thức 6–8.,Bổ sung nhãn: đúng phạm vi / cần tiền kiến thức / lệch phạm vi / chưa đủ dữ kiện.,Giáo viên nên tạo mẫu hay loại mẫu khi học sinh hỏi lệch khỏi Tin học lớp 9?
5,Bài làm của học sinh,student_work,Ảnh hoặc văn bản,Ưu tiên 3,HNMU nếu có bài làm; có thể để trống nếu tình huống chỉ có câu hỏi,Cung cấp bằng chứng về cách nghĩ/lỗi hiện tại của học sinh.,Sheet ghi phải thuộc 5 dạng bài theo công văn 7991 của Vụ GDPT.,Có giá trị nhưng cần làm rõ,Chưa liệt kê 5 dạng bài ngay trong phiếu; giáo viên có thể không nhớ công văn 7991.,Thêm danh sách 5 dạng bài vào hướng dẫn hoặc tạo dropdown/ghi chú ngắn.,5 dạng bài theo công văn 7991 cần diễn đạt thế nào để giáo viên nhập thống nhất?
6,Lịch sử trao đổi giữa học sinh và gia sư,conversation_history,Văn bản có cấu trúc,Ưu tiên 1,HNMU tạo/biên soạn; UET cung cấp mẫu định dạng,Mô tả quá trình gia sư dẫn dắt học sinh trước phản hồi cuối.,Có lượt và bước; gia sư nên dùng phương pháp giàn giáo; khi chạm giới hạn thì cần kết luận/hướng dẫn đủ chi tiết.,Cần chỉnh định nghĩa trước khi dùng rộng,Sheet đang mô tả bước như các tin nhắn xen kẽ; người phụ trách đã chốt tạm bước là một cặp trao đổi học sinh–gia sư. Đây là điểm lệch cần sửa.,"Đổi hướng dẫn thành: mỗi bước hoàn chỉnh gồm học sinh nêu/đáp và gia sư phản hồi; nếu gia sư chỉ hỏi gợi mở mà học sinh chưa trả lời thì bước chưa hoàn chỉnh, trừ khi đã tới giới hạn hội thoại.",HNMU có đồng ý dùng “bước = cặp trao đổi” làm quy ước chính thức không?
7,Danh sách học liệu tham khảo,reference_curriculumn_list,Văn bản có cấu trúc,Ưu tiên 1,HNMU chọn; UET cung cấp mã học liệu/danh mục tra cứu,"Ghi căn cứ học liệu cho câu hỏi, đáp án và đánh giá.",Phải chỉ rõ bài/mục liên quan; nằm trong Tin học 9 hoặc tiền kiến thức 6–8 liên quan.,"Bắt buộc đúng, nhưng cần đổi sang mã học liệu ổn định",Tên benchmark có lỗi chính tả curriculumn; format tự do theo bài/sách/trang chưa đủ ổn định để truy vết lâu dài.,Đổi tên kỹ thuật về sau thành reference_curriculum_list hoặc learning_resource_refs; trước mắt giữ tên cột hiển thị nhưng thêm mã học liệu.,"Ở vòng đầu, giáo viên ghi tên bài/trang hay bắt buộc chọn mã học liệu do UET cấp?"
8,Đáp án cho câu hỏi Yêu cầu của học sinh về kiến thức thuộc chủ đề (ưu tiên 1),gold_response,Văn bản,Ưu tiên 1,HNMU - giáo viên tác giả; có thể được UET/LLM hỗ trợ sau nhưng giáo viên chịu trách nhiệm nội dung,Phản hồi mẫu lý tưởng/ưu tiên của gia sư trong tình huống đã cho.,Phải dựa trên học liệu tham khảo; có quy tắc điều hướng/từ chối khi học sinh hỏi ngoài phạm vi.,"Quan trọng, cần đổi cách gọi cho bớt gây hiểu nhầm",Tên “đáp án” dễ khiến giáo viên viết lời giải cuối thay vì phản hồi gia sư có giàn giáo. Nội dung sheet đã có case xử lý lệch phạm vi nhưng khá dài.,Đổi nhãn hiển thị thành “Phản hồi gia sư mẫu/ưu tiên”; tách hướng dẫn case lệch phạm vi thành checklist ngắn.,"HNMU muốn phản hồi mẫu ưu tiên là lời giải cuối, hướng dẫn từng bước, hay phản hồi cuối của một lượt hội thoại?"
9,Cách trả lời khác vẫn hợp lệ (ưu tiên 2),accepted_response_list,Văn bản có cấu trúc,Ưu tiên 1,HNMU - giáo viên tác giả hoặc người kiểm tra chéo,Ghi các phản hồi khác vẫn đúng để tránh benchmark quá cứng.,Tương tự gold_response; nên ghi dạng gạch đầu dòng.,Nên giữ nhưng cân nhắc mức bắt buộc,Bắt buộc ưu tiên 1 có thể làm tăng tải cho giáo viên; nhiều mẫu có thể chỉ cần nêu nguyên tắc chấp nhận thay vì viết đủ nhiều đáp án.,Cho phép ghi “không có biến thể đáng kể” hoặc “xem tiêu chí chấp nhận” nếu giáo viên không có phản hồi thay thế cụ thể.,"Trường này có bắt buộc cho mọi mẫu không, hay chỉ bắt buộc với task có nhiều cách giải hợp lệ?"
10,"Điểm đánh giá theo thang đo Likert, gồm nhiều chiều",rubric_score_list,Văn bản có cấu trúc,Ưu tiên 1,Nên là người kiểm tra chéo/reviewer; không nên chỉ do tác giả chính tự chấm,Ghi điểm theo từng tiêu chí rubric cho phản hồi gia sư.,Tiêu chí phải thuộc danh sách rubric của task; điểm nằm trong thang Likert.,Cần chờ rubric ổn định và phân vai chấm,Nếu tác giả tự vừa tạo vừa chấm sẽ yếu về kiểm soát chất lượng. Rubric chưa chốt nên trường này có nguy cơ nhập không đồng nhất.,"Trong vòng đầu, tác giả có thể tự đề xuất điểm nháp; điểm chính thức nên do người kiểm tra chéo hoặc reviewer xác nhận.","Ai là người chấm rubric chính thức: tác giả, người kiểm tra chéo, hay một reviewer độc lập?"
