sample_id,grade,lesson,review_reason,priority,suggested_question_to_hnmu,related_criterion_ids,evidence_fragment_ids,checked_by,checked_at,source_shard
HNMU-G6-R0002-STT1,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0003,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0003-STT2,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0003,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0004-STT3,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0005,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0005-STT4,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0006,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0006-STT5,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0007-STT6,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0008-STT7,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0008,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0009-STT8,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0010-STT9,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0011-STT10,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0012-STT11,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0013-STT12,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0013,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0014-STT13,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0015-STT14,6,Bài 1. Thông tin và dữ liệu,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0004,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0156-STT1,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0157-STT2,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0158-STT3,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0159-STT4,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0160-STT5,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0161-STT6,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0162-STT7,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0163-STT8,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0164-STT9,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0165-STT10,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0166-STT11,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0167-STT12,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0172,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0168-STT13,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0169-STT14,6,Bài 12: Trình bày thông tin ở dạng bảng,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0271,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0198-STT1,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0192,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0199-STT2,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0193,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0200-STT3,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0201-STT4,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0196,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0202-STT5,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0203-STT6,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0204-STT7,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0205-STT8,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0206-STT9,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0207-STT10,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02;RAW-CON-05;RAW-CON-07,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02;RAW-CON-05;RAW-CON-07,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0208-STT11,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0198,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0209-STT12,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
HNMU-G6-R0210-STT13,6,Bài 15: Thuật toán,Có tiêu chí cần HNMU/UET xác nhận: RAW-CON-02,medium,"Vui lòng xác nhận các tiêu chí còn chưa chắc, đặc biệt sự khớp giữa câu hỏi, đáp án SGV, hội thoại, mức nhận thức và học liệu liên quan.",RAW-CON-02,LM-SGK-TIN6-0001#F0190,orchestrator-strict-aggregate-sync-from-checklist,2026-07-20T00:00:00+07:00,shard_01
