fragment_id,learning_material_id,page_start,page_end,section_label,order_index,location_note,status,legacy_reference_id,evidence_type
LM-CURR-TINTHCS-GDPT2018#F0001,LM-CURR-TINTHCS-GDPT2018,37,37,CURR-G9-DL-001 — Vai trò của máy tính trong đời sống,1,"§V, bảng LỚP 9, Chủ đề A; Ba yêu cầu đầu của Chủ đề A; diễn giải: Học sinh nhận biết thiết bị xử lí thông tin và giải thích được khả năng, ứng dụng, tác động của máy tính.",needs_hnmu_review,CURR-G9-DL-001,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0002,LM-CURR-TINTHCS-GDPT2018,37,37,CURR-G9-DL-002 — Đánh giá chất lượng thông tin,2,"§V, bảng LỚP 9, Chủ đề C; Hai yêu cầu của Chủ đề C; diễn giải: Chất lượng thông tin phải được giải thích trong bối cảnh tìm kiếm, tiếp nhận và trao đổi thông tin.",needs_hnmu_review,CURR-G9-DL-002,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0003,LM-CURR-TINTHCS-GDPT2018,37,37,CURR-G9-DL-003 — Tác động tiêu cực của công nghệ số,3,"§V, bảng LỚP 9, Chủ đề D; Yêu cầu đầu của Chủ đề D; diễn giải: Học sinh nêu và giải thích tác động tiêu cực bằng tình huống cụ thể.",needs_hnmu_review,CURR-G9-DL-003,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0004,LM-CURR-TINTHCS-GDPT2018,37,38,"CURR-G9-DL-004 — Pháp luật, đạo đức và văn hoá số",4,"§V, bảng LỚP 9, Chủ đề D; Yêu cầu thứ hai và thứ ba của Chủ đề D; diễn giải: Học sinh phân biệt được hành vi phù hợp và không phù hợp trong môi trường số.",needs_hnmu_review,CURR-G9-DL-004,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0005,LM-CURR-TINTHCS-GDPT2018,38,38,CURR-G9-ICT-001 — Phần mềm mô phỏng,5,"§V, bảng LỚP 9, Chủ đề E; Mục Phần mềm mô phỏng và khám phá tri thức, ba yêu cầu; diễn giải: Đánh giá nên gắn với việc sử dụng hoặc giải thích kết quả mô phỏng.",needs_hnmu_review,CURR-G9-ICT-001,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0006,LM-CURR-TINTHCS-GDPT2018,38,38,CURR-G9-ICT-002 — Trình bày và hợp tác,6,"§V, bảng LỚP 9, Chủ đề E; Mục Trình bày thông tin trong trao đổi và hợp tác, ba yêu cầu; diễn giải: Sản phẩm phải cho thấy lựa chọn phương tiện phù hợp với mục tiêu giao tiếp/hợp tác.",needs_hnmu_review,CURR-G9-ICT-002,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0007,LM-CURR-TINTHCS-GDPT2018,38,38,CURR-G9-ICT-003 — Bảng tính điện tử nâng cao,7,"§V, bảng LỚP 9, Chủ đề E; Chủ đề con lựa chọn: Sử dụng bảng tính điện tử nâng cao; diễn giải: Học sinh tạo sản phẩm bảng tính phục vụ một bài toán quản lí thực tế.",needs_hnmu_review,CURR-G9-ICT-003,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0008,LM-CURR-TINTHCS-GDPT2018,38,38,CURR-G9-ICT-004 — Làm video,8,"§V, bảng LỚP 9, Chủ đề E; Chủ đề con lựa chọn: Làm quen với phần mềm làm video; diễn giải: Học sinh tạo được sản phẩm video có mục đích thực tế.",needs_hnmu_review,CURR-G9-ICT-004,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0009,LM-CURR-TINTHCS-GDPT2018,38,39,CURR-G9-CS-001 — Quá trình giải quyết vấn đề,9,"§V, bảng LỚP 9, Chủ đề F; Yêu cầu mở đầu của Chủ đề F; diễn giải: Học sinh chuyển giải pháp thành biểu diễn thuật toán có thứ tự.",needs_hnmu_review,CURR-G9-CS-001,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0010,LM-CURR-TINTHCS-GDPT2018,39,39,CURR-G9-CS-002 — Cấu trúc điều khiển,10,"§V, bảng LỚP 9, Chủ đề F; Yêu cầu thứ hai của Chủ đề F; diễn giải: Thuật toán phải thể hiện đúng cấu trúc điều khiển phù hợp.",needs_hnmu_review,CURR-G9-CS-002,source_evidence
LM-CURR-TINTHCS-GDPT2018#F0011,LM-CURR-TINTHCS-GDPT2018,39,39,CURR-G9-CS-003 — Phân rã và chuyển giao,11,"§V, bảng LỚP 9, Chủ đề F; Yêu cầu thứ ba của Chủ đề F; diễn giải: Học sinh phân biệt phần việc của con người và phần có thể giao máy tính.",needs_hnmu_review,CURR-G9-CS-003,source_evidence
