rubric_id,task_id,tier,principle_id,capability_ids,criterion,observable_evidence,boundary,positive_anchor,near_miss_anchor,negative_anchor,score_levels,status
"RUB-GEN-ACC","TASK-TUTOR-RESPONSE-001","general","","CAP-ACC","Chính xác chuyên môn và có thể kiểm chứng","Khái niệm, quan hệ, ví dụ, thao tác, mã lệnh, quy trình và kết quả trong phản hồi đúng với câu hỏi nguồn, gold_answer và fragment SGK/SGV đã truy vết; không bịa nguồn.","Chỉ đo độ đúng và bám căn cứ, không dùng sự thân thiện, độ dài hay chiến lược sư phạm để bù cho nội dung sai.","Nội dung đúng, nêu đúng chi tiết quyết định và không khẳng định vượt quá căn cứ.","Cơ bản đúng nhưng thiếu một chi tiết hữu ích, không làm đổi bản chất hoặc dẫn học sinh sai.","Sai khái niệm, quy trình, mã lệnh hoặc bịa căn cứ khiến học sinh có thể học hay làm sai.","Win: response mô hình tốt hơn gold_response trên tiêu chí; Tie: tương đương về chất lượng; Lose: kém hơn hoặc mắc lỗi tiêu chí. Áp cổng lỗi nghiêm trọng trước phán quyết.","needs_hnmu_review"
"RUB-GEN-ALIGN","TASK-TUTOR-RESPONSE-001","general","","CAP-STATE","Bám đúng trạng thái và mục tiêu trước mắt của học sinh","Phản hồi sử dụng đúng điều học sinh hỏi, đã thử, đã hiểu, đang sai hoặc đang cần; không bỏ qua thông tin quyết định trong history.","Mô tả học sinh đang ở đâu khác với giải thích nguyên nhân gốc của lỗi; chẩn đoán chỉ được yêu cầu ở rubric riêng khi có bằng chứng.","Phản hồi trực tiếp đúng điểm vướng và mục tiêu hiện tại, có dùng thông tin cần thiết từ lịch sử.","Đúng chủ đề nhưng còn chung chung hoặc chưa tận dụng một chi tiết quan trọng về việc học sinh đã làm.","Trả lời như cho một câu hỏi khác, lặp lại điều học sinh đã biết hoặc giả định trạng thái trái với dữ liệu.","Win: response mô hình tốt hơn gold_response trên tiêu chí; Tie: tương đương về chất lượng; Lose: kém hơn hoặc mắc lỗi tiêu chí. Áp cổng lỗi nghiêm trọng trước phán quyết.","needs_hnmu_review"
"RUB-GEN-SCAFF","TASK-TUTOR-RESPONSE-001","general","","CAP-SCAFF;CAP-STRAT","Mức hỗ trợ vừa đủ và bảo toàn phần việc có ý nghĩa cho học sinh","Lượng thông tin, số bước, mức gợi ý và phần việc còn lại phù hợp trạng thái hiện tại; phản hồi không làm thay khi học sinh có thể tiếp tục và không bỏ mặc khi học sinh bế tắc.","Tiêu chí này đo mức độ và nhịp hỗ trợ, không chấm lại việc phản hồi có biểu hiện đúng từng nguyên tắc riêng hay không.","Đưa đúng lượng hỗ trợ cần thiết để học sinh tiến thêm một bước và vẫn phải tự thực hiện phần suy nghĩ có ý nghĩa.","Chiến lược hợp lý nhưng hỗ trợ hơi nhiều hoặc hơi ít; học sinh vẫn có thể tiến nhưng quyền chủ động bị giảm hoặc cần thêm trợ giúp.","Tiết lộ toàn bộ lời giải khi chưa cần, hoặc chỉ yêu cầu học sinh tự làm lại dù bằng chứng cho thấy các em đang bế tắc.","Win: response mô hình tốt hơn gold_response trên tiêu chí; Tie: tương đương về chất lượng; Lose: kém hơn hoặc mắc lỗi tiêu chí. Áp cổng lỗi nghiêm trọng trước phán quyết.","needs_hnmu_review"
"RUB-GEN-COMM","TASK-TUTOR-RESPONSE-001","general","","CAP-CARE","Giao tiếp rõ ràng, tôn trọng và phù hợp học sinh THCS","Ngôn ngữ dễ hiểu, cấu trúc không quá tải, xưng hô tôn trọng; ghi nhận nỗ lực hoặc tiến bộ cụ thể khi phù hợp; không hạ thấp, gây áp lực hoặc khen sáo rỗng thay cho hỗ trợ.","Chỉ đánh giá hành vi giao tiếp trong phản hồi hiện tại, không suy ra động lực, cảm xúc hay kết quả học tập thực tế của học sinh.","Diễn đạt gọn, dễ theo dõi, tôn trọng và ghi nhận đúng chi tiết học sinh đã làm trước khi định hướng tiếp.","Lịch sự và hiểu được nhưng hơi dài, hơi dày thông tin hoặc lời khích lệ còn chung chung.","Mỉa mai, quy lỗi cho năng lực học sinh, gây xấu hổ, dùng ngôn ngữ quá sức hoặc trình bày hỗn loạn.","Win: response mô hình tốt hơn gold_response trên tiêu chí; Tie: tương đương về chất lượng; Lose: kém hơn hoặc mắc lỗi tiêu chí. Áp cổng lỗi nghiêm trọng trước phán quyết.","needs_hnmu_review"
"RUB-CHA-DEMAND","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-CHALLENGE","CAP-STRAT","Yêu cầu nhận thức có ý nghĩa","Phản hồi đặt hoặc duy trì một trở ngại, câu hỏi hay nhiệm vụ buộc học sinh suy luận, lựa chọn, khái quát hóa hoặc áp dụng sâu hơn thay vì chỉ nhớ lại máy móc.","Không gán chất lượng cao chỉ vì câu hỏi khó, dài hoặc có thêm việc; độ khó phải phục vụ mục tiêu học tập.","Yêu cầu học sinh giải thích vì sao một cách làm đúng, so sánh hai phương án hoặc xử lý một trường hợp mới có liên quan.","Chỉ đổi số liệu hoặc hỏi thêm một bước gần như cơ học, có thêm việc nhưng ít giá trị nhận thức.","Tăng độ khó không liên quan, đánh đố hoặc giao một nhiệm vụ vượt xa nội dung và mục tiêu hiện tại.","Win: response mô hình tốt hơn gold_response về việc tạo yêu cầu nhận thức có ý nghĩa; Tie: tương đương; Lose: kém hơn hoặc không thể hiện tiêu chí.","needs_hnmu_review"
"RUB-CHA-CALIB","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-CHALLENGE","CAP-STATE;CAP-SCAFF","Thử thách vừa sức với trạng thái hiện tại","Độ khó và lượng hỗ trợ của thử thách phù hợp điều học sinh đã làm được, lỗi hiện tại, lớp và mức nhận thức; có điểm tựa để học sinh bắt đầu.","Khác RUB-CHA-DEMAND ở chỗ tiêu chí này đo sự vừa sức, không đo bản thân nhiệm vụ có tạo suy nghĩ sâu hay không.","Thử thách cao hơn mức vừa hoàn thành nhưng dùng kiến thức sẵn có và có gợi ý khởi đầu khi cần.","Thử thách hợp chủ đề nhưng hơi dễ hoặc hơi khó; học sinh vẫn có khả năng thực hiện với điều chỉnh nhỏ.","Yêu cầu quá dễ nên không tạo nỗ lực, hoặc quá khó và không có điểm tựa nên dễ gây quá tải.","Win: response mô hình tốt hơn gold_response về độ vừa sức; Tie: tương đương; Lose: kém hơn hoặc không thể hiện tiêu chí.","needs_hnmu_review"
"RUB-CHA-AGENCY","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-CHALLENGE","CAP-SCAFF","Giữ phần suy nghĩ cốt lõi cho học sinh","Phản hồi nêu đích hoặc ràng buộc nhưng không giải sẵn chính phần suy luận mà thử thách muốn đo; học sinh còn phải tạo câu trả lời có ý nghĩa.","Không đồng nhất với việc cung cấp ít thông tin; gia sư vẫn có thể cho dữ kiện hoặc gợi ý không làm mất phần suy nghĩ đích.","Gia sư đưa điều kiện cần thiết rồi yêu cầu học sinh tự dự đoán, lập luận hoặc kiểm chứng.","Nêu thử thách nhưng kèm quá nhiều gợi ý gần như quyết định sẵn đáp án.","Gia sư tự giải luôn thử thách hoặc chỉ yêu cầu học sinh chép lại kết luận vừa được cung cấp.","Win: response mô hình bảo toàn tốt hơn phần suy nghĩ của học sinh; Tie: tương đương; Lose: kém hơn hoặc làm mất thử thách.","needs_hnmu_review"
"RUB-EXP-CORE","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-EXPLANATION","CAP-ACC;CAP-DIAG","Làm rõ ý cốt lõi và quan hệ quyết định","Phản hồi giải nghĩa điều gì, như thế nào hoặc vì sao; làm rõ khái niệm, quan hệ nhân quả, quy tắc hoặc nguyên nhân lỗi thay vì chỉ nêu đáp án.","Không coi việc kể tên, liệt kê bước hoặc đưa đáp án đúng là giải thích nếu thiếu quan hệ hoặc lý do cần hiểu.","Giải thích vì sao phải đưa hai đại lượng về cùng đơn vị trước khi chia và hệ quả nếu không làm vậy.","Nêu đúng quy tắc cần dùng nhưng lý do còn mờ hoặc chỉ diễn đạt lại câu hỏi.","Chỉ đưa kết quả, thuật ngữ hoặc mệnh lệnh thao tác mà không làm học sinh hiểu điều gì hay vì sao.","Win: response mô hình giải thích tốt hơn gold_response; Tie: tương đương; Lose: kém hơn hoặc không làm rõ ý cốt lõi.","needs_hnmu_review"
"RUB-EXP-COHER","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-EXPLANATION","CAP-ACC;CAP-STRAT","Mạch giải thích có liên kết và căn cứ","Các ý được sắp xếp theo quan hệ dễ theo dõi, dùng ví dụ hoặc đối chiếu phù hợp và liên hệ trực tiếp tới câu hỏi hay lỗi đang có.","Khác Modelling: ví dụ ở đây phục vụ làm rõ quan hệ; Modelling phải biểu diễn cách thực hiện hoặc đường quyết định.","Dùng một ví dụ ngắn để nối khái niệm bit với hai trạng thái rồi quay lại đúng câu hỏi của học sinh.","Có thông tin đúng nhưng các ý rời rạc, ví dụ hơi xa hoặc chưa nối rõ với kết luận.","Giải thích lan man, mâu thuẫn nội bộ hoặc dùng ví dụ khiến học sinh hiểu sai quan hệ cốt lõi.","Win: response mô hình mạch lạc và có căn cứ hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-EXP-ADAPT","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-EXPLANATION","CAP-STATE;CAP-SCAFF;CAP-CARE","Mức chi tiết và cách diễn đạt phù hợp người học","Độ sâu, thuật ngữ, ví dụ và lượng thông tin phù hợp lớp, mức nhận thức và điều học sinh đã biết; tránh giải thích lại toàn bộ khi chỉ thiếu một mắt xích.","Tiêu chí này không chấm lại sự lịch sự; nó đo sự thích ứng của chính lời giải thích.","Chỉ giải thích mắt xích quy đổi mà học sinh thiếu, dùng từ ngữ phù hợp lớp 6 và để học sinh tự tính tiếp.","Giải thích đúng nhưng hơi dài, hơi ngắn hoặc dùng một thuật ngữ chưa được làm rõ.","Dội toàn bộ bài giảng không xét trạng thái, hoặc dùng cách nói quá trừu tượng khiến học sinh không thể theo dõi.","Win: response mô hình thích ứng tốt hơn; Tie: tương đương; Lose: kém hơn.","needs_hnmu_review"
"RUB-MOD-PROC","TASK-TUTOR-RESPONSE-001","principle","PRINCIPLE-MODELLING","CAP-ACC;CAP-STRAT","Biểu diễn một quy trình hoặc cách làm mẫu có thể quan sát","Phản hồi thực hiện mẫu một phần thao tác, thuật toán, mã lệnh, sản phẩm hoặc chuỗi quyết định theo đúng thứ tự và đủ để học sinh quan sát cách áp dụng.","Không coi mọi ví dụ hay danh sách bước là làm mẫu; phải có biểu diễn cách thực hiện trên một trường hợp cụ thể.","Minh họa một lần cách chia dãy, ghi trái/phải và cập nhật miền tìm kiếm trên một số cụ thể.","Liệt kê đúng các bước nhưng chưa áp dụng vào trường hợp cụ thể nên học sinh khó hình dung cách vận hành.","Chỉ cho kết quả cuối, đưa mẫu sai hoặc làm toàn bộ bài mà không làm lộ quy trình.","Win: response mô hình làm mẫu tốt hơn; Tie: tương đương; Lose: kém hơn hoặc không có quy trình quan sát được.","needs_hnmu_review"
