sample_id,criterion_id,criterion_group,criterion_name,result,confidence_score,evidence_fragment_id,evidence_source,evidence_match_reason,reason,suggested_reviewer_action,checked_by,checked_at
HNMU-G6-R0044-STT1,RAW-STR-02,structure,Không thiếu trường lõi,pass,0.90,,,Kiểm trực tiếp trên dòng normalized.,"Các trường lõi question, answer_sgv và dialogue đều có nội dung.",keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-STR-03,structure,Có nhãn lượt nói,pass,0.88,,,Regex nhãn lượt nói trên dialogue normalized.,Hội thoại dùng nhãn HS:/AI: nhất quán.,keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-STR-04,structure,Hội thoại đủ dài để kiểm,pass,0.84,,,Đếm lượt nói và độ dài hội thoại.,"Hội thoại có 6 lượt nhãn, đủ dài để kiểm sơ bộ.",keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-CON-01,consistency,Câu hỏi khớp bài/vị trí,pass,0.74,LM-SGK-TIN6-0001#F0044,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,Câu hỏi khớp grade/lesson/position theo evidence SGK; evidence status=draft nên confidence giữ ở mức thận trọng.,keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-CON-02,consistency,Đáp án SGV khớp câu hỏi,pass,0.76,LM-SGV-TIN6-4918798731#F0118,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,"Top SGV fragment cùng grade/lesson; overlap=11, score=0.73, status=draft.",Đáp án raw phù hợp sơ bộ với câu hỏi và fragment SGV liên quan; fragment vẫn là OCR/Markdown draft nên chưa thay xác nhận HNMU/UET.,keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-CON-03,consistency,Hội thoại bám câu hỏi,pass,0.78,,,So keyword giữa question/answer_sgv và dialogue normalized.,"Hội thoại bám vấn đề chính của câu hỏi/đáp án (question_overlap=1.00, answer_overlap=1.00).",keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-CON-04,consistency,Hội thoại bám đáp án,pass,0.74,LM-SGV-TIN6-4918798731#F0118;LM-SGK-TIN6-0001#F0044,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,"Đối chiếu answer_sgv, dialogue và evidence học liệu liên quan.",Gia sư hướng học sinh tới nội dung phù hợp với answer_sgv; chưa thấy mâu thuẫn rõ.,keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-CON-05,consistency,Mức nhận thức hợp lý,pass,0.78,,,Rule sơ bộ theo động từ trong question và raw bloom_level.,Mức Nhận biết phù hợp với yêu cầu nêu/kể tên/nhận ra khái niệm hoặc lựa chọn.,keep,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0044-STT1,RAW-CON-06,consistency,Không bịa học liệu,pass,0.70,LM-SGV-TIN6-4918798731#F0118;LM-SGK-TIN6-0001#F0044;LM-SGK-TIN6-0001#F0044;LM-SGV-TIN6-4918798731#F0118,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md;shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,"Các tiêu chí hội thoại bám câu hỏi, bám đáp án và không lạc hướng đều pass ở output gốc.",Không thấy hội thoại nêu kiến thức ngoài phạm vi câu hỏi/đáp án; có evidence hoặc kiểm tra liên quan đủ dùng cho audit sơ bộ.,keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0044-STT1,RAW-CON-07,consistency,Nhất quán metadata,pass,0.74,LM-SGK-TIN6-0001#F0044;LM-SGV-TIN6-4918798731#F0118;LM-SGK-TIN6-0001#F0044;LM-SGV-TIN6-4918798731#F0118,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md;shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,"Các tiêu chí khớp bài/vị trí, hội thoại bám câu hỏi, bám đáp án và mức nhận thức đều pass ở output gốc.","Chủ đề, bài học, câu hỏi, đáp án và hội thoại nói về cùng một nội dung ở kiểm sơ bộ.",keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
