sample_id,source_file,source_row_number,grade,lesson,quality_decision_suggestion,confidence_score,failure_reasons,suggested_reviewer_action,needs_hnmu_review,needs_learning_resource_review,needs_sgv_verification,evidence_fragment_ids,checked_by,checked_at
HNMU-G6-R0045-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,45,6,Bài 4. Mạng máy tính,fail,0.05,RAW-STR-02: Thiếu trường lõi: dialogue. | RAW-STR-03: Hội thoại trống nên không có nhãn lượt nói. | RAW-STR-04: Hội thoại trống. | RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-CON-03: Không có hội thoại để đối chiếu với câu hỏi. | RAW-CON-04: Không có hội thoại để đối chiếu với đáp án.,exclude_from_current_batch,true,true,true,LM-SGK-TIN6-0001#F0049,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0010-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,10,7,Bài 1. Thiết bị vào - ra,fail,0.52,RAW-STR-03: Phát hiện nhãn lượt nói lạ: AII. | RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-PED-02: Lượt AI đầu có nhiều từ khóa của đáp án; cần xem lại có lộ đáp án quá sớm không. | RAW-PED-03: Trình tự hoặc nhãn lượt nói chưa đủ chắc để kết luận tốt.,exclude_from_current_batch,true,true,true,LM-SGK-TIN7-0001#F0004,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0002-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,2,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0003,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0030-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,30,6,Bài 3. Thông tin trong máy tinh,pass,0.65,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-CON-04: Hội thoại có thể đúng hướng nhưng chưa đủ dấu hiệu từ khóa để tự tin.,keep,false,true,true,LM-SGK-TIN6-0001#F0036,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0044-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,44,6,Bài 4. Mạng máy tính,pass,0.66,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-DUP-04: Có/không có dấu hiệu khuôn hội thoại lặp lại ở mức pilot; cần so pattern toàn batch nếu chạy chính thức.,keep,false,true,true,LM-SGK-TIN6-0001#F0044,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0072-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,72,6,Bài 6: Mạng thông tin toàn cầu,pass,0.65,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-PED-02: Lượt AI đầu có nhiều từ khóa của đáp án; cần xem lại có lộ đáp án quá sớm không.,keep,false,true,true,LM-SGK-TIN6-0001#F0065,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0086-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,86,6,Bài 7: Tìm kiếm thông tin trên Internet,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0081,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0114-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,114,6,Bài 9: An toàn thông tin trên Internet,pass,0.65,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-PED-02: Lượt AI đầu có nhiều từ khóa của đáp án; cần xem lại có lộ đáp án quá sớm không.,keep,false,true,true,LM-SGK-TIN6-0001#F0119,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0142-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,142,6,Bài 11: Định dạng văn bản,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0139,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0156-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,156,6,Bài 12: Trình bày thông tin ở dạng bảng,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGV-TIN6-4918798731#F0271,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0184-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,184,6,Bài 14: Hoàn thiện sổ lưu niệm,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGV-TIN6-4918798731#F0312,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0198-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,198,6,Bài 15: Thuật toán,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0192,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0226-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,226,6,Bài 17: Chương trình máy tính,pass,0.65,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-PED-02: Lượt AI đầu có nhiều từ khóa của đáp án; cần xem lại có lộ đáp án quá sớm không.,keep,false,true,true,LM-SGK-TIN6-0001#F0211,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0002-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,2,7,Bài 1. Thiết bị vào - ra,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN7-0001#F0010,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0030-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,30,7,Bài 3. Quản lí dữ liệu trong máy tính,pass,0.66,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-DUP-04: Có/không có dấu hiệu khuôn hội thoại lặp lại ở mức pilot; cần so pattern toàn batch nếu chạy chính thức.,keep,false,true,true,LM-SGK-TIN7-0001#F0026,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0044-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,44,7,Bài 4. Mạng xã hội và một số kênh trao đổi thông tin trên Internet,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN7-0001#F0041,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0058-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,58,7,Bài 5. Ứng xử trên mạng,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN7-0001#F0057,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0086-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,86,7,Bài 7: Tính toán tự động trên bảng tính,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN7-0001#F0099,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0114-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,114,7,Bài 9: Trình bày bảng tính,pass,0.65,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-PED-02: Lượt AI đầu có nhiều từ khóa của đáp án; cần xem lại có lộ đáp án quá sớm không.,keep,false,true,true,LM-SGK-TIN7-0001#F0156,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0128-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,128,7,Bài 10: Hoàn thiện bảng tính,pass,0.65,"RAW-CON-02: Có fragment SGV nhưng độ khớp từ khóa còn yếu, cần xem lại khi audit thật. | RAW-CON-04: Hội thoại có thể đúng hướng nhưng chưa đủ dấu hiệu từ khóa để tự tin.",keep,false,true,true,LM-SGV-TIN7-4920462481#F0275;LM-SGV-TIN7-4920462481#F0342,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0142-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,142,7,Bài 11: Tạo bài trình chiếu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGV-TIN7-4920462481#F0291,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0170-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,170,7,Bài 13: Thực hành tổng hợp: Hoàn thiện bài trình chiếu,pass,0.66,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-DUP-04: Có/không có dấu hiệu khuôn hội thoại lặp lại ở mức pilot; cần so pattern toàn batch nếu chạy chính thức.,keep,false,true,true,LM-SGK-TIN7-0001#F0248,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0198-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,198,7,Bài 15. Thuật toán tìm kiếm nhị phân,needs_human_review,0.62,"RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-CON-05: Mức raw là Nhận biết, trong khi câu hỏi có dấu hiệu Thông hiểu; cần người xem lại. | RAW-DUP-04: Có/không có dấu hiệu khuôn hội thoại lặp lại ở mức pilot; cần so pattern toàn batch nếu chạy chính thức.",ask_hnmu_review,true,true,true,LM-SGK-TIN7-0001#F0269,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0212-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,212,7,Bài 16. Thuật toán sắp xếp,needs_human_review,0.62,"RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc. | RAW-CON-05: Mức raw là Nhận biết, trong khi câu hỏi có dấu hiệu Thông hiểu; cần người xem lại. | RAW-DUP-04: Có/không có dấu hiệu khuôn hội thoại lặp lại ở mức pilot; cần so pattern toàn batch nếu chạy chính thức.",ask_hnmu_review,true,true,true,LM-SGK-TIN7-0001#F0290,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
