example_id,coverage_id,example_file,title,topic_label,lesson,task_id,task_name,cognitive_level,student_work_type,format_family,coverage_priority,author_form_alignment_status,why_selected,cognitive_level_field_status,student_work_field_convention
EX01,P05-COV-001,author_form_example_01_khai_niem_the_gioi_ki_thuat_so.md,Giải thích khái niệm thế giới kĩ thuật số,Máy tính và cộng đồng,Bài 1. Thế giới kĩ thuật số,T1,Giải thích thích ứng,Biết,Câu hỏi hoặc nhận định khái niệm,Câu hỏi khái niệm/lý thuyết,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,Ví dụ đơn giản để giáo viên thấy cách viết mẫu giải thích khái niệm ở mức Biết.,official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX02,P05-COV-004,author_form_example_02_trac_nghiem_thiet_bi_so.md,Phản hồi đáp án trắc nghiệm về thiết bị số,Máy tính và cộng đồng,Bài 1. Thế giới kĩ thuật số,T2,Phản hồi bài làm hoặc lập luận của học sinh,Biết,Đáp án trắc nghiệm,Trắc nghiệm có giải thích,recommended,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,"Bổ sung tình huống học sinh chọn đáp án, giúp phiếu không chỉ có câu hỏi tự luận.",official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX03,P05-COV-017,author_form_example_03_tu_luan_danh_gia_thong_tin.md,Phản hồi tự luận về đánh giá chất lượng thông tin,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 3. Thực hành: Đánh giá chất lượng thông tin,T2,Phản hồi bài làm hoặc lập luận của học sinh,Hiểu,Câu trả lời tự luận hoặc lập luận ngắn,Tự luận ngắn hoặc lập luận ngắn,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,Minh họa cách phản hồi một lập luận đúng một phần nhưng kết luận quá vội.,official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX04,P05-COV-023,author_form_example_04_chan_doan_hieu_lam_nguon_thong_tin.md,Chẩn đoán hiểu lầm về nguồn thông tin,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 3. Thực hành: Đánh giá chất lượng thông tin,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Hiểu,Bài làm cần phản hồi hoặc sửa lỗi,Phản hồi hoặc sửa lỗi,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,Minh họa nhiệm vụ chẩn đoán: xác định hiểu lầm cốt lõi trước khi hướng dẫn sửa.,official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX05,P05-COV-026,author_form_example_05_giai_thich_ban_quyen_internet.md,Giải thích vấn đề bản quyền khi dùng dịch vụ Internet,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4. Một số vấn đề pháp lí về sử dụng dịch vụ Internet,T1,Giải thích thích ứng,Hiểu,"Tình huống đạo đức, pháp luật hoặc văn hoá số",Tự luận ngắn hoặc lập luận ngắn,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,Minh họa yêu cầu tutor giải thích ranh giới pháp lý mà vẫn vừa sức học sinh lớp 9.,official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX06,P05-COV-030,author_form_example_06_phan_hoi_tinh_huong_mat_khau.md,Phản hồi tình huống chia sẻ mật khẩu,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4. Một số vấn đề pháp lí về sử dụng dịch vụ Internet,T2,Phản hồi bài làm hoặc lập luận của học sinh,Vận dụng,"Tình huống đạo đức, pháp luật hoặc văn hoá số",Tự luận ngắn hoặc lập luận ngắn,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,Minh họa phản hồi một quyết định thực tế của học sinh trong môi trường số.,official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX07,P05-COV-045,author_form_example_07_goi_y_trinh_bay_thong_tin.md,Gợi ý từng bước khi học sinh kẹt ở trình bày thông tin,Ứng dụng tin học,Bài 8. Thực hành: Sử dụng công cụ trực quan trình bày thông tin trong trao đổi và hợp tác,T3,Gợi ý từng bước để học sinh tự đi tiếp,Vận dụng,Thao tác công cụ hoặc sản phẩm số,Thao tác công cụ hoặc sản phẩm số,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,"Minh họa giàn giáo cho sản phẩm số: giúp học sinh tự chỉnh sản phẩm, không làm thay.",official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX08,P05-COV-054,author_form_example_08_phan_hoi_cong_thuc_if.md,Phản hồi công thức IF trong bảng tính,Sử dụng bảng tính điện tử nâng cao,Bài 12a. Sử dụng hàm IF,T2,Phản hồi bài làm hoặc lập luận của học sinh,Vận dụng,"Bảng tính, công thức hoặc hàm",Phản hồi hoặc sửa lỗi,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,"Minh họa phản hồi bài làm bảng tính, một dạng thường gặp trong Tin học 9.",official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX09,P05-COV-059,author_form_example_09_chan_doan_nham_countif_sumif.md,Chẩn đoán nhầm lẫn giữa COUNTIF và SUMIF,Sử dụng bảng tính điện tử nâng cao,Bài 10a. Sử dụng hàm COUNTIF; Bài 11a. Sử dụng hàm SUMIF,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Hiểu,"Bảng tính, công thức hoặc hàm",Phản hồi hoặc sửa lỗi,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,Minh họa lỗi hiểu nhầm chức năng của hai hàm bảng tính gần nhau.,official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
EX10,P05-COV-021,author_form_example_10_goi_y_sap_xep_tep_thu_muc.md,Gợi ý sắp xếp tệp và thư mục tài liệu học tập,"Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",Bài 2. Thông tin trong giải quyết vấn đề; Bài 3. Thực hành: Đánh giá chất lượng thông tin,T3,Gợi ý từng bước để học sinh tự đi tiếp,Vận dụng,"Tệp, thư mục hoặc sản phẩm số",Thao tác công cụ hoặc sản phẩm số,core,aligned_to_review_form_sheet_luan_giai_chi_tiet_truong_du_lieu,Tình huống tệp/thư mục gần gũi hơn để giáo viên dễ hình dung và tạo mẫu pilot.,official_author_form_field,de_bai_va_bai_lam_neu_co_hoac_ghi_ro_khong_co
