sample_id,suggested_quality_decision,confidence_score,main_failure_reasons,needs_hnmu_review,needs_learning_resource_review,needs_sgv_verification,source_checklist_rows,checked_by,checked_at,shard_id
HNMU-G8-R0002-STT1,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0003-STT2,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0004-STT3,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0005-STT4,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0006-STT5,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0007-STT6,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0008-STT7,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0009-STT8,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0010-STT9,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0011-STT10,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0012-STT11,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0013-STT12,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
HNMU-G8-R0014-STT13,keep,0.76,,false,false,false,,orchestrator-full-sync-from-evidence-policy-checklist,2026-07-19T22:35:20+07:00,shard_01
