record_id,title,year,venue,url_or_doi,publication_status,study_type,education_domain,learner_level,tutoring_capabilities,task_or_dataset,human_expert_role,rubric_or_metric,reliability_evidence,main_findings,limitations,relevance_to_project,evidence_location,reviewer_notes
LIT-001,The AI Teacher Test: Measuring the Pedagogical Ability of Blender and GPT-3 in Educational Dialogues,2022,arXiv,https://arxiv.org/abs/2205.07540,preprint,evaluation method,language and mathematics tutoring,language learner context,contextual uptake; student understanding; helpfulness,dialogue context and student utterance -> alternative tutor response; 52 selected items,real teacher responses as references; 120 crowd raters,"pairwise teacher-likeness, understanding and helpfulness; Bayesian Bradley-Terry scores","calibration-example agreement 95%, 83% and 86%; full-task coefficient not reported","GPT-3 and Blender were below human teachers, especially on helpfulness.",small selected English sample; raters were not necessarily educators,supports separate contextual understanding and helpfulness criteria,"Sections 2.1, 3.3 and 4.2; pages 1 and 3-5",
LIT-002,MathDial: A Dialogue Tutoring Dataset with Rich Pedagogical Properties Grounded in Math Reasoning Problems,2023,Findings of EMNLP 2023,https://doi.org/10.18653/v1/2023.findings-emnlp.372,peer_reviewed,dataset and benchmark,mathematics tutoring,grade-school and middle-school,misconception diagnosis; probing; focus; scaffolding; self-correction,"problem, solution, misconception and dialogue history -> next tutor turn",91 experienced teachers authored dialogues and selected moves,"coherence, correctness, equitable tutoring; Success@k and Telling@k",move agreement kappa=.60; criterion human-evaluation kappa=.29/.69/.34,general LLMs often gave incorrect feedback or revealed solutions too early.,simulated students; English mathematics; several weak-agreement labels,"direct support for diagnosis, scaffolding and answer-revelation flags",Table 1 p.5603; Table 2 p.5605; Sections 3.1-3.4; Table 5 p.5609,
LIT-003,The BEA 2023 Shared Task on Generating AI Teacher Responses in Educational Dialogues,2023,BEA 2023,https://doi.org/10.18653/v1/2023.bea-1.64,peer_reviewed,shared-task benchmark,educational dialogue,not specified,contextual tutor-response generation,dialogue context and student turn -> next teacher response,education/training raters judged top systems,"BERTScore, DialogRPT and pairwise teacher-likeness, understanding, helpfulness",three raters per pair; formal coefficient not reported,generic automatic metrics were vulnerable to surface changes and could prefer answer-giving.,human evaluation only for top systems; truncated context,generic overlap/dialogue metrics should not be primary pedagogical scores,Table 1 p.787; Section 2.3.2 pp.789-790; Sections 3-4,
LIT-004,Bridge: A Dataset for Facilitating Mistake Correction in Human-AI Tutoring,2024,NAACL 2024,https://doi.org/10.18653/v1/2024.naacl-long.120,peer_reviewed,dataset and method,mathematics tutoring,US Grades 1-5,error diagnosis; remediation strategy; pedagogical intention; feedback,"five-turn history and mistake -> error, strategy, intention and revised response","experts annotated errors, strategies, intentions and revised responses","usefulness, care, humanness and preference on a five-point comparative scale",not_reported,responses conditioned on expert decisions were preferred; random decisions reduced quality.,elementary mathematics; few US experts; some context omitted,supports separating diagnosis and response quality,Sections 4.2-4.3; Section 7; Section 9,
LIT-005,Unifying AI Tutor Evaluation: An Evaluation Taxonomy for Pedagogical Ability Assessment of LLM-Powered AI Tutors,2025,NAACL 2025,https://doi.org/10.18653/v1/2025.naacl-long.57,peer_reviewed,benchmark and taxonomy,mathematics mistake remediation,elementary and middle school,mistake identification/location; guidance; actionability; coherence; tone; answer revelation,"192 conversations and 1,596 tutor responses -> three-class labels on eight dimensions","experts validated taxonomy, double-annotated and adjudicated gold labels",eight three-level pedagogical criteria; Desired Annotation Match Rate,taxonomy Fleiss kappa=.65; production average Cohen kappa=.71,strong answer-generation models were not consistently strong tutors; evaluator quality varied by dimension.,mathematics and mistake remediation; dimensions treated independently,strong source for analytic criterion vectors and teacher adjudication,Table 1; Sections 4.2 and 5.1-5.3; Tables 3-4,
LIT-006,MathTutorBench: A Benchmark for Measuring Open-ended Pedagogical Capabilities of LLM Tutors,2025,arXiv,https://arxiv.org/abs/2502.18940,preprint,composite benchmark,mathematics tutoring,mostly middle and high school,solution verification; mistake correction; Socratic questioning; scaffolding; long-dialog maintenance,"seven tasks with problem, student solution/history and optional intent",source datasets use teachers and expert revisions; expert/novice responses validate reward model,structured metrics plus learned scaffolding reward and win rate,reward model up to .84 accuracy distinguishing expert from novice on held-out Bridge data,subject solving did not imply tutoring quality; general models degraded in longer dialogue.,learned metric is a proxy; mathematics only; no learning-gain inference,"supports separate correctness, understanding and pedagogy plus a long-history subset",Figure 1; Table 1; Sections 4.1-4.3; Tables 2-4,
LIT-007,TutorBench: A Benchmark To Assess Tutoring Capabilities Of Large Language Models,2025,arXiv,https://arxiv.org/abs/2510.02663,preprint,benchmark,high-school/AP STEM including computer science,high school and AP,adaptive explanation; feedback; active-learning hints; diagnosis,"question, student work/history and optional image -> tutor response; 1,490 samples","subject experts authored questions, golden responses and sample-specific rubrics",3-39 binary criteria per sample; critical and ordinary weights,mean inter-human agreement .75; LLM-human .78; judge F1=.82,best evaluated model remained below 56%; sample-specific rubrics exposed capability gaps.,static prewritten contexts; full dataset not public at extraction time,"supports sample-specific criteria and separate critical failures, not inherited weights",Abstract; Sections 2-3 and 5; Appendix A.1,
LIT-008,The BEA 2025 Shared Task on Pedagogical Ability Assessment of AI-Powered Tutors,2025,BEA 2025,https://doi.org/10.18653/v1/2025.bea-1.77,peer_reviewed,shared-task benchmark,mathematics mistake remediation,not specified,mistake identification/location; guidance; actionability,dialogue and tutor response -> three-class dimension labels,"organizers annotated, double-annotated and adjudicated",macro-F1 over MRBench taxonomy,Fleiss kappa=.65; organizer calibration kappa=.64 before resolution,guidance remained particularly difficult for automatic systems.,short English mathematics contexts; limited tutor set,supports mandatory adjudication for ambiguous partial performance,Sections 2-4 and 6-7; Table 1,
LIT-009,Rethinking Scaffolding in LLM Tutors: The Role of Student Uptake,2026,arXiv,https://arxiv.org/abs/2606.15766,preprint,cross-dataset interaction analysis,"mathematics, language, STEM and computing",K-12 and higher education,scaffolding; learner uptake; multi-turn dynamics,complete dialogues -> turn-level scaffolding and uptake scores,metric validated against existing human-labelled data,1-5 scaffolding and student-uptake scores,judge accuracy 93.8% on a 550-chat human-labelled sample,benchmark conversations had higher uptake than real deployments; students often redirected or bypassed scaffolding.,LLM judge; heterogeneous datasets; uptake is not learning gain,supports a distinct multi-turn uptake field and caution about static benchmarks,Sections 1 and 3; Table 1; results and discussion,
LIT-010,The Missing Evaluation Axis: Measuring Student Uptake of Tutor Feedback in Programming,2026,arXiv,https://arxiv.org/abs/2605.05648,preprint,deployed-system evaluation,introductory programming,undergraduate,misconception feedback; relevance; immediate revision uptake,"feedback plus consecutive code submissions -> pedagogy, relevance and success labels",two humans annotated validation samples; student helpfulness supplied external signal,MRBench dimensions plus relevance and success scores,human-human kappa=.76; LLM-human kappa=.65/.44,uptake measures differentiated tutors beyond static pedagogy scores.,non-randomized; immediate uptake; undergraduate code,supports retaining next-revision evidence without treating it as learning gain,Table 1; Sections 3.3-3.4; Tables 2-4,
