claim_id,claim_theme,claim_type,claim,source_ids,source_locators,support_summary,project_implication,limitations_or_open_questions
MF-C001,construct_definition,evidence,"Thiết kế lấy bằng chứng làm trung tâm xem đánh giá là quá trình suy luận từ kết quả thực hiện nhiệm vụ tới năng lực tiềm ẩn thông qua mô hình năng lực, nhiệm vụ và bằng chứng.",MTF-S001,Abstract,"Nguồn hỗ trợ trực tiếp chuỗi năng lực → nhiệm vụ → bằng chứng.","Plan 03 nên định nghĩa năng lực trước, sau đó mới định nghĩa nhóm nhiệm vụ và quy tắc bằng chứng.","Đây là khung khái niệm, không cho biết dự án phải giữ những năng lực gia sư nào."
MF-C002,construct_definition,evidence,"Hiệu lực đo lường phải được xem là một lập luận được nhiều nhóm bằng chứng hỗ trợ, không phải thuộc tính có/không của một bài kiểm tra.",MTF-S002,"TEST VALIDITY AND THE TEST VALIDATION PROCESS; CATEGORIES OF TEST VALIDITY EVIDENCE","Lập luận hiệu lực cần tích lũy bằng chứng về nội dung, quá trình phản hồi, cấu trúc bên trong, quan hệ với biến khác và hệ quả.","Plan 03 không được xem một vòng hỏi ý kiến chuyên gia là đủ để khẳng định hiệu lực.","Đây là lý thuyết đo lường chung, không phải quy tắc riêng cho gia sư."
MF-C003,content_validity,evidence,"Bằng chứng nội dung cần xét tính đại diện của mẫu hành vi và rà soát của chuyên gia; riêng bằng chứng nội dung chưa đủ để xác lập hiệu lực.",MTF-S002,"Mục về bằng chứng nội dung; CATEGORIES OF TEST VALIDITY EVIDENCE","Rà soát chuyên gia là một phần của bằng chứng nội dung, không phải toàn bộ lập luận.","HNMU cần đánh giá mức phù hợp, đầy đủ và dễ hiểu của nhiệm vụ cùng tiêu chí.","Quy mô hội đồng chuyên gia phù hợp với Tin học THCS Việt Nam còn cần quyết định."
MF-C004,content_validity,evidence,"Nội dung bài đo là mẫu hành vi dùng để suy luận một miền tiềm ẩn; thiếu đại diện hoặc biến thiên không liên quan cấu trúc có thể làm sai diễn giải điểm.",MTF-S002,"TEST VALIDITY AND THE TEST VALIDATION PROCESS","Nguồn cảnh báo trực tiếp về thiếu đại diện cấu trúc và biến thiên không liên quan cấu trúc.","Mỗi mẫu cần ghi rõ nó đo gì và không đo gì.","Cách vận hành hai mối đe dọa này cho phản hồi gia sư vẫn cần hiệu chỉnh địa phương."
MF-C005,reliability,evidence,"Tỷ lệ đồng thuận dễ hiểu nhưng có thể đánh giá quá cao độ tin cậy vì bỏ qua đồng thuận ngẫu nhiên; kappa có hiệu chỉnh ngẫu nhiên nhưng không có một ngưỡng dùng cho mọi bối cảnh.",MTF-S003,"Measurement of interrater reliability; Conclusions","Căn cứ trực tiếp cho việc báo cả đồng thuận thô và chỉ số có hiệu chỉnh khi phù hợp.","Hiệu chỉnh người chấm cần báo tỷ lệ đồng thuận và chỉ số có hiệu chỉnh theo loại dữ liệu.","Không sao chép ngưỡng từ miền khác; phải chọn theo loại tiêu chí và mục đích quyết định."
MF-C006,reliability,evidence,"Nghiên cứu độ tin cậy giữa người chấm có thể sai khi chọn chỉ số không phù hợp hoặc báo cáo thiếu thiết kế; chỉ số phải khớp kiểu mã hóa và mục tiêu suy luận.",MTF-S004,Abstract,"Hướng dẫn trực tiếp về thiết kế và báo cáo độ tin cậy giữa người chấm.","Phải xác định dữ liệu là phân loại, thứ bậc hay liên tục trước khi chọn chỉ số.","Chỉ số chính cho hiệu chỉnh giáo viên Việt Nam vẫn là quyết định mở."
MF-C007,item_analysis,evidence,"Lý thuyết kiểm tra cổ điển và lý thuyết đáp ứng câu hỏi yêu cầu xem tần suất phản hồi, phân bố điểm, hiệu ứng sàn/trần và trật tự độ khó quan sát được.",MTF-S005,Abstract,"Nguồn nêu trực tiếp các phép kiểm tra cần cho độ bao phủ dải đo.","Cần kiểm xem điểm ứng viên có dồn vào đầu dễ hoặc khó trước khi khóa bộ dữ liệu.","Nguồn không nghiên cứu benchmark gia sư."
MF-C008,item_analysis,evidence,"Bản đồ người–câu hỏi theo IRT hoặc Rasch giúp kiểm tra câu hỏi có phủ dải năng lực mục tiêu và độ khó có phù hợp quần thể hay không.",MTF-S005;MTF-S006,"Abstract; Introduction; Table 1","Các nguồn cho thấy bộ câu hỏi có thể bỏ sót hai đầu và việc bổ sung câu hỏi sàn/trần giúp mở rộng dải đo.","Plan 03 cần tránh bộ ứng viên chỉ tập trung ở mức chất lượng trung bình hoặc cực đoan.","Ánh xạ năng lực phản hồi gia sư mới là suy luận cho đến khi có dữ liệu thí điểm Việt Nam."
MF-C009,item_analysis,evidence,"Bổ sung câu hỏi ở mức sàn và trần có thể mở rộng dải đo và cải thiện độ chính xác ở hai đầu.",MTF-S006,"Abstract; Table 1","Bằng chứng thực nghiệm cụ thể cho việc mở rộng thang ở hai đầu.","Nếu phản hồi đều quá dễ hoặc quá khó để phân biệt, đánh giá sẽ bão hòa.","Chuyển từ đo chức năng thể chất sang gia sư chỉ là phép suy luận tương tự."
MF-C010,judge_bias,evidence,"LLM chấm điểm có thiên lệch vị trí trong thiết lập theo cặp và theo danh sách; mức thiên lệch thay đổi theo mô hình chấm, nhiệm vụ và chênh lệch chất lượng.",MTF-S007,Abstract,"Bằng chứng trực tiếp rằng ảnh hưởng thứ tự là có hệ thống.","Mọi thí điểm dùng LLM chấm phải đảo hoặc cân bằng thứ tự và kiểm độ nhạy vị trí.","Nguồn dùng MTBench/DevBench, không phải gia sư tiếng Việt."
