sample_id,criterion_id,criterion_group,criterion_name,result,confidence_score,evidence_fragment_id,evidence_source,evidence_match_reason,reason,suggested_reviewer_action,checked_by,checked_at
HNMU-G8-R0156-STT1,RAW-CON-01,consistency,Câu hỏi khớp bài/vị trí,pass,0.82,LM-SGK-TIN8-0001#F0168,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Fragment OCR draft nhưng là evidence đúng bài, đúng lớp và đúng lesson_code theo metadata canonical.","Câu hỏi 'Nêu được tên phần mềm chỉnh sửa ảnh miễn phí được sử dụng trong bài học.' khớp đúng bài [8b] Làm quen với phần mềm chỉnh sửa ảnh và vị trí Mở đầu / Khám phá; evidence LM-SGK-TIN8-0001#F0168 thuộc đúng Bài 8B. Phần mềm chỉnh sửa ảnh, không thấy lệch bài/vị trí sau khi repair regex-only.",Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0156-STT1,RAW-CON-02,consistency,Đáp án SGV khớp câu hỏi,pass,0.80,LM-SGK-TIN8-0001#F0168,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Đáp án SGV và fragment học liệu cùng quy về đúng bài; dù evidence là draft, nội dung trả lời vẫn khớp câu hỏi.",Đáp án SGV 'GIMP' trả lời trực tiếp cho câu hỏi 'Nêu được tên phần mềm chỉnh sửa ảnh miễn phí được sử dụng trong bài học.'; hội thoại bám cùng nội dung nên không có mâu thuẫn với evidence của bài [8b] Làm quen với phần mềm chỉnh sửa ảnh.,Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0156-STT1,RAW-CON-06,consistency,Không bịa học liệu,pass,0.78,LM-SGK-TIN8-0001#F0168,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Các thuật ngữ và thao tác trong dialogue đều nằm trong phạm vi fragment evidence của đúng bài, không có dấu hiệu bịa học liệu rõ.",Hội thoại chỉ triển khai các khái niệm/thao tác nằm trong phạm vi bài Phần mềm chỉnh sửa ảnh; không thấy chi tiết trái SGK/SGV hay bịa sang học liệu khác.,Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0156-STT1,RAW-CON-07,consistency,Nhất quán metadata,pass,0.90,LM-SGK-TIN8-0001#F0168,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,Metadata repaired theo lesson_code + lesson_key khớp với registry học liệu; canonical lesson và fragment evidence đồng nhất.,"lesson, lesson_code, canonical_lesson_id, canonical_lesson_label và evidence_lesson_title của mẫu này cùng chỉ về một bài; không có xung đột metadata sau khi map theo regex-only.",Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0157-STT2,RAW-CON-01,consistency,Câu hỏi khớp bài/vị trí,pass,0.82,LM-SGK-TIN8-0001#F0166,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Fragment OCR draft nhưng là evidence đúng bài, đúng lớp và đúng lesson_code theo metadata canonical.","Câu hỏi 'Nhận diện được các khu vực chính trên giao diện làm việc của phần mềm.' khớp đúng bài [8b] Làm quen với phần mềm chỉnh sửa ảnh và vị trí Mục 1. Kiến thức mới; evidence LM-SGK-TIN8-0001#F0166 thuộc đúng Bài 8B. Phần mềm chỉnh sửa ảnh, không thấy lệch bài/vị trí sau khi repair regex-only.",Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0157-STT2,RAW-CON-02,consistency,Đáp án SGV khớp câu hỏi,pass,0.80,LM-SGK-TIN8-0001#F0166,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Đáp án SGV và fragment học liệu cùng quy về đúng bài; dù evidence là draft, nội dung trả lời vẫn khớp câu hỏi.","Đáp án SGV 'Hộp công cụ, Cửa sổ ảnh, Tuỳ chọn công cụ, Bảng điều khiển lớp (Layers).' trả lời trực tiếp cho câu hỏi 'Nhận diện được các khu vực chính trên giao diện làm việc của phần mềm.'; hội thoại bám cùng nội dung nên không có mâu thuẫn với evidence của bài [8b] Làm quen với phần mềm chỉnh sửa ảnh.",Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0157-STT2,RAW-CON-06,consistency,Không bịa học liệu,pass,0.78,LM-SGK-TIN8-0001#F0166,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Các thuật ngữ và thao tác trong dialogue đều nằm trong phạm vi fragment evidence của đúng bài, không có dấu hiệu bịa học liệu rõ.",Hội thoại chỉ triển khai các khái niệm/thao tác nằm trong phạm vi bài Phần mềm chỉnh sửa ảnh; không thấy chi tiết trái SGK/SGV hay bịa sang học liệu khác.,Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0157-STT2,RAW-CON-07,consistency,Nhất quán metadata,pass,0.90,LM-SGK-TIN8-0001#F0166,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,Metadata repaired theo lesson_code + lesson_key khớp với registry học liệu; canonical lesson và fragment evidence đồng nhất.,"lesson, lesson_code, canonical_lesson_id, canonical_lesson_label và evidence_lesson_title của mẫu này cùng chỉ về một bài; không có xung đột metadata sau khi map theo regex-only.",Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0158-STT3,RAW-CON-01,consistency,Câu hỏi khớp bài/vị trí,pass,0.82,LM-SGK-TIN8-0001#F0174,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Fragment OCR draft nhưng là evidence đúng bài, đúng lớp và đúng lesson_code theo metadata canonical.","Câu hỏi 'Biết được phần mở rộng mặc định của tệp dự án trong phần mềm là gì.' khớp đúng bài [8b] Làm quen với phần mềm chỉnh sửa ảnh và vị trí Mục 2. Lưu và xuất tệp; evidence LM-SGK-TIN8-0001#F0174 thuộc đúng Bài 8B. Phần mềm chỉnh sửa ảnh, không thấy lệch bài/vị trí sau khi repair regex-only.",Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
HNMU-G8-R0158-STT3,RAW-CON-02,consistency,Đáp án SGV khớp câu hỏi,pass,0.80,LM-SGK-TIN8-0001#F0174,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,"Đáp án SGV và fragment học liệu cùng quy về đúng bài; dù evidence là draft, nội dung trả lời vẫn khớp câu hỏi.",Đáp án SGV '.xcf' trả lời trực tiếp cho câu hỏi 'Biết được phần mở rộng mặc định của tệp dự án trong phần mềm là gì.'; hội thoại bám cùng nội dung nên không có mâu thuẫn với evidence của bài [8b] Làm quen với phần mềm chỉnh sửa ảnh.,Không cần hành động,hnmu-dialogue-auditor-regex-repair,2026-07-19T18:16:34+07:00
