claim_id,claim_text_vi,evidence_type,source_path,source_locator,source_sha256,status,limitations
KSE-P03-001,"Full run có 2028 candidate, 665 family và 12168 requirement score hợp lệ.",evidence,experiments/20260727_170150/outputs/principle_requirement_scoring/full_gemini35_medium_v1/run_manifest.json,integrity; failure_state; status,e01dc7054ea3186232754eaa147ee6d876553c4da1292adb201e008340e08c94,provisional_model_output_validated,Một run; không có accuracy hoặc expert agreement.
KSE-P03-002,Tập nguyên tắc bắt buộc phổ biến nhất là PRINCIPLE-FEEDBACK|PRINCIPLE-QUESTIONING với 584 candidate.,evidence,experiments/20260727_170150/outputs/principle_requirement_scoring/full_gemini35_medium_v1/full_run_analysis.json,required_set_distribution[0],b7083a38d90901521444cef34f6320fc5eb289ef53221589559c3bf31701992c,provisional_model_output,Phân bố phản ánh score của một model run.
KSE-P03-003,1400 candidate không bị cờ review riêng ở Plan 03; 628 candidate cần UET review và 0 candidate bị chặn.,evidence,experiments/20260727_170150/outputs/principle_requirement_scoring/full_gemini35_medium_v1/full_run_analysis.json,eligibility.counts,b7083a38d90901521444cef34f6320fc5eb289ef53221589559c3bf31701992c,provisional_uet_review_deferred,Eligibility Plan 03 không thay thế audit candidate hoặc HNMU review; UET đã hoãn review 628 mẫu thành backlog.
KSE-P04-001,"Thư viện rubric provisional gồm 4 tiêu chí chung và 18 tiêu chí riêng, đúng 3 tiêu chí cho mỗi một trong 6 nguyên tắc.",design_artifact,experiments/20260727_170150/outputs/benchmark_rubric/rubrics.csv,tier; principle_id; 22 rubric rows,6617b179e0b4af92182d64e3883e69cf458b4b2ad1ca97b5d042bb24344a581f,provisional_awaiting_uet_hnmu_review,Cấu trúc dựa trên KMP-Bench nhưng nội dung tiêu chí do dự án suy luận từ sáu năng lực và nguồn HNMU; chưa kiểm định khả năng phân biệt.
KSE-P04-002,"Ma trận thiết kế Plan 04 truy vết toàn bộ task, 22 rubric và 6 lỗi nghiêm trọng tới căn cứ nghiên cứu hoặc học liệu.",design_artifact,experiments/20260727_170150/outputs/benchmark_rubric/provenance_matrix.csv,29 provenance rows,4e8ee008834b4b4870e6f7836d9b05aec393ced16aec0c384b6e1c53588b5e94,provisional_awaiting_uet_hnmu_review,"Truy vết nội dung không tự chứng minh hiệu lực đo lường, độ tin cậy hoặc sự đồng thuận chuyên gia."
KSE-NOVELTY-001,"Trong phạm vi nguồn công khai được sàng lọc đến 28/07/2026, chưa tìm thấy benchmark kết hợp đồng thời phản hồi tiếng Việt, chương trình Tin học lớp 6–9, sinh lượt gia sư kế tiếp có điều kiện theo lịch sử hội thoại và candidate chuyển đổi từ hội thoại giáo viên có truy vết học liệu.",qualified_novelty_inference,kse_submit_manuscript/notes/manuscript_status.md,Nhật ký tìm kiếm cho claim tính mới — 28/07/2026,e84edc21030d518c61233f00cd6bb765849e95cfde67cab386b6d48393f1d4af,qualified_intersection_claim,"Không claim là benchmark gia sư AI tiếng Việt đầu tiên hoặc benchmark gia sư Tin học đầu tiên; phải kiểm lại trước submission."
KSE-P01-001,"Phase 1 kiểm toán 1050 hội thoại và tạo ba nhóm 665 pass, 382 need_human_review, 3 failed bằng quy tắc tổng hợp checklist nghiêm ngặt.",evidence,experiments/20260727_170150/reports/experiment-progress-and-paper-evidence-through-eligible-pool-20260729.md,"Sections 3.1 and 11.1; inherited Phase-1 audit artifacts",400c1eb52f57ed145b6d89171e65c1332ef17b76eb3a761f988180ce3a8b9dde,uet_approved_operational_audit,"Pass là điều kiện chuyển đổi; không tự khẳng định hội thoại đã là benchmark item cuối."
KSE-P03-004,"Pool ưu tiên có 1400 candidate thuộc 655 family; phân bố lớp và incidence sáu nguyên tắc khớp bảng Section III.",evidence,experiments/20260727_170150/outputs/principle_requirement_scoring/full_gemini35_medium_v1/full_run_analysis.json,"eligibility; eligible-pool grade/history/required-set/principle distributions",b7083a38d90901521444cef34f6320fc5eb289ef53221589559c3bf31701992c,uet_approved_operational_pool,"Incidence đa nhãn không cộng thành 1400; Challenge và Practice hiếm."
KSE-P05-001,"Evaluation framework giữ native conversation roles, kích hoạt đúng 4+3n rubric, blind hai response và trả Win/Tie/Lose theo từng tiêu chí cùng phán quyết tổng thể.",design_artifact,experiments/20260727_170150/outputs/benchmark_evaluation/evaluation_protocol.md,"Request cho tutor model; Sinh và chấm; Panel và smoke test",fa540e109bb9423c685d1e3d39347d0cf56ddfd303e7a39a8a26ef08498b24e3,implemented_protocol,"Full pairwise evaluation chưa hoàn tất; cùng-model tutor/judge phải báo riêng."
KSE-P05-002,"Panel thực nghiệm hiện dùng Gemini 3.5 Flash, Llama 4 Maverick và Gemini với LearnLM-oriented prompt ablation; Gemini 3.5 Flash là primary judge.",design_artifact,experiments/20260727_170150/outputs/benchmark_evaluation/model_registry.csv,"gemini-3.5-flash; meta/llama-4-maverick-17b-128e-instruct-maas; judge role",bddc38fbf05d03473231a0b1a03df5d918bcf799919c07d8c47804477734d65a,implemented_setup,"Prompt ablation không phải model độc lập; specialized checkpoint chưa đủ điều kiện đưa vào panel chính."
