sample_id,criterion_id,criterion_group,criterion_name,result,confidence_score,evidence_fragment_id,evidence_source,evidence_match_reason,reason,suggested_reviewer_action,checked_by,checked_at
HNMU-G6-R0045-STT2,RAW-STR-02,structure,Không thiếu trường lõi,fail,0.92,,,Kiểm trực tiếp trên dòng normalized.,Thiếu trường lõi: dialogue.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-STR-03,structure,Có nhãn lượt nói,fail,0.92,,,Không có hội thoại để kiểm nhãn lượt nói.,Hội thoại trống nên không có nhãn lượt nói.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-STR-04,structure,Hội thoại đủ dài để kiểm,fail,0.92,,,Đếm lượt nói và độ dài hội thoại.,Hội thoại trống.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-CON-01,consistency,Câu hỏi khớp bài/vị trí,pass,0.78,LM-SGK-TIN6-0001#F0049,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,Dùng top fragment SGK từ metadata consistency flags.,Câu hỏi có evidence SGK cùng lớp/bài/vị trí đủ dùng cho pilot; fragment vẫn ở trạng thái draft nên confidence không đặt quá cao.,keep,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-CON-02,consistency,Đáp án SGV khớp câu hỏi,uncertain,0.52,LM-SGK-TIN6-0001#F0049,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,Không tìm được fragment SGV; dùng SGK như evidence phụ nếu có.,Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,ask_hnmu_review,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-CON-03,consistency,Hội thoại bám câu hỏi,fail,0.90,,,Hội thoại trống.,Không có hội thoại để đối chiếu với câu hỏi.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-CON-04,consistency,Hội thoại bám đáp án,fail,0.90,,,Hội thoại trống.,Không có hội thoại để đối chiếu với đáp án.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-CON-05,consistency,Mức nhận thức hợp lý,pass,0.70,,,So khớp heuristic giữa động từ câu hỏi và Mức Bloom.,"Mức raw là Nhận biết, phù hợp sơ bộ với dạng câu hỏi.",keep,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-PED-01,pedagogy,Có dấu hiệu dàn giáo,fail,0.90,,,Không có lượt AI hợp lệ.,Không có lượt AI để kiểm dấu hiệu dàn giáo.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-PED-02,pedagogy,Không lộ đáp án quá sớm,not_applicable,0.80,,,Không có lượt AI đầu để kiểm.,Không áp dụng vì thiếu lượt AI hợp lệ.,ask_hnmu_review,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-PED-03,pedagogy,Trình tự hội thoại hợp lý,fail,0.90,,,Hội thoại trống.,Không có trình tự hội thoại.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-PED-04,pedagogy,Lượt nói có giá trị,fail,0.88,,,Không có lượt AI hợp lệ.,Không có lượt AI để đánh giá giá trị sư phạm.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-PED-05,pedagogy,Phù hợp lứa tuổi,not_applicable,0.80,,,Hội thoại trống.,Không áp dụng vì thiếu hội thoại.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-PED-06,pedagogy,Không thay thế bằng câu trả lời lạc hướng,fail,0.90,,,Hội thoại trống.,Không có phản hồi gia sư đúng hướng.,exclude_from_current_batch,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-DUP-03,duplicate_risk,Biến thể tầm thường,pass,0.70,,,Không có trong duplicate candidates của Plan 04.,Chưa có cờ trùng/gần trùng từ kiểm cơ học.,keep,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G6-R0045-STT2,RAW-DUP-04,duplicate_risk,Khuôn AI lặp lại,pass,0.50,,,Heuristic nhẹ trên các lượt AI; chưa so toàn batch bằng agent.,Thiếu lượt AI để kiểm khuôn hội thoại.,ask_hnmu_review,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0010-STT9,RAW-STR-02,structure,Không thiếu trường lõi,pass,0.93,,,Kiểm trực tiếp trên dòng normalized.,"Câu hỏi, đáp án SGV và hội thoại đều có nội dung.",keep,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0010-STT9,RAW-STR-03,structure,Có nhãn lượt nói,fail,0.88,,,Kiểm nhãn đầu dòng trong hội thoại.,Phát hiện nhãn lượt nói lạ: AII.,ask_hnmu_review,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
HNMU-G7-R0010-STT9,RAW-STR-04,structure,Hội thoại đủ dài để kiểm,pass,0.88,,,Đếm lượt nói và độ dài hội thoại.,"Hội thoại có 6 lượt nói, đủ để kiểm sơ bộ.",keep,hnmu-dialogue-auditor(single-agent-pilot),2026-07-17T21:42:02+07:00
