sample_id,grade,lesson,position,evidence_fragment_id,evidence_material_type,evidence_lesson_title,evidence_page_start,evidence_source_markdown_path,evidence_status,evidence_match_reason,needs_learning_resource_review,consistency_issue_codes
HNMU-G8-R0002-STT1,8,Bài 1. Lược sử công cụ tính toán,"Mục 1, Trang 5 SGK",LM-SGK-TIN8-0001#F0006,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0003-STT2,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 7 SGK",LM-SGK-TIN8-0001#F0011,SGK,Bài 1. Lược sử công cụ tính toán,7,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0004-STT3,8,Bài 1. Lược sử công cụ tính toán,"Mục 1, Trang 6 SGK",LM-SGK-TIN8-0001#F0008,SGK,Bài 1. Lược sử công cụ tính toán,6,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0005-STT4,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 7 SGK",LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0006-STT5,8,Bài 1. Lược sử công cụ tính toán,"Mục 1, Trang 5 SGK",LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0007-STT6,8,Bài 1. Lược sử công cụ tính toán,"Mục 3, Trang 9 SGK",LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0008-STT7,8,Bài 1. Lược sử công cụ tính toán,Kiến thức bổ sung Trang 23 SGV,LM-SGV-TIN8-4923610683#F0045,SGV,Bài 1. LƯỢC SỬ CÔNG CỤ TÍNH TOÁN,17,shared/learning_resources/ocr_text/sgv_tin_hoc_8/sgv_tin_8_bai_1/sgv_tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0009-STT8,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 7 SGK",LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0010-STT9,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 6 SGK",LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0011-STT10,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 8 SGK",LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0012-STT11,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 8 SGK",LM-SGK-TIN8-0001#F0012,SGK,Bài 1. Lược sử công cụ tính toán,7,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0013-STT12,8,Bài 1. Lược sử công cụ tính toán,Vận dụng thực tế,LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0014-STT13,8,Bài 1. Lược sử công cụ tính toán,"Mục 2, Trang 7 SGK",LM-SGK-TIN8-0001#F0011,SGK,Bài 1. Lược sử công cụ tính toán,7,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0015-STT14,8,Bài 1. Lược sử công cụ tính toán,Dự án học tập,LM-SGK-TIN8-0001#F0002,SGK,Bài 1. Lược sử công cụ tính toán,5,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_1/tin_8_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0016-STT1,8,Bài 2. Thông tin trong môi trường số,"Mục 1.a, Trang 10 SGK",LM-SGK-TIN8-0001#F0027,SGK,Bài 2. Thông tin trong môi trường số,12,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G8-R0017-STT2,8,Bài 2. Thông tin trong môi trường số,"Mục 1.a, Trang 11 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0018-STT3,8,Bài 2. Thông tin trong môi trường số,"Mục 2, Trang 12 SGK",LM-SGK-TIN8-0001#F0028,SGK,Bài 2. Thông tin trong môi trường số,13,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0019-STT4,8,Bài 2. Thông tin trong môi trường số,"Mục 2, Trang 12- 13 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0020-STT5,8,Bài 2. Thông tin trong môi trường số,Mục 1 Trang 11 SGK,LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0021-STT6,8,Bài 2. Thông tin trong môi trường số,"Hoạt động 2, Trang 11 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0022-STT7,8,Bài 2. Thông tin trong môi trường số,"Mục 2, Trang 13 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0023-STT8,8,Bài 2. Thông tin trong môi trường số,"Mục 2, Trang 13 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0024-STT9,8,Bài 2. Thông tin trong môi trường số,"Mục 2, Trang 12 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0025-STT10,8,Bài 2. Thông tin trong môi trường số,"Lưu ý, Trang 29 SGV",LM-SGV-TIN8-4923610683#F0083,SGV,Bài 2. THÔNG TIN TRONG MÔI TRƯỜNG SỐ,28,shared/learning_resources/ocr_text/sgv_tin_hoc_8/sgv_tin_8_bai_2/sgv_tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0026-STT11,8,Bài 2. Thông tin trong môi trường số,Tình huống vận dụng,LM-SGV-TIN8-4923610683#F0083,SGV,Bài 2. THÔNG TIN TRONG MÔI TRƯỜNG SỐ,28,shared/learning_resources/ocr_text/sgv_tin_hoc_8/sgv_tin_8_bai_2/sgv_tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0027-STT12,8,Bài 2. Thông tin trong môi trường số,"Luyện tập 2, Trang 13 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0028-STT13,8,Bài 2. Thông tin trong môi trường số,"Vận dụng 1, Trang 13 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0029-STT14,8,Bài 2. Thông tin trong môi trường số,"Vận dụng 3, Trang 13 SGK",LM-SGK-TIN8-0001#F0020,SGK,Bài 2. Thông tin trong môi trường số,10,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_2/tin_8_bai_2.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0030-STT1,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 1, Trang 14 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0031-STT2,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 2, Trang 16 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0032-STT3,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 3, Trang 16-17 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0033-STT4,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 1, Trang 14 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0034-STT5,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 2, Trang 15 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0035-STT6,8,Bài 3. Thực hành: Khai thác thông tin số,"Nhiệm vụ 2, Trang 17 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0036-STT7,8,Bài 3. Thực hành: Khai thác thông tin số,"Luyện tập 1, Trang 17 SGK",LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0037-STT8,8,Bài 3. Thực hành: Khai thác thông tin số,Vận dụng thực tế,LM-SGK-TIN8-0001#F0035,SGK,Bài 3. Thực hành: Khai thác thông tin số,15,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_3/tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0038-STT9,8,Bài 3. Thực hành: Khai thác thông tin số,"Lưu ý, Trang 30 SGV",LM-SGV-TIN8-4923610683#F0096,SGV,Bài 3. THỰC HÀNH: KHAI THÁC THÔNG TIN SỐ,31,shared/learning_resources/ocr_text/sgv_tin_hoc_8/sgv_tin_8_bai_3/sgv_tin_8_bai_3.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
