pipeline_id,entrypoint,classification,hardcoded_machine_path_before_plan04,hardcoded_experiment_id_before_plan04,current_configuration,plan04_action,rationale
section_v_ablation,scripts/benchmark_evaluation/analyze_section_v_ablation.py,active,false,false,experiments/20260806_145124/configs/section-v-ablation-v1.yaml,migrated,"Current reproducible full-1400 offline analysis with a locked baseline"
requirement_scoring_run,scripts/requirement_scoring/run_requirement_scoring.py,compatibility,false,true,embedded_cli_defaults,migrated_plan05,"Full requirement scoring completed; the thin CLI retains retry semantics through the edu_benchmark package but no paid rerun is authorized"
requirement_scoring_analysis,scripts/requirement_scoring/analyze_requirement_scoring.py,historical-only,false,true,embedded_cli_defaults,migrated_plan05,"The thin CLI reproduces the completed Plan 03 analysis through the requirement_scoring package"
requirement_scoring_export,scripts/requirement_scoring/export_eligible_candidate_pool.py,historical-only,false,true,embedded_cli_defaults,migrated_plan05,"The thin CLI preserves provenance of the locked 1,400-candidate export through the requirement_scoring package"
evaluation_config_build,scripts/benchmark_evaluation/build_evaluation_config.py,historical-only,false,true,embedded_cli_defaults,retain,"The historical evaluation configuration was already built and validated"
full_candidate_manifest,scripts/benchmark_evaluation/build_full_manifest.py,historical-only,false,true,embedded_cli_defaults,retain,"The locked 1,400-candidate manifest already exists"
judge_cost_pilot_manifest,scripts/benchmark_evaluation/build_judge_cost_pilot_manifest.py,historical-only,false,true,embedded_cli_defaults,retain,"Cost-pilot manifest builder retained only to trace the completed pilot"
target_pilot_manifest,scripts/benchmark_evaluation/build_pilot_manifest.py,historical-only,false,true,embedded_cli_defaults,retain,"Target-pilot manifest builder retained only to trace the completed pilot"
socraticlm_endpoint_lifecycle,scripts/benchmark_evaluation/manage_socraticlm_endpoint.py,compatibility,false,true,embedded_cli_defaults,retain,"Endpoint lifecycle utility retained for rollback and cleanup provenance; no endpoint action is authorized"
truncated_target_recovery,scripts/benchmark_evaluation/recover_truncated_targets.py,historical-only,false,true,embedded_cli_defaults,retain,"One-off target recovery completed and retained as historical provenance"
batch_judge_runner,scripts/benchmark_evaluation/run_batch_judge.py,compatibility,false,true,cli_arguments_from_wrapper,retain,"Shared batch lifecycle runner retained under the completed full-batch wrapper"
claude_judge_smoke_runner,scripts/benchmark_evaluation/run_claude_judge_smoke.py,historical-only,false,true,embedded_cli_defaults,retain,"Superseded smoke runner retained for historical judge-pilot provenance"
target_runner,scripts/benchmark_evaluation/run_vertex_smoke.py,compatibility,false,true,cli_arguments_from_wrapper,retain,"Shared runner retained for completed target bundles and rollback"
claude_judge_smoke_v2,scripts/benchmark_evaluation/run_claude_judge_smoke_v2.sh,historical-only,true,true,shell_constants,retain,"Completed v2 smoke wrapper retained for historical provenance"
legacy_full_judge,scripts/benchmark_evaluation/run_full_1400_judge.sh,historical-only,true,true,shell_constants,retain,"Superseded by the completed asynchronous v4 batch wrapper"
full_judge_batch,scripts/benchmark_evaluation/run_full_1400_judge_batch.sh,compatibility,true,true,shell_constants,retain,"Full v4 judge bundles are complete; wrapper remains for lifecycle provenance"
full_target_generation,scripts/benchmark_evaluation/run_full_1400_targets.sh,historical-only,true,true,shell_constants,retain,"All three target bundles are complete"
gemini_judge_smoke_v2,scripts/benchmark_evaluation/run_gemini35_judge_smoke_v2.sh,historical-only,true,true,shell_constants,retain,"Completed Gemini v2 smoke wrapper retained for historical provenance"
gold_answer_only_v4_pilot,scripts/benchmark_evaluation/run_gold_answer_only_v4_judge_pilot_30.sh,historical-only,true,true,shell_constants,retain,"Completed v4 judge pilot retained as evidence for the locked full-run contract"
judge_cost_pilot,scripts/benchmark_evaluation/run_judge_cost_pilot_30.sh,historical-only,true,true,shell_constants,retain,"Completed cost pilot retained as historical evidence"
openai_judge_pilot,scripts/benchmark_evaluation/run_openai_gpt54_mini_judge_pilot.sh,historical-only,true,true,shell_constants,retain,"Completed OpenAI judge pilot retained as historical evidence"
pilot_80_judge,scripts/benchmark_evaluation/run_pilot_80_judge.sh,historical-only,true,true,shell_constants,retain,"Superseded 80-candidate judge pilot retained for provenance"
pilot_80_targets,scripts/benchmark_evaluation/run_pilot_80_targets.sh,historical-only,true,true,shell_constants,retain,"Superseded 80-candidate target pilot retained for provenance"
gemini_recovery_1536,scripts/benchmark_evaluation/run_recover_gemini35_1536.sh,historical-only,true,true,shell_constants,retain,"Completed one-off Gemini recovery wrapper retained for provenance"
gemini_recovery_followup_2048,scripts/benchmark_evaluation/run_recover_gemini35_followup_2048.sh,historical-only,true,false,shell_constants,retain,"Completed one-off Gemini follow-up recovery wrapper retained for provenance"
learnlm_recovery_2048,scripts/benchmark_evaluation/run_recover_learnlm_2048.sh,historical-only,true,true,shell_constants,retain,"Completed one-off LearnLM recovery wrapper retained for provenance"
rubric_only_v3_pilot,scripts/benchmark_evaluation/run_rubric_only_v3_judge_pilot_30.sh,historical-only,true,true,shell_constants,retain,"Completed v3 judge pilot retained as predecessor provenance for v4"
