sample_id,criterion_id,criterion_group,criterion_name,result,confidence_score,evidence_fragment_id,evidence_source,evidence_match_reason,reason,suggested_reviewer_action,checked_by,checked_at
HNMU-G6-R0044-STT1,RAW-CON-06,consistency,Không bịa học liệu,pass,0.70,LM-SGV-TIN6-4918798731#F0118;LM-SGK-TIN6-0001#F0044;LM-SGK-TIN6-0001#F0044;LM-SGV-TIN6-4918798731#F0118,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md;shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,"Các tiêu chí hội thoại bám câu hỏi, bám đáp án và không lạc hướng đều pass ở output gốc.",Không thấy hội thoại nêu kiến thức ngoài phạm vi câu hỏi/đáp án; có evidence hoặc kiểm tra liên quan đủ dùng cho audit sơ bộ.,keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0044-STT1,RAW-CON-07,consistency,Nhất quán metadata,pass,0.74,LM-SGK-TIN6-0001#F0044;LM-SGV-TIN6-4918798731#F0118;LM-SGK-TIN6-0001#F0044;LM-SGV-TIN6-4918798731#F0118,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md;shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,"Các tiêu chí khớp bài/vị trí, hội thoại bám câu hỏi, bám đáp án và mức nhận thức đều pass ở output gốc.","Chủ đề, bài học, câu hỏi, đáp án và hội thoại nói về cùng một nội dung ở kiểm sơ bộ.",keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0045-STT2,RAW-CON-06,consistency,Không bịa học liệu,uncertain,0.42,LM-SGV-TIN6-4918798731#F0123;LM-SGK-TIN6-0001#F0049;LM-SGK-TIN6-0001#F0049;LM-SGV-TIN6-4918798731#F0123,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md;shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,Có dấu hiệu lệch ở tiêu chí liên quan; chưa đủ căn cứ để kết luận pass chắc chắn cho tiêu chí không bịa học liệu.,Một tiêu chí liên quan tới việc hội thoại bám câu hỏi/đáp án hoặc không lạc hướng đang fail; cần HNMU/UET xem lại trước khi kết luận có bịa học liệu hay không.,ask_hnmu_review,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0045-STT2,RAW-CON-07,consistency,Nhất quán metadata,fail,0.66,LM-SGK-TIN6-0001#F0049;LM-SGV-TIN6-4918798731#F0123;LM-SGK-TIN6-0001#F0049;LM-SGV-TIN6-4918798731#F0123,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md;shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,Output gốc có lỗi nhất quán ở một tiêu chí liên quan tới câu hỏi/hội thoại/đáp án/mức nhận thức.,"Có tiêu chí nhất quán liên quan đang fail, nên chưa thể coi chủ đề, bài học, câu hỏi, đáp án và hội thoại là cùng một nội dung.",ask_hnmu_review,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0046-STT3,RAW-CON-06,consistency,Không bịa học liệu,pass,0.70,LM-SGV-TIN6-4918798731#F0126;LM-SGK-TIN6-0001#F0048;LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0126,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md;shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,"Các tiêu chí hội thoại bám câu hỏi, bám đáp án và không lạc hướng đều pass ở output gốc.",Không thấy hội thoại nêu kiến thức ngoài phạm vi câu hỏi/đáp án; có evidence hoặc kiểm tra liên quan đủ dùng cho audit sơ bộ.,keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0046-STT3,RAW-CON-07,consistency,Nhất quán metadata,pass,0.74,LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0126;LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0126,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md;shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,"Các tiêu chí khớp bài/vị trí, hội thoại bám câu hỏi, bám đáp án và mức nhận thức đều pass ở output gốc.","Chủ đề, bài học, câu hỏi, đáp án và hội thoại nói về cùng một nội dung ở kiểm sơ bộ.",keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0047-STT4,RAW-CON-06,consistency,Không bịa học liệu,pass,0.70,LM-SGV-TIN6-4918798731#F0126;LM-SGK-TIN6-0001#F0048;LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0126,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md;shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,"Các tiêu chí hội thoại bám câu hỏi, bám đáp án và không lạc hướng đều pass ở output gốc.",Không thấy hội thoại nêu kiến thức ngoài phạm vi câu hỏi/đáp án; có evidence hoặc kiểm tra liên quan đủ dùng cho audit sơ bộ.,keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0047-STT4,RAW-CON-07,consistency,Nhất quán metadata,pass,0.74,LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0126;LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0126,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md;shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,"Các tiêu chí khớp bài/vị trí, hội thoại bám câu hỏi, bám đáp án và mức nhận thức đều pass ở output gốc.","Chủ đề, bài học, câu hỏi, đáp án và hội thoại nói về cùng một nội dung ở kiểm sơ bộ.",keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0048-STT5,RAW-CON-06,consistency,Không bịa học liệu,pass,0.70,LM-SGV-TIN6-4918798731#F0117;LM-SGK-TIN6-0001#F0048;LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0117,shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md;shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md,"Các tiêu chí hội thoại bám câu hỏi, bám đáp án và không lạc hướng đều pass ở output gốc.",Không thấy hội thoại nêu kiến thức ngoài phạm vi câu hỏi/đáp án; có evidence hoặc kiểm tra liên quan đủ dùng cho audit sơ bộ.,keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
HNMU-G6-R0048-STT5,RAW-CON-07,consistency,Nhất quán metadata,pass,0.74,LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0117;LM-SGK-TIN6-0001#F0048;LM-SGV-TIN6-4918798731#F0117,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_4/tin_6_bai_4.md;shared/learning_resources/ocr_text/sgv_tin_hoc_6/sgv_tin_6_bai_4/sgv_tin_6_bai_4.md,"Các tiêu chí khớp bài/vị trí, hội thoại bám câu hỏi, bám đáp án và mức nhận thức đều pass ở output gốc.","Chủ đề, bài học, câu hỏi, đáp án và hội thoại nói về cùng một nội dung ở kiểm sơ bộ.",keep,hnmu-dialogue-auditor:repair-shard-03,2026-07-18T06:45:01+07:00
