review_priority,queue_type,eligibility_status,benchmark_candidate_id,sample_id,grade,lesson,bloom_level,has_history,history_turn_count,target_tutor_turn_index,family_position,required_principle_set,alternative_principle_set,review_reasons,principle_scores_json,flagged_details_json,uet_disposition,uet_notes
2,flagged,needs_uet_review,BC-HNMU-G6-R0087-STT2-AI02,HNMU-G6-R0087-STT2,6,Bài 7: Tìm kiếm thông tin trên Internet,Nhận biết (Nêu được tên),false,0,2,first,[],"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":3,""PRINCIPLE-FEEDBACK"":1,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}",[],,
2,flagged,needs_uet_review,BC-HNMU-G7-R0033-STT4-AI02,HNMU-G7-R0033-STT4,7,Bài 3. Quản lí dữ liệu trong máy tính,Nhận biết (Nêu được chức năng),false,0,2,first,[],"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":3,""PRINCIPLE-FEEDBACK"":1,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}",[],,
2,flagged,needs_uet_review,BC-HNMU-G7-R0153-STT12-AI04,HNMU-G7-R0153-STT12,7,Bài 11: Tạo bài trình chiếu,Vận dụng (Sử dụng được),true,2,4,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-MODELLING"",""PRINCIPLE-PRACTICE"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",more_than_three_required;rare_required_set,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":4,""PRINCIPLE-PRACTICE"":4,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""student_prompt"",""principle_id"":""PRINCIPLE-EXPLANATION"",""rationale"":""Nhu cầu độc lập: Học sinh cần hiểu rõ cơ chế hoạt động của phím Tab (hoặc công cụ lùi lề) trong việc thay đổi mức phân cấp danh sách (bullet level) để hiểu rõ bản chất của việc tạo ý phụ từ ý chính. Nếu bỏ nguyên tắc này: Nếu chỉ bảo học sinh nhấn phím Tab mà không giải thích cơ chế phân cấp của nó trong bài trình chiếu, học sinh sẽ chỉ làm theo máy móc và không hiểu tại sao thao tác đó lại tạo ra được cấu trúc phân cấp."",""requirement_score"":5},{""evidence"":""student_prompt"",""principle_id"":""PRINCIPLE-MODELLING"",""rationale"":""Nhu cầu độc lập: Thao tác tin học văn phòng đòi hỏi sự phối hợp các bước theo trình tự chuẩn xác. Học sinh cần một ví dụ mẫu mô tả chuỗi thao tác thực tế (như: Enter xuống dòng -> Nhấn Tab -> Gõ nội dung ý phụ) để dễ dàng hình dung. Nếu bỏ nguyên tắc này: Thiếu đi bước làm mẫu chuỗi thao tác, học sinh có thể lúng túng không biết nhấn phím Tab vào thời điểm nào (trước hay sau khi gõ chữ) để đạt được kết quả mong muốn."",""requirement_score"":4},{""evidence"":""bloom_level, position"",""principle_id"":""PRINCIPLE-PRACTICE"",""rationale"":""Nhu cầu độc lập: Với mục tiêu đạt mức độ nhận thức \""Vận dụng (Sử dụng được)\"" trong một bài thực hành thao tác, học sinh cần được khuyến khích thực hiện ngay thao tác này trên máy tính của mình để củng cố kỹ năng. Nếu bỏ nguyên tắc này: Nếu không yêu cầu học sinh thực hành ngay, việc học sẽ dừng lại ở mức lý thuyết suông và học sinh dễ quên thao tác khi tắt hội thoại."",""requirement_score"":4},{""evidence"":""conversation_history (lượt 3)"",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra câu trả lời cụ thể là \""phím Tab\"" dựa trên câu hỏi gợi mở của gia sư. Học sinh cần nhận được phản hồi ngay lập tức để xác nhận câu trả lời này là hoàn toàn chính xác. Nếu bỏ nguyên tắc này: Nếu không có phản hồi xác nhận câu trả lời đúng của học sinh, mạch hội thoại sẽ bị đứt gãy, học sinh không chắc chắn mình đã đoán đúng phím hay chưa trước khi thực hiện các bước tiếp theo."",""requirement_score"":5}]",,
2,flagged,needs_uet_review,BC-HNMU-G8-R0002-STT1-AI02,HNMU-G8-R0002-STT1,8,Bài 1. Lược sử công cụ tính toán,Nhận biết (Nhớ được tên tác giả),false,0,2,first,[],"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":3,""PRINCIPLE-FEEDBACK"":1,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}",[],,
2,flagged,needs_uet_review,BC-HNMU-G8-R0199-STT2-AI06,HNMU-G8-R0199-STT2,8,[11b] Thực hành tổng hợp,Nhận biết,true,4,6,middle,[],"[""PRINCIPLE-PRACTICE"",""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":2,""PRINCIPLE-FEEDBACK"":3,""PRINCIPLE-MODELLING"":2,""PRINCIPLE-PRACTICE"":3,""PRINCIPLE-QUESTIONING"":3}",[],,
2,flagged,needs_uet_review,BC-HNMU-G9-R0072-STT1-AI02,HNMU-G9-R0072-STT1,9,Bài 6: Thực hành: Khai thác phần mềm mô phỏng,Nhận biết (Nêu được tên thiết bị/công cụ),false,0,2,first,[],"[""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":2,""PRINCIPLE-FEEDBACK"":1,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":1,""PRINCIPLE-QUESTIONING"":3}",[],,
2,flagged,needs_uet_review,BC-HNMU-G9-R0074-STT3-AI04,HNMU-G9-R0074-STT3,9,Bài 6: Thực hành: Khai thác phần mềm mô phỏng,Nhận biết (Nhận biết được biểu tượng/chức năng),true,2,4,last,[],"[""PRINCIPLE-PRACTICE"",""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":2,""PRINCIPLE-FEEDBACK"":3,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":3,""PRINCIPLE-QUESTIONING"":3}",[],,
2,flagged,needs_uet_review,BC-HNMU-G9-R0235-STT10-AI06,HNMU-G9-R0235-STT10,9,[12b]: Hoàn thành việc dựng video,Vận dụng,true,4,6,middle,[],"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-MODELLING"",""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":3,""PRINCIPLE-FEEDBACK"":3,""PRINCIPLE-MODELLING"":3,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}",[],,
2,flagged,needs_uet_review,BC-HNMU-G9-R0253-STT14-AI10,HNMU-G9-R0253-STT14,9,[13b]: Biên tập và xuất video,Vận dụng,true,8,10,last,[],"[""PRINCIPLE-CHALLENGE"",""PRINCIPLE-FEEDBACK"",""PRINCIPLE-QUESTIONING""]",no_required_principle,"{""PRINCIPLE-CHALLENGE"":3,""PRINCIPLE-EXPLANATION"":1,""PRINCIPLE-FEEDBACK"":3,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":1,""PRINCIPLE-QUESTIONING"":3}",[],,
3,flagged,needs_uet_review,BC-HNMU-G6-R0030-STT1-AI04,HNMU-G6-R0030-STT1,6,Bài 3. Thông tin trong máy tinh,Nhận biết (Nêu được tên đơn vị),true,2,4,middle,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-PRACTICE"",""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":1,""PRINCIPLE-EXPLANATION"":5,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":3,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""conversation_history lượt 3: học sinh trả lời \""Dạ là chữ số nhị phân ạ.\"""",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra câu trả lời \""chữ số nhị phân\"" ở lượt trước và cần nhận được sự xác nhận ngay lập tức rằng câu trả lời đó là hoàn toàn chính xác để duy trì sự tự tin. Nếu bỏ nguyên tắc này: Nếu gia sư bỏ qua câu trả lời này và đi thẳng vào việc giới thiệu đơn vị mới, học sinh sẽ cảm thấy nỗ lực suy nghĩ của mình ở lượt trước không được ghi nhận và không rõ mình đã trả lời đúng hay chưa."",""requirement_score"":5}]",,
3,flagged,needs_uet_review,BC-HNMU-G6-R0030-STT1-AI06,HNMU-G6-R0030-STT1,6,Bài 3. Thông tin trong máy tinh,Nhận biết (Nêu được tên đơn vị),true,4,6,last,"[""PRINCIPLE-EXPLANATION"",""PRINCIPLE-FEEDBACK""]","[""PRINCIPLE-QUESTIONING""]",feedback_confirmation_only,"{""PRINCIPLE-CHALLENGE"":2,""PRINCIPLE-EXPLANATION"":4,""PRINCIPLE-FEEDBACK"":5,""PRINCIPLE-MODELLING"":1,""PRINCIPLE-PRACTICE"":2,""PRINCIPLE-QUESTIONING"":3}","[{""evidence"":""Trường conversation_history lượt 5: \""À, là Bit đúng không thầy?\"""",""principle_id"":""PRINCIPLE-FEEDBACK"",""rationale"":""Nhu cầu độc lập: Học sinh vừa đưa ra một phán đoán cụ thể ở lượt 5 (\""À, là Bit đúng không thầy?\"") và đang rất cần được giáo viên phản hồi, xác nhận ngay lập tức tính chính xác của câu trả lời này. Nếu bỏ nguyên tắc này: Học sinh sẽ không biết chắc chắn liệu từ \""Bit\"" mình đoán có đúng là câu trả lời cho câu hỏi ban đầu hay không, làm mất đi sự định hướng và giảm động lực tương tác của học sinh."",""requirement_score"":5}]",,
