sample_id,source_file,source_row_number,grade,lesson,position,question,bloom_level
HNMU-G6-R0128-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,128,6,Bài 10: Sơ đồ tư duy,Mục 1. Kiến thức mới (Tr. 48),Sơ đồ tư duy là gì?,Nhận biết (Biết được khái niệm)
HNMU-G6-R0129-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,129,6,Bài 10: Sơ đồ tư duy,Hình 5.1 (Tr. 48),Ai là người sáng tạo ra sơ đồ tư duy?,Nhận biết (Nêu được tên)
HNMU-G6-R0130-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,130,6,Bài 10: Sơ đồ tư duy,Hoạt động 2 (Tr. 49),Kể tên các thành phần chính của một sơ đồ tư duy.,Nhận biết (Nêu được tên thành phần)
HNMU-G6-R0131-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,131,6,Bài 10: Sơ đồ tư duy,Mục 3 (Tr. 50),Nêu tên một vài phần mềm sơ đồ tư duy mà em biết.,Nhận biết (Nêu được tên phần mềm)
HNMU-G6-R0132-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,132,6,Bài 10: Sơ đồ tư duy,Mục 1 (Tr. 48),Tại sao sơ đồ tư duy giúp ghi nhớ thông tin tốt hơn?,Thông hiểu (Giải thích được lợi ích)
HNMU-G6-R0133-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,133,6,Bài 10: Sơ đồ tư duy,Mục 1 (Tr. 48),Giải thích vai trò của các đường nối trong sơ đồ tư duy.,Thông hiểu (Giải thích được vai trò)
HNMU-G6-R0134-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,134,6,Bài 10: Sơ đồ tư duy,Hoạt động 2 (Tr. 49),So sánh việc liệt kê bằng văn bản và trình bày bằng sơ đồ tư duy.,Thông hiểu (So sánh được)
HNMU-G6-R0135-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,135,6,Bài 10: Sơ đồ tư duy,Mục 1 (Tr. 48),Tại sao màu sắc và hình ảnh lại quan trọng trong sơ đồ tư duy?,Thông hiểu (Giải thích sự cần thiết)
HNMU-G6-R0136-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,136,6,Bài 10: Sơ đồ tư duy,Hoạt động 2 (Tr. 49),"Trong sơ đồ tư duy, các ý tưởng được sắp xếp theo cấu trúc nào?",Thông hiểu (Mô tả được cấu trúc)
HNMU-G6-R0137-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,137,6,Bài 10: Sơ đồ tư duy,Mục 3 (Tr. 50),Nêu lợi ích của việc sử dụng phần mềm để tạo sơ đồ tư duy so với vẽ tay.,Thông hiểu (Giải thích được lợi ích)
HNMU-G6-R0138-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,138,6,Bài 10: Sơ đồ tư duy,Vận dụng 1 (Tr. 53),Hãy tóm tắt nội dung bài học bằng một sơ đồ tư duy vẽ tay.,Vận dụng (Trình bày ý tưởng dưới dạng sơ đồ)
HNMU-G6-R0139-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,139,6,Bài 10: Sơ đồ tư duy,Hoạt động 1 (Tr. 48),Lập sơ đồ tư duy cho kế hoạch dã ngoại của lớp.,Vận dụng (Xác định cấu trúc dữ liệu thích hợp)
HNMU-G6-R0140-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,140,6,Bài 10: Sơ đồ tư duy,Thực hành (Tr. 50),Sử dụng phần mềm sơ đồ tư duy để tạo sơ đồ giới thiệu bản thân.,Vận dụng (Tạo được sản phẩm số)
HNMU-G6-R0141-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,141,6,Bài 10: Sơ đồ tư duy,Luyện tập (SGV Tr. 63),Thực hiện chỉnh sửa (thêm/xóa nhánh) trên một sơ đồ tư duy đã có bằng phần mềm.,Vận dụng (Thực hiện nhiệm vụ giáo viên đặt ra)
HNMU-G6-R0170-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,170,6,Bài 13: Tìm kiếm và thay thế,"Mục 1, Trang 64",Công cụ Tìm kiếm nằm trong dải lệnh nào và nhóm lệnh nào?,"Nhận biết (Nêu tên dải lệnh, nhóm lệnh)"
HNMU-G6-R0171-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,171,6,Bài 13: Tìm kiếm và thay thế,"Mục 2, Trang 65",Công cụ Thay thế được kích hoạt bằng lệnh nào?,Nhận biết (Nêu tên lệnh)
HNMU-G6-R0172-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,172,6,Bài 13: Tìm kiếm và thay thế,"Mục 2, Trang 65","Trong hộp thoại Find and Replace, ô ""Find what"" dùng để nhập nội dung gì?",Nhận biết (Nêu nội dung thành phần)
HNMU-G6-R0173-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,173,6,Bài 13: Tìm kiếm và thay thế,"Mục 2, Trang 65","Để thay thế tất cả các từ tìm được cùng lúc, em chọn nút lệnh nào?",Nhận biết (Nêu tên nút lệnh)
HNMU-G6-R0174-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,174,6,Bài 13: Tìm kiếm và thay thế,"Hoạt động 1, Trang 64",Tại sao việc sử dụng công cụ Tìm kiếm và thay thế lại có lợi hơn việc tìm thủ công bằng mắt?,Thông hiểu (Giải thích lợi ích)
HNMU-G6-R0175-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,175,6,Bài 13: Tìm kiếm và thay thế,"Hoạt động 2, Trang 65","Giải thích tại sao phải cẩn thận khi sử dụng lệnh ""Replace All""?",Thông hiểu (Giải thích sự cần thiết)
HNMU-G6-R0176-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,176,6,Bài 13: Tìm kiếm và thay thế,"Mục 1, Trang 64",Trình bày các bước để tìm một từ trong văn bản?,Thông hiểu (Mô tả quy trình)
HNMU-G6-R0177-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,177,6,Bài 13: Tìm kiếm và thay thế,"Mục 2, Trang 65","Nêu sự khác nhau giữa ô ""Find what"" và ô ""Replace with""?",Thông hiểu (Phân biệt khái niệm)
HNMU-G6-R0178-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,178,6,Bài 13: Tìm kiếm và thay thế,"Mục 1, Trang 64",Điều gì xảy ra khi máy tính không tìm thấy từ em đã nhập trong văn bản?,Thông hiểu (Mô tả hiện tượng)
HNMU-G6-R0179-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,179,6,Bài 13: Tìm kiếm và thay thế,"Mục 2, Trang 65","Phân tích trường hợp nào nên dùng ""Replace"" và trường hợp nào nên dùng ""Replace All""?",Thông hiểu (Phân tích tình huống)
HNMU-G6-R0180-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,180,6,Bài 13: Tìm kiếm và thay thế,"Luyện tập 1, Trang 66","Sử dụng công cụ Tìm kiếm để đếm xem trong bài có bao nhiêu từ ""Học sinh""?",Vận dụng (Thực hiện đếm từ)
