sample_id,source_file,source_row_number,grade,lesson,quality_decision,confidence_score,failure_reasons,blocking_criterion_ids,suggested_reviewer_action,needs_hnmu_review,needs_learning_resource_review,needs_sgv_verification,evidence_fragment_ids,checked_by,checked_at,source_shard
HNMU-G8-R0002-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,2,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0003-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,3,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0004-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,4,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0005-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,5,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0006-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,6,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0007-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,7,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0008-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,8,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0009-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,9,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0010-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,10,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0011-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,11,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0012-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,12,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0013-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,13,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0014-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,14,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0015-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,15,8,Bài 1. Lược sử công cụ tính toán,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0016-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,16,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0017-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,17,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0018-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,18,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0019-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,19,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0020-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,20,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0021-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,21,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0022-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,22,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0023-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,23,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0024-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,24,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0025-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,25,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0026-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,26,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0027-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,27,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0028-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,28,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0029-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,29,8,Bài 2. Thông tin trong môi trường số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0030-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,30,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0031-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,31,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0032-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,32,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0033-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,33,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0034-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,34,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0035-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,35,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0036-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,36,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
HNMU-G8-R0037-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,37,8,Bài 3. Thực hành: Khai thác thông tin số,pass,0.76,,,keep,false,false,false,,orchestrator-canonical-quality-decision-label-sync,2026-07-20T00:00:00+07:00,shard_01
