record_id,title,year,venue,url_or_doi,publication_status,study_type,education_domain,learner_level,tutoring_capabilities,task_or_dataset,human_expert_role,rubric_or_metric,reliability_evidence,main_findings,limitations,relevance_to_project,evidence_location,reviewer_notes
MTF-S001,A Brief Introduction to Evidence-Centered Design,2003,ETS Research Report Series,https://doi.org/10.1002/j.2333-8504.2003.tb01908.x,other,khung phương pháp,đánh giá giáo dục,tổng quát,định nghĩa năng lực; thiết kế nhiệm vụ; tích lũy bằng chứng,Conceptual Assessment Framework,không_báo_cáo,khung CAF; mô hình năng lực; mô hình nhiệm vụ; mô hình bằng chứng,không_báo_cáo,"Đánh giá là quá trình suy luận bằng chứng, nối kết quả thực hiện nhiệm vụ với phát biểu về năng lực tiềm ẩn qua các mô hình liên kết.","Tổng quan khái niệm, không phải nghiên cứu thực nghiệm và không đặc thù gia sư.",Giữ Plan 03 theo chuỗi năng lực → nhiệm vụ → bằng chứng thay vì thiết kế tiêu chí trước.,Abstract,"Nguồn nền tảng nhưng trừu tượng; chỉ dùng cho logic cấu trúc, không dùng để đặt quy tắc chấm cụ thể."
MTF-S002,Contemporary Test Validity in Theory and Practice: a Primer for Discipline-Based Education Researchers,2016,CBE-Life Sciences Education,https://pmc.ncbi.nlm.nih.gov/articles/PMC4803101/,peer_reviewed,tổng quan phương pháp,nghiên cứu giáo dục theo chuyên ngành,đại học và giáo dục nói chung,lập luận hiệu lực; thiếu đại diện cấu trúc; biến thiên không liên quan cấu trúc,diễn giải điểm kiểm tra,"rà soát chuyên gia; phân tích nhân tố, tương quan và DIF",các nhóm bằng chứng hiệu lực; cấu trúc bên trong; quan hệ với biến khác; hệ quả,không_báo_cáo,Hiệu lực là một lập luận được nhiều nhóm bằng chứng hỗ trợ; phát biểu về nội dung phải nằm trong lập luận rộng hơn.,"Bối cảnh giáo dục đại học, không riêng gia sư hay trường phổ thông Việt Nam.",Dùng làm khung hiệu lực chung và cảnh báo rằng riêng bằng chứng nội dung là chưa đủ.,TEST VALIDITY AND THE TEST VALIDATION PROCESS; CATEGORIES OF TEST VALIDITY EVIDENCE; SUMMARY,Cầu nối phù hợp từ lý thuyết đo lường sang ngôn ngữ hiệu lực của Plan 03.
MTF-S003,Interrater reliability: the kappa statistic,2012,Biochemia Medica,https://doi.org/10.11613/BM.2012.031,peer_reviewed,hướng dẫn phương pháp,đo lường lâm sàng và đánh giá nói chung,không_áp_dụng,đồng thuận giữa người chấm; độ tin cậy của đánh giá,nhãn phân loại,hai hoặc nhiều người chấm độc lập,tỷ lệ đồng thuận; Cohen’s kappa; Fleiss kappa,tỷ lệ đồng thuận; kappa,Tỷ lệ đồng thuận có thể đánh giá quá cao vì bỏ qua ngẫu nhiên; kappa hiệu chỉnh ngẫu nhiên nhưng cũng có giới hạn.,"Ví dụ y tế, không đặc thù gia sư; ngưỡng kappa phụ thuộc bối cảnh.",Dùng để yêu cầu báo cáo rõ đồng thuận người chấm và tránh diễn giải quá mức một chỉ số.,Abstract; Measurement of interrater reliability; Conclusions,Hỗ trợ việc tách hiệu chỉnh con người khỏi điểm tự động.
MTF-S004,Computing Inter-Rater Reliability for Observational Data: An Overview and Tutorial,2012,Tutorials in Quantitative Methods for Psychology,https://doi.org/10.20982/tqmp.08.1.p023,peer_reviewed,hướng dẫn phương pháp,mã hóa quan sát và tâm lý học nói chung,không_áp_dụng,thiết kế độ tin cậy giữa người chấm; báo cáo người mã hóa,đánh giá quan sát,người mã hóa hoặc quan sát viên độc lập,Cohen’s kappa; hệ số tương quan nội lớp,hướng dẫn IRR và ICC,Nhiều nghiên cứu chọn sai chỉ số hoặc báo cáo thiếu chi tiết; thiết kế và lựa chọn chỉ số có ảnh hưởng quyết định.,"Nguồn phương pháp chung, không phải bài báo benchmark.",Dùng để thiết kế phần hiệu chỉnh người chấm và cách báo cáo ở thí điểm.,Abstract,Hữu ích khi chọn chỉ số phù hợp với từng loại tiêu chí.
MTF-S005,Overview of Classical Test Theory and Item Response Theory for the Quantitative Assessment of Items in Developing Patient-Reported Outcome Measures,2014,Clinical Therapeutics,https://doi.org/10.1016/j.clinthera.2014.04.006,peer_reviewed,tổng quan phương pháp,kết quả do bệnh nhân tự báo cáo,không_áp_dụng,độ khó; phân bố; hiệu ứng sàn/trần; độ phủ phổ năng lực,bộ câu hỏi kết quả tự báo cáo,chuyên gia phát triển thang đo,tần suất đáp ứng; hiệu ứng sàn/trần; phương án trả lời; trật tự độ khó,không_báo_cáo,Lý thuyết kiểm tra cổ điển và lý thuyết đáp ứng câu hỏi hỗ trợ đánh giá định lượng khi phát triển nội dung; dải đo và trật tự độ khó có ý nghĩa đối với chất lượng bộ đo.,"Bối cảnh y khoa, không phải gia sư.","Dùng cho phân tích độ khó, khả năng phân biệt và độ phủ dải chất lượng phản hồi.",Abstract; Discussion; Conclusions,"Liên quan trực tiếp đến độ trải và hiệu chỉnh, không dùng để suy luận nội dung sư phạm."
MTF-S006,Development and assessment of floor and ceiling items for the PROMIS physical function item bank,2013,Arthritis Research & Therapy,https://pmc.ncbi.nlm.nih.gov/articles/PMC3978724/,peer_reviewed,phát triển thang đo,kết quả do bệnh nhân tự báo cáo,không_áp_dụng,hiệu ứng sàn; hiệu ứng trần; phát triển câu hỏi ở hai đầu,ngân hàng câu hỏi PROMIS PF,rà soát chuyên gia; khảo sát người tham gia; thảo luận nhóm,không_báo_cáo,không_báo_cáo,Các câu hỏi sàn và trần mới mở rộng dải đo và cải thiện độ chính xác ở hai đầu.,Nội dung chức năng thể chất khác gia sư; chỉ dùng như phép tương tự về dải đo.,Dùng để lập luận rằng bộ ứng viên không nên bão hòa ở đầu quá dễ hoặc quá khó.,Abstract; Introduction; Table 1,Ví dụ cụ thể về mở rộng dải đo ở hai đầu.
MTF-S007,Judging the Judges: A Systematic Study of Position Bias in LLM-as-a-Judge,2025,ACL Anthology / IJCNLP-AACL,https://aclanthology.org/2025.ijcnlp-long.18/,peer_reviewed,nghiên cứu đánh giá bằng LLM,đánh giá benchmark,không_áp_dụng,thiên lệch vị trí; kiểm định chấm theo cặp và danh sách,MTBench; DevBench; 15 mô hình chấm; 22 nhiệm vụ,không_báo_cáo,độ ổn định khi lặp; tính nhất quán vị trí; công bằng ưu tiên,không_báo_cáo,"Nghiên cứu xác nhận thiên lệch vị trí không ngẫu nhiên, thay đổi theo mô hình chấm, nhiệm vụ và chênh lệch chất lượng.","Dữ liệu benchmark tiếng Anh, không riêng gia sư; nghiên cứu đo chứ không giải quyết hoàn toàn thiên lệch.",Yêu cầu đảo hoặc cân bằng thứ tự và kiểm thiên lệch trước khi dùng mô hình chấm.,Abstract,Bằng chứng trực tiếp mạnh về độ nhạy vị trí của LLM chấm.
MTF-S008,Pairwise or Pointwise? Evaluating Feedback Protocols for Bias in LLM-Based Evaluation,2025,arXiv,https://arxiv.org/abs/2504.14716,preprint,nghiên cứu đánh giá bằng LLM,đánh giá benchmark,không_áp_dụng,thiên lệch theo cặp; chấm tuyệt đối; đánh giá bị gây nhiễu,các giao thức phản hồi bằng LLM,không_báo_cáo,ưu tiên tương đối so với điểm tuyệt đối,không_báo_cáo,"Trong thí nghiệm của tác giả, giao thức theo cặp dễ bị đặc điểm gây nhiễu tác động hơn chấm điểm tuyệt đối.",Bản tiền công bố; không riêng gia sư; mức thiên lệch có thể khác theo dữ liệu và mô hình.,Giữ ưu tiên theo cặp ở vai trò phụ cho đến khi mô tả ổn định ngữ cảnh đánh giá.,Abstract,Cảnh báo quan trọng đối với thí điểm chỉ dùng so sánh theo cặp.
MTF-S009,Better Automatic Evaluation of Open-Domain Dialogue Systems with Contextualized Embeddings,2019,SIGdial / ACL Anthology,https://aclanthology.org/W19-2310/,peer_reviewed,paper phương pháp,đánh giá hội thoại,hệ thống hội thoại mở,nhiều phản hồi hợp lệ; lệch phản hồi tham chiếu,DailyDialog và các thiết lập hội thoại liên quan,không_báo_cáo,chỉ số dựa trên tham chiếu so với chỉ số embedding theo ngữ cảnh,không_báo_cáo,Các chỉ số dựa trên đối sánh từ như BLEU không hiệu quả khi nhiều phản hồi hợp lệ không trùng từ với tham chiếu.,"Hội thoại mở không phải gia sư, nhưng là phép tương tự gần cho phản hồi mở.",Không coi một `gold_response` là cách diễn đạt hợp lệ duy nhất.,Abstract,Hỗ trợ trực tiếp cho không gian phản hồi không duy nhất.
MTF-S010,Investigating Evaluation of Open-Domain Dialogue Systems With Human Generated Multiple References,2019,SIGdial / ACL Anthology,https://aclanthology.org/W19-5944/,peer_reviewed,đánh giá benchmark,hệ thống hội thoại,hệ thống hội thoại mở,nhiều phản hồi tham chiếu do con người viết,DailyDialog có bổ sung tham chiếu,không_báo_cáo,đánh giá nhiều tham chiếu,không_báo_cáo,Nhiều phản hồi tham chiếu cải thiện tương quan với đánh giá con người về chất lượng và tính đa dạng.,"Vẫn là hội thoại, không phải gia sư; không tự định nghĩa tiêu chí sư phạm.",Cân nhắc nhiều cách trả lời hợp lệ hoặc tập mốc chẩn đoán khi `gold_response` không duy nhất.,Abstract,Hữu ích khi cùng một lời nhắn có nhiều phản hồi gia sư chấp nhận được.
