sample_id,review_reason,priority,suggested_question_to_hnmu,related_criterion_ids,evidence_fragment_ids,checked_by,checked_at,shard_id
HNMU-G8-R0002-STT1,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0006,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0003-STT2,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0011,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0004-STT3,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0008,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0005-STT4,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0006-STT5,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0007-STT6,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0008-STT7,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGV-TIN8-4923610683#F0045,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0009-STT8,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0010-STT9,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0011-STT10,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0012-STT11,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0012,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0013-STT12,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0014-STT13,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0011,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0015-STT14,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0002,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0016-STT1,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0027,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0017-STT2,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0018-STT3,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0028,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0019-STT4,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0020-STT5,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0021-STT6,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0022-STT7,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0023-STT8,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0024-STT9,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0025-STT10,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGV-TIN8-4923610683#F0083,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0026-STT11,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGV-TIN8-4923610683#F0083,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0027-STT12,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0028-STT13,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0029-STT14,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0020,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0030-STT1,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0031-STT2,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0032-STT3,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0033-STT4,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0034-STT5,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0035-STT6,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0036-STT7,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
HNMU-G8-R0037-STT8,Có tiêu chí specialist còn chưa chắc: RAW-CON-04,trung bình,Vui lòng rà lại mẫu theo các tiêu chí được liệt kê để quyết định giữ/sửa/loại.,RAW-CON-04,LM-SGK-TIN8-0001#F0035,orchestrator-sync-from-draft-policy-checklist,2026-07-19T20:03:05+07:00,shard_01
