source_id,title,year,venue,url_or_doi,publication_status,source_kind,search_basis,primary_locator,screening_decision,notes
MTF-S001,A Brief Introduction to Evidence-Centered Design,2003,ETS Research Report Series,https://doi.org/10.1002/j.2333-8504.2003.tb01908.x,other,khung đo lường,tìm kiếm chuỗi năng lực–nhiệm vụ–bằng chứng,Abstract,include,"Nguồn nền tảng về thiết kế lấy bằng chứng làm trung tâm; dùng cho cấu trúc năng lực → nhiệm vụ → bằng chứng."
MTF-S002,Contemporary Test Validity in Theory and Practice: a Primer for Discipline-Based Education Researchers,2016,CBE-Life Sciences Education,https://pmc.ncbi.nlm.nih.gov/articles/PMC4803101/,peer_reviewed,tổng quan hiệu lực đo lường,tìm kiếm bằng chứng hiệu lực,"Mục “TEST VALIDITY AND THE TEST VALIDATION PROCESS”; “CATEGORIES OF TEST VALIDITY EVIDENCE”",include,"Xem hiệu lực đo lường là một lập luận dựa trên bằng chứng và liệt kê các nhóm bằng chứng hiện đại."
MTF-S003,Interrater reliability: the kappa statistic,2012,Biochemia Medica,https://doi.org/10.11613/BM.2012.031,peer_reviewed,hướng dẫn độ tin cậy,tìm kiếm mức nhất quán giữa người chấm,"Abstract; Measurement of interrater reliability; Conclusions",include,"Giải thích tỷ lệ đồng thuận và kappa; nêu lý do phải xét đồng thuận do ngẫu nhiên."
MTF-S004,Computing Inter-Rater Reliability for Observational Data: An Overview and Tutorial,2012,Tutorials in Quantitative Methods for Psychology,https://doi.org/10.20982/tqmp.08.1.p023,peer_reviewed,hướng dẫn độ tin cậy,tìm kiếm mức nhất quán giữa người chấm,Abstract,include,"Hỗ trợ lựa chọn và báo cáo chỉ số độ tin cậy giữa người chấm."
MTF-S005,Overview of Classical Test Theory and Item Response Theory for the Quantitative Assessment of Items in Developing Patient-Reported Outcome Measures,2014,Clinical Therapeutics,https://doi.org/10.1016/j.clinthera.2014.04.006,peer_reviewed,tổng quan phân tích câu hỏi,tìm kiếm độ khó và khả năng phân biệt,"Abstract; Discussion; Conclusions",include,"Nêu trực tiếp phân bố phản hồi, hiệu ứng sàn/trần, quan hệ câu hỏi–đáp ứng và thứ tự độ khó."
MTF-S006,Development and assessment of floor and ceiling items for the PROMIS physical function item bank,2013,Arthritis Research & Therapy,https://pmc.ncbi.nlm.nih.gov/articles/PMC3978724/,peer_reviewed,nghiên cứu hiệu ứng sàn và trần,tìm kiếm hiệu ứng sàn và trần,"Abstract; Introduction; Table 1",include,"Ví dụ thực nghiệm về mở rộng dải đo ở hai đầu."
MTF-S007,Judging the Judges: A Systematic Study of Position Bias in LLM-as-a-Judge,2025,ACL Anthology / IJCNLP-AACL,https://aclanthology.org/2025.ijcnlp-long.18/,peer_reviewed,thiên lệch của LLM chấm điểm,tìm kiếm thiên lệch vị trí,Abstract,include,"Bằng chứng trực tiếp về thiên lệch vị trí khi chấm theo cặp hoặc theo danh sách."
MTF-S008,Pairwise or Pointwise? Evaluating Feedback Protocols for Bias in LLM-Based Evaluation,2025,arXiv,https://arxiv.org/abs/2504.14716,preprint,thiên lệch giao thức chấm bằng LLM,tìm kiếm so sánh theo cặp với chấm tuyệt đối,Abstract,include,"Trong thí nghiệm của tác giả, giao thức theo cặp dễ bị đặc điểm gây nhiễu tác động hơn chấm điểm tuyệt đối."
MTF-S009,Better Automatic Evaluation of Open-Domain Dialogue Systems with Contextualized Embeddings,2019,SIGdial / ACL Anthology,https://aclanthology.org/W19-2310/,peer_reviewed,đánh giá phản hồi mở,tìm kiếm tính đa dạng của phản hồi tham chiếu,Abstract,include,"Giải thích vì sao đối sánh với một phản hồi tham chiếu kém hiệu quả khi có nhiều câu trả lời hợp lệ."
MTF-S010,Investigating Evaluation of Open-Domain Dialogue Systems With Human Generated Multiple References,2019,SIGdial / ACL Anthology,https://aclanthology.org/W19-5944/,peer_reviewed,đánh giá nhiều phản hồi tham chiếu,tìm kiếm nhiều phản hồi tham chiếu,Abstract,include,"Cho thấy dùng nhiều phản hồi tham chiếu cải thiện tương quan với đánh giá con người."
