sample_id,review_reason,priority,suggested_question_to_hnmu,related_criterion_ids,evidence_fragment_ids,checked_by,checked_at,shard_id
HNMU-G8-R0068-STT11,Có tiêu chí không đạt: RAW-STR-03;RAW-CON-04,cao,"Vui lòng kiểm tra và quyết định mẫu này cần sửa, loại khỏi batch hiện tại, hay giữ lại sau khi chỉnh.",RAW-STR-03;RAW-CON-04,LM-SGK-TIN8-0001#F0086,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0100-STT1,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0101-STT2,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0102-STT3,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0103-STT4,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0104-STT5,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0105-STT6,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0106-STT7,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0107-STT8,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
HNMU-G8-R0108-STT9,Có tiêu chí đối chiếu học liệu còn chưa chắc vì chưa truy xuất được fragment phù hợp: RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,trung bình,"Vui lòng xác nhận câu hỏi, đáp án SGV và hội thoại có khớp đúng bài/vị trí SGK/SGV không, hoặc bổ sung vị trí học liệu rõ hơn nếu có.",RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,,orchestrator-comprehensive-sync-from-checklist,2026-07-19T23:24:16+07:00,shard_01
