sample_id,grade,lesson,review_reason,priority,suggested_question_to_hnmu,related_criterion_ids,evidence_fragment_ids,checked_by,checked_at
HNMU-G6-R0148-STT7,6,Bài 11: Định dạng văn bản,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0266;LM-SGV-TIN6-4918798731#F0257,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0150-STT9,6,Bài 11: Định dạng văn bản,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0266;LM-SGV-TIN6-4918798731#F0262,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0155-STT14,6,Bài 11: Định dạng văn bản,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0266;LM-SGV-TIN6-4918798731#F0257,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0189-STT6,6,Bài 14: Hoàn thiện sổ lưu niệm,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0312;LM-SGV-TIN6-4918798731#F0314,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0190-STT7,6,Bài 14: Hoàn thiện sổ lưu niệm,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0312;LM-SGV-TIN6-4918798731#F0310,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0191-STT8,6,Bài 14: Hoàn thiện sổ lưu niệm,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0312;LM-SGV-TIN6-4918798731#F0308,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0194-STT11,6,Bài 14: Hoàn thiện sổ lưu niệm,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0312;LM-SGV-TIN6-4918798731#F0308,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0196-STT13,6,Bài 14: Hoàn thiện sổ lưu niệm,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0312;LM-SGV-TIN6-4918798731#F0301,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0234-STT9,6,Bài 17: Chương trình máy tính,RAW-CON-02: Có đáp án SGV trong raw nhưng evidence SGV truy xuất chưa đủ chắc để xác nhận đầy đủ.,medium,"Thầy/cô vui lòng kiểm tra lại các tiêu chí bị fail/uncertain, đặc biệt sự khớp giữa câu hỏi, đáp án SGV và hội thoại.",RAW-CON-02,LM-SGV-TIN6-4918798731#F0373;LM-SGV-TIN6-4918798731#F0378,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
HNMU-G6-R0045-STT2,6,Bài 4. Mạng máy tính,RAW-STR-02: Thiếu trường lõi: dialogue. | RAW-STR-03: Hội thoại trống nên không có nhãn lượt nói. | RAW-STR-04: Hội thoại trống. | RAW-CON-03: Không có hội thoại để đối chiếu với câu hỏi. | RAW-CON-04: Không có hội thoại để đối chiếu với đáp án. | RAW-PED-06: Thiếu hội thoại nên mẫu không giải quyết được yêu cầu học sinh. | RAW-PED-01: Thiếu hội thoại nên không thể đánh giá dấu hiệu dàn giáo. | RAW-PED-03: Thiếu hội thoại nên không thể đánh giá trình tự sư phạm. | RAW-PED-04: Thiếu hội thoại nên không thể đánh giá giá trị lượt nói.,high,Thầy/cô vui lòng bổ sung hoặc xác nhận hội thoại gia sư cho mẫu này trước khi xét chuyển đổi.,RAW-STR-02;RAW-STR-03;RAW-STR-04;RAW-CON-03;RAW-CON-04;RAW-PED-06;RAW-PED-01;RAW-PED-03;RAW-PED-04,LM-SGK-TIN6-0001#F0049;LM-SGV-TIN6-4918798731#F0123,hnmu-dialogue-auditor(shard-03),2026-07-17T23:19:58+07:00
