item_id,parent_id,item_type,source_label,normalized_label,toc_print_page,source_image_page,learning_material_id,evidence_type,status,notes
TIN9-CD01,,chu_de,Chủ đề 1. Máy tính và cộng đồng,Máy tính và cộng đồng,,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,"Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức. OCR không đọc rõ số trang trong mục lục, tạm để trống."
TIN9-B01,TIN9-CD01,bai_hoc,Bài 1. Thế giới kĩ thuật số,Thế giới kĩ thuật số,,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,"Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức. OCR không đọc rõ số trang trong mục lục, tạm để trống."
TIN9-CD02,,chu_de,"Chủ đề 2. Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin","Tổ chức lưu trữ, tìm kiếm và trao đổi thông tin",,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,"Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức. OCR không đọc rõ số trang trong mục lục, tạm để trống."
TIN9-B02,TIN9-CD02,bai_hoc,Bài 2. Thông tin trong giải quyết vấn đề,Thông tin trong giải quyết vấn đề,,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,"Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức. OCR không đọc rõ số trang trong mục lục, tạm để trống."
TIN9-B03,TIN9-CD02,bai_hoc,Bài 3. Thực hành: Đánh giá chất lượng thông tin,Thực hành: Đánh giá chất lượng thông tin,12,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức.
TIN9-CD03,,chu_de,"Chủ đề 3. Đạo đức, pháp luật và văn hoá trong môi trường số","Đạo đức, pháp luật và văn hoá trong môi trường số",15,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức.
TIN9-B04,TIN9-CD03,bai_hoc,Bài 4. Một số vấn đề pháp lí về sử dụng dịch vụ Internet,Một số vấn đề pháp lí về sử dụng dịch vụ Internet,15,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức.
TIN9-CD04,,chu_de,Chủ đề 4. Ứng dụng tin học,Ứng dụng tin học,20,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức.
TIN9-B05,TIN9-CD04,bai_hoc,Bài 5. Tìm hiểu phần mềm mô phỏng,Tìm hiểu phần mềm mô phỏng,20,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức.
TIN9-B06,TIN9-CD04,bai_hoc,Bài 6. Thực hành: Khai thác phần mềm mô phỏng,Thực hành: Khai thác phần mềm mô phỏng,23,5,LM-SGK-TIN9-4700233123,ocr_toc,needs_hnmu_review,Tên lấy từ OCR mục lục SGK Tin học 9; cần HNMU/UET rà soát trước khi chốt mã chính thức.
