sample_id,source_file,source_row_number,grade,lesson,position,question,bloom_level
HNMU-G6-R0045-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,45,6,Bài 4. Mạng máy tính,"Mục 2, Trang 18 SGK",Nêu các thành phần cơ bản của một mạng máy tính.,Nhận biết (Nêu tên các thành phần)
HNMU-G7-R0010-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,10,7,Bài 1. Thiết bị vào - ra,"Mục 1, Trang 6 SGK",Chức năng của loa và tai nghe có điểm gì giống nhau?,Thông hiểu (So sánh được)
HNMU-G6-R0002-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,2,6,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 6 SGK",Thông tin là gì?,Nhận biết (Nêu được khái niệm)
HNMU-G6-R0030-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,30,6,Bài 3. Thông tin trong máy tinh,"Mục 1, Trang 14 SGK",Đơn vị nhỏ nhất để đo dung lượng thông tin là gì?,Nhận biết (Nêu được tên đơn vị)
HNMU-G6-R0044-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,44,6,Bài 4. Mạng máy tính,Mục 1. Trang 17 SGK,Mạng máy tính là gì?,Nhận biết (Biết được khái niệm)
HNMU-G6-R0072-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,72,6,Bài 6: Mạng thông tin toàn cầu,Mục 1. Kiến thức mới (Tr. 27),Mạng thông tin toàn cầu (WWW) là gì?,Nhận biết (Nêu được khái niệm)
HNMU-G6-R0086-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,86,6,Bài 7: Tìm kiếm thông tin trên Internet,Mục 1. Máy tìm kiếm (Tr. 32),Máy tìm kiếm là gì?,Nhận biết (Nêu được khái niệm)
HNMU-G6-R0114-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,114,6,Bài 9: An toàn thông tin trên Internet,Mục 1. Kiến thức mới (Tr. 42),Thông tin cá nhân là gì?,Nhận biết (Nêu được khái niệm)
HNMU-G6-R0142-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,142,6,Bài 11: Định dạng văn bản,Mục 1. Phần mềm soạn thảo văn bản (Tr. 54),Kể tên các chức năng cơ bản của phần mềm soạn thảo văn bản.,Nhận biết (Kể tên được các chức năng cơ bản)
HNMU-G6-R0156-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,156,6,Bài 12: Trình bày thông tin ở dạng bảng,"Mục 1, Trang 59",Nêu ưu điểm của việc trình bày thông tin ở dạng bảng?,Nhận biết (Nêu được lợi ích)
HNMU-G6-R0184-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,184,6,Bài 14: Hoàn thiện sổ lưu niệm,"Mục 1, Trang 67",Mục đích chính của bài thực hành tổng hợp này là gì?,Nhận biết (Nêu được nội dung công việc)
HNMU-G6-R0198-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,198,6,Bài 15: Thuật toán,"Mục 1, Trang 70",Thuật toán là gì?,Nhận biết (Nêu được khái niệm thuật toán)
HNMU-G6-R0226-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,226,6,Bài 17: Chương trình máy tính,"Mục 1, Trang 78",Chương trình máy tính là gì?,Nhận biết (Nêu được khái niệm)
HNMU-G7-R0002-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,2,7,Bài 1. Thiết bị vào - ra,"Mục 1, Trang 5 SGK",Thiết bị vào dùng để làm gì?,Nhận biết (Nêu được chức năng)
HNMU-G7-R0030-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,30,7,Bài 3. Quản lí dữ liệu trong máy tính,"Mục 1, Trang 13 SGK",Tệp chương trình máy tính có được lưu trữ giống như tệp dữ liệu không?,Nhận biết (Biết được tệp chương trình cũng là dữ liệu)
HNMU-G7-R0044-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,44,7,Bài 4. Mạng xã hội và một số kênh trao đổi thông tin trên Internet,"Mục 1.b, Trang 19 SGK",Mạng xã hội là gì?,Nhận biết (Biết được khái niệm)
HNMU-G7-R0058-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,58,7,Bài 5. Ứng xử trên mạng,"Mục 1, Trang 23-24 SGK",Thế nào là ứng xử có văn hóa trên mạng?,Nhận biết (Biết được khái niệm)
HNMU-G7-R0086-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,86,7,Bài 7: Tính toán tự động trên bảng tính,Mục 1. Kiểu dữ liệu (Tr. 47 SGK),Nêu các kiểu dữ liệu chính trên bảng tính.,Nhận biết (Nêu được các kiểu dữ liệu)
HNMU-G7-R0114-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,114,7,Bài 9: Trình bày bảng tính,Mục 1. Định dạng dữ liệu (Tr. 57 SGK),Kể tên các lệnh định dạng dữ liệu số cơ bản trong nhóm Number.,Nhận biết (Kể tên được thành phần)
HNMU-G7-R0128-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,128,7,Bài 10: Hoàn thiện bảng tính,Câu hỏi 1 (Tr. 75 SGV),Mặc định các trang tính có được kẻ khung sẵn không?,Nhận biết (Nhận biết được sự có mặt của các thiết bị/thành phần)
HNMU-G7-R0142-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,142,7,Bài 11: Tạo bài trình chiếu,Mục 1. Trang 64,Nêu được các chức năng cơ bản của phần mềm trình chiếu.,Nhận biết (Nêu được)
HNMU-G7-R0170-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,170,7,Bài 13: Thực hành tổng hợp: Hoàn thiện bài trình chiếu,Mục 1. Trang 72,Nêu được mục đích của việc sử dụng hiệu ứng động trên trang chiếu.,Nhận biết (Nêu được)
HNMU-G7-R0198-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,198,7,Bài 15. Thuật toán tìm kiếm nhị phân,"Hoạt động khởi động (Trang 81, SGK)",Nêu được ý nghĩa của bài toán tìm kiếm nhị phân trong thực tiễn (ví dụ việc tra từ điển).,Nhận biết
HNMU-G7-R0212-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 7.xlsx,212,7,Bài 16. Thuật toán sắp xếp,"Hoạt động khởi động (Trang 85, SGK)",Nêu được ý nghĩa của thuật toán sắp xếp đối với bài toán tìm kiếm.,Nhận biết
