sample_id,review_reason,priority,suggested_question_to_hnmu,related_criterion_ids,evidence_fragment_ids,checked_by,checked_at,shard_id
HNMU-G8-R0002-STT1,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0006,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0003-STT2,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0011,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0004-STT3,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0008,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0005-STT4,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0002,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0006-STT5,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0002,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0007-STT6,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0002,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0008-STT7,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGV-TIN8-4923610683#F0045,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0009-STT8,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0002,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0010-STT9,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0002,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
HNMU-G8-R0011-STT10,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,trung bình,Vui lòng xác nhận fragment học liệu và lượt hội thoại này có phải bản chép đúng hay cần sửa ký hiệu/nhãn hay không?,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,LM-SGK-TIN8-0001#F0002,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00,shard_01
