sample_id,grade,lesson,bloom_band,quality_decision,confidence_score,failure_reasons,suggested_reviewer_action,needs_sgv_verification,needs_learning_resource_review
HNMU-G8-R0002-STT1,8,Bài 1. Lược sử công cụ tính toán,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0003-STT2,8,Bài 1. Lược sử công cụ tính toán,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0004-STT3,8,Bài 1. Lược sử công cụ tính toán,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0005-STT4,8,Bài 1. Lược sử công cụ tính toán,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0006-STT5,8,Bài 1. Lược sử công cụ tính toán,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0007-STT6,8,Bài 1. Lược sử công cụ tính toán,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0008-STT7,8,Bài 1. Lược sử công cụ tính toán,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0009-STT8,8,Bài 1. Lược sử công cụ tính toán,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0010-STT9,8,Bài 1. Lược sử công cụ tính toán,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0011-STT10,8,Bài 1. Lược sử công cụ tính toán,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0012-STT11,8,Bài 1. Lược sử công cụ tính toán,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0013-STT12,8,Bài 1. Lược sử công cụ tính toán,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0014-STT13,8,Bài 1. Lược sử công cụ tính toán,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0015-STT14,8,Bài 1. Lược sử công cụ tính toán,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0016-STT1,8,Bài 2. Thông tin trong môi trường số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0017-STT2,8,Bài 2. Thông tin trong môi trường số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0018-STT3,8,Bài 2. Thông tin trong môi trường số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0019-STT4,8,Bài 2. Thông tin trong môi trường số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0020-STT5,8,Bài 2. Thông tin trong môi trường số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0021-STT6,8,Bài 2. Thông tin trong môi trường số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0022-STT7,8,Bài 2. Thông tin trong môi trường số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0023-STT8,8,Bài 2. Thông tin trong môi trường số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0024-STT9,8,Bài 2. Thông tin trong môi trường số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0025-STT10,8,Bài 2. Thông tin trong môi trường số,Thông hiểu,pass,1.0,,keep,false,false
HNMU-G8-R0026-STT11,8,Bài 2. Thông tin trong môi trường số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0027-STT12,8,Bài 2. Thông tin trong môi trường số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0028-STT13,8,Bài 2. Thông tin trong môi trường số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0029-STT14,8,Bài 2. Thông tin trong môi trường số,Vận dụng,pass,1.0,,keep,false,false
HNMU-G8-R0030-STT1,8,Bài 3. Thực hành: Khai thác thông tin số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0031-STT2,8,Bài 3. Thực hành: Khai thác thông tin số,Nhận biết,pass,1.0,,keep,false,false
HNMU-G8-R0032-STT3,8,Bài 3. Thực hành: Khai thác thông tin số,Nhận biết,pass,1.0,,keep,false,false
