sample_id,source_file,source_row_number,grade,grade_label,stt,lesson,position,question,bloom_level,answer_sgv,dialogue,lesson_code,canonical_topic_id,canonical_topic_label,canonical_lesson_id,canonical_lesson_label,registry_status,evidence_fragment_id,evidence_material_type,evidence_lesson_title,evidence_page_start,evidence_source_markdown_path,evidence_status,evidence_match_reason,needs_learning_resource_review,consistency_issue_codes
HNMU-G8-R0156-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,156,8,Lớp 8,1,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Mở đầu / Khám phá,Nêu được tên phần mềm chỉnh sửa ảnh miễn phí được sử dụng trong bài học.,Nhận biết,GIMP,"HS: Thầy ơi, GIMP có giống Paint không ạ?
AI: Câu hỏi rất hay! Paint là công cụ vẽ cơ bản. Em có nhớ GIMP được xếp vào nhóm phần mềm gì theo SGK không?
HS: Phần mềm chỉnh sửa ảnh ạ.
AI: Đúng rồi. Vậy chỉnh sửa ảnh chuyên nghiệp thì cần thao tác với đối tượng nào mà Paint không có?
HS: Em không nhớ rõ ạ.
AI: Bắt đầu bằng chữ ""L"", xếp chồng lên nhau tạo thành ảnh. Gợi ý là ""Layer"" (Lớp).
HS: À, các lớp ảnh! GIMP chuyên nghiệp hơn vì có quản lý lớp.
AI: Rất xuất sắc! Nắm được ""lớp"" là em đã hiểu bản chất GIMP rồi đó.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0168,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0157-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,157,8,Lớp 8,2,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Mục 1. Kiến thức mới,Nhận diện được các khu vực chính trên giao diện làm việc của phần mềm.,Nhận biết,"Hộp công cụ, Cửa sổ ảnh, Tuỳ chọn công cụ, Bảng điều khiển lớp (Layers).","HS: Thầy ơi, em lỡ tắt mất cái bảng bên phải rồi.
AI: Thầy thấy em đang bị ẩn mất Bảng điều khiển (Docks). Em có nhớ menu nào trên thanh công cụ chứa lệnh quản lý các cửa sổ không?
HS: Menu View ạ?
AI: Gần đúng! Chữ ""Cửa sổ"" trong tiếng Anh là gì nhỉ?
HS: Là Windows!
AI: Tuyệt vời! Giờ em vào menu Windows. Em thấy dòng nào có chữ ""Dockable Dialogs"" không?
HS: Dạ thấy rồi, em chọn Layers là nó hiện lại rồi ạ!
AI: Rất tốt! Lần sau lỡ tắt thì em cứ vào Windows để tìm lại nhé.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0158-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,158,8,Lớp 8,3,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Mục 2. Lưu và xuất tệp,Biết được phần mở rộng mặc định của tệp dự án trong phần mềm là gì.,Nhận biết,.xcf,"HS: Thầy ơi, đuôi .xcf có gửi cho bạn xem trên điện thoại được không?
AI: Theo em, điện thoại bình thường có cài GIMP để đọc đuôi dự án .xcf không?
HS: Chắc là không ạ. Vậy bạn em sẽ không xem được?
AI: Đúng vậy. Đuôi .xcf chỉ để mình chỉnh sửa tiếp. Muốn gửi xem được thì ảnh thường có đuôi gì quen thuộc?
HS: Đuôi .jpg hoặc .png ạ!
AI: Rất thông minh! Lát nữa thầy sẽ hướng dẫn em cách tạo ra đuôi .jpg nhé.
HS: Dạ vâng, em hiểu rồi ạ.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0174,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,61,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0159-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,159,8,Lớp 8,4,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Mục 3. Công cụ chọn,Nêu được tên công cụ dùng để chọn một vùng ảnh hình chữ nhật.,Nhận biết,Rectangle Select Tool,"HS: Thầy ơi em không chọn được hình chữ nhật.
AI: Em đang dùng công cụ hình Elip (Ellipse Select). Hình Elip là hình tròn dẹt đúng không?
HS: Dạ vâng.
AI: Vậy để chọn hình chữ nhật, em cần đổi sang công cụ biểu tượng hình vuông. Nằm ngay cạnh hình Elip đó.
HS: Em thấy rồi, nhưng bấm vào nó không chọn được.
AI: Em thử nháy chuột trái, giữ và kéo rê một đoạn xem sao?
HS: À, nó ra một khung chữ nhật nét đứt rồi ạ.
AI: Tuyệt vời. Đó chính là thao tác quét chọn vùng ảnh đấy.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0173,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,61,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G8-R0160-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,160,8,Lớp 8,5,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Luyện tập,Phân biệt được sự khác nhau giữa lệnh Save và lệnh Export.,Thông hiểu,"Save: lưu tệp dự án (.xcf) để sửa đổi; Export: xuất ra tệp ảnh (.jpg, .png) để sử dụng.","HS: Thầy ơi, em làm xong rồi, ấn Save rồi gửi cho thầy chấm nhé.
AI: Chậm lại một chút nhé! Em Save thì tệp sẽ có đuôi gì?
HS: Đuôi .xcf ạ.
AI: Nếu thầy không cài GIMP trong máy thì thầy có mở được đuôi .xcf không?
HS: Dạ không ạ. Vậy em phải làm sao để thầy mở được?
AI: Em cần một đuôi ảnh thông dụng như .jpg. Trong menu File, lệnh nào giúp ""xuất"" ảnh ra đuôi .jpg nhỉ?
HS: Là Export As đúng không thầy?
AI: Chuẩn luôn! Em dùng Export As rồi gửi lại cho thầy nhé.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0161-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,161,8,Lớp 8,6,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Mục 1. Khám phá,Mô tả được chức năng chính của Hộp công cụ (Toolbox).,Thông hiểu,"Chứa các công cụ dùng để thao tác, chỉnh sửa, vẽ, chọn vùng...","HS: Thầy ơi sao bên trái màn hình em có nhiều nút hình thù lạ quá.
AI: Đó là Hộp công cụ (Toolbox) em ạ. Nó giống như hộp dụng cụ của thợ mộc. Em thử trỏ chuột (không bấm) vào nút hình cục tẩy xem nó báo gì?
HS: Nó hiện chữ ""Eraser Tool"".
AI: ""Eraser"" nghĩa là gì trong tiếng Anh em nhỉ?
HS: Là cục tẩy ạ. Dùng để xoá chi tiết sai?
AI: Chính xác! Vậy em suy ra toàn bộ cái Hộp công cụ này có chức năng tổng quát là gì?
HS: Chắc là chứa các công cụ để mình dùng sửa ảnh ạ.
AI: Rất thông minh. Em hãy khám phá tiếp các công cụ khác nhé.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0162-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,162,8,Lớp 8,7,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Câu hỏi củng cố,Giải thích được lợi ích của việc lưu ảnh dưới định dạng .xcf.,Thông hiểu,Giữ nguyên cấu trúc các lớp (layers) và thiết lập để có thể tiếp tục chỉnh sửa chi tiết về sau.,"HS: Em lỡ Export ra .jpg lúc đang làm dở. Giờ em muốn đổi màu cái chữ em vừa gõ nhưng không được.
AI: Thầy hiểu vấn đề rồi. Khi em Export ra .jpg, bức ảnh và chữ đã bị ""ép phẳng"" lại thành một khối. Em có lưu tệp .xcf trước khi Export không?
HS: Dạ em quên không lưu .xcf ạ.
AI: Tiếc quá. Đặc tính của .xcf là giữ nguyên từng ""lớp"" (layer) chữ và nền riêng biệt. Nhờ vậy em đổi màu chữ rất dễ. Giờ em biết tại sao phải lưu .xcf chưa?
HS: Dạ, để nó không bị ép phẳng, các lớp còn nguyên để sửa ạ.
AI: Rút kinh nghiệm sâu sắc nhé. Lần sau nhớ nhấn Ctrl+S (Save) trước khi Export!",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0163-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,163,8,Lớp 8,8,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Mục 1. Kiến thức mới,Trình bày được cách mở một tệp ảnh có sẵn trong máy tính vào GIMP.,Thông hiểu,Vào File -> Open -> Tìm đường dẫn đến tệp ảnh -> Chọn Open.,"HS: Em muốn chèn ảnh bông hoa mà không biết mở ở đâu.
AI: Để lấy một tệp có sẵn, mình luôn bắt đầu từ Menu. Em nhìn lên góc trái trên cùng, có chữ ""File"", nhấp vào đó nhé.
HS: Em nhấp rồi, nó ra một danh sách dài ạ.
AI: Lệnh để ""mở"" tài liệu trong tiếng Anh là gì em?
HS: Dạ là Open.
AI: Đúng. Em chọn Open, một cửa sổ sẽ hiện ra. Bước tiếp theo em nghĩ mình cần làm gì?
HS: Tìm chỗ chứa ảnh bông hoa rồi bấm nút Open ở góc ạ.
AI: Cực kì chuẩn xác. Em thực hiện ngay đi.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0164-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,164,8,Lớp 8,9,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Luyện tập,Hiểu được tác dụng của phím tắt Ctrl+Z (Undo) trong quá trình chỉnh sửa.,Thông hiểu,"Hoàn tác, huỷ lệnh vừa làm sai để ảnh quay về trạng thái trước đó.","HS: Em lỡ tay cắt mất một nửa cái ảnh, em phải tắt phần mềm mở lại ạ?
AI: Không cần phải tắt phần mềm đâu em. Em có nhớ trong Word, khi gõ sai chữ thì mình bấm phím tắt gì để quay lại không?
HS: Em bấm nút mũi tên quay lại hoặc Ctrl + Z ạ.
AI: Rất tốt! Nguyên lí đó áp dụng y hệt cho GIMP. Em thử bấm Ctrl + Z trên bàn phím ngay bây giờ xem.
HS: Ủa, ảnh của em trở lại nguyên vẹn rồi thầy ơi.
AI: Đó là lệnh Undo (Hoàn tác). Bất cứ khi nào làm sai bước nào, em chỉ cần dùng phím tắt nào?
HS: Dạ Ctrl + Z ạ.
AI: Khắc cốt ghi tâm nhé!",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0165-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,165,8,Lớp 8,10,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Mục 4. Công cụ cắt,Trình bày được mục đích của công cụ Crop Tool khi xử lí ảnh.,Thông hiểu,"Dùng để cắt bỏ phần viền thừa, thu hẹp khung hình vào trọng tâm cần lấy của bức ảnh.","HS: Thầy ơi em có ảnh chụp đông người quá, em chỉ muốn lấy mỗi khuôn mặt em để làm avatar thì dùng lệnh gì ạ?
AI: Đây là một nhu cầu rất thực tế! Em cần loại bỏ phần phong cảnh và người xung quanh. Em nhìn ở Hộp công cụ, có biểu tượng hình lưỡi dao lam (đan chéo nhau). Nó tên là gì?
HS: Nó ghi là Crop Tool ạ.
AI: Đúng rồi, Crop nghĩa là xén, cắt viền. Em bấm vào nó, kéo một ô vuông bao quanh mặt em thôi.
HS: Em kéo rồi, xung quanh mặt em tối đi.
AI: Khung sáng chính là phần được giữ lại. Để quyết định ""Cắt"", em thử nhấn phím Enter trên bàn phím xem.
HS: Xong rồi thầy ơi, phần xung quanh mất hết rồi. Chuẩn luôn ạ!
AI: Chúc mừng em đã có avatar mới!",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0166-STT11,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,166,8,Lớp 8,11,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Vận dụng,Thực hiện được thao tác cắt ảnh (Crop) và xuất kết quả ra định dạng .jpg.,Vận dụng,Dùng Crop quét vùng -> Nhấn Enter -> File -> Export As -> .jpg.,"HS: Em cắt ảnh (Crop) xong rồi nhưng giờ nộp bài lên hệ thống nó báo sai định dạng tệp.
AI: Thầy phân tích nhé: Hệ thống yêu cầu nộp file ảnh (.jpg, .png). Đuôi file hiện tại em đang nộp là đuôi gì?
HS: Đuôi của em là .xcf ạ.
AI: Đó là nguyên nhân! Đuôi .xcf là tệp dự án. Em hãy dùng lệnh gì trong menu File để biến dự án này thành ảnh thật?
HS: Em phải dùng Export As đúng không thầy?
AI: Chính xác 100%. Khi Export As, ở ô đặt tên file, em gõ thêm "".jpg"" ở cuối. Em thử làm xem.
HS: Em gõ tên là ""bai_tap.jpg"" rồi bấm Export. Được file ảnh rồi thầy ạ!
AI: Rất giỏi! Lỗi định dạng là lỗi rất phổ biến, em đã tự mình khắc phục được rồi.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0167-STT12,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,167,8,Lớp 8,12,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thực hành,Sử dụng được công cụ Text để chèn văn bản chữ vào hình ảnh.,Vận dụng,Chọn Text Tool (chữ A) -> Nháy vào ảnh -> Gõ chữ -> Chỉnh sửa định dạng.,"HS: Em gõ được chữ lên ảnh rồi nhưng chữ bé xíu và màu đen chìm nghỉm vào nền luôn.
AI: Em đã đi được 50% chặng đường rồi! Để sửa chữ, em quét bôi đen đoạn chữ vừa gõ trước nhé.
HS: Em bôi đen rồi ạ.
AI: Bây giờ em nhìn xuống góc trái phía dưới có bảng ""Tool Options"". Em thấy ô nào có số (kích thước) và ô nào có ô vuông màu đen (màu sắc) không?
HS: Dạ thấy, em tăng số lên 50 thì chữ to ra rồi.
AI: Tuyệt. Giờ em nháy vào ô màu đen, chọn màu Trắng hoặc Đỏ cho nổi bật nhé.
HS: A, chữ của em bự và màu đỏ rồi thầy ơi. Đẹp lắm ạ!
AI: Kỹ năng tùy chỉnh Tool Options của em rất linh hoạt. Cứ thế phát huy nhé.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0168-STT13,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,168,8,Lớp 8,13,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Vận dụng,Chỉnh sửa được một bức ảnh bị nghiêng bằng các công cụ xoay và cắt.,Vận dụng,Dùng Rotate Tool xoay cho thẳng góc -> Dùng Crop Tool xén phần viền lởm chởm.,"HS: Thầy hướng dẫn em xoay ảnh cho thẳng cột cờ với ạ.
AI: Em tìm biểu tượng Rotate (hai mũi tên xoay). Khi em nhấp vào ảnh, một bảng thông số hiện ra. Em thử giữ chuột vào góc ảnh và kéo lên/xuống nhẹ nhẹ xem.
HS: Ồ ảnh xoay theo chuột rồi. Cột cờ thẳng rồi ạ, em nhấn nút Rotate nhé?
AI: Nhấn đi em. Nhưng em quan sát kĩ 4 góc bức ảnh xem có gì bất thường không?
HS: Nó bị thừa ra mấy cái góc nền trong suốt ạ.
AI: Chính xác. Giờ mình không thể để bức ảnh lởm chởm vậy được. Công cụ nào giúp cắt một khung chữ nhật chuẩn ở giữa và vứt bỏ phần thừa xung quanh?
HS: Em dùng công cụ Crop (cắt ảnh) đúng không ạ?
AI: Tư duy giải quyết vấn đề xuất sắc! Khâu Xoay và Cắt luôn đi cặp với nhau. Em Crop luôn đi nhé.",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G8-R0169-STT14,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 8.xlsx,169,8,Lớp 8,14,[8b] Làm quen với phần mềm chỉnh sửa ảnh,Thực hành tổng hợp,Vận dụng tạo mới một dự án ảnh với kích thước tùy chỉnh và lưu tệp.,Vận dụng,"File -> New -> Nhập Width, Height -> Dùng Bucket Fill tô màu -> File -> Save.","HS: Em muốn tự thiết kế một cái thiệp. Bắt đầu thế nào thầy?
AI: Bắt đầu bằng việc tạo một ""tờ giấy trắng"". Trong mọi phần mềm, lệnh tạo mới luôn nằm ở menu File. Tên nó là gì em nhỉ?
HS: Dạ là File -> New.
AI: Đúng. Phần mềm hỏi em kích thước Width (chiều rộng) và Height (chiều cao). Thiệp của em hình chữ nhật nằm ngang thì Rộng hay Cao phải lớn hơn?
HS: Chiều Rộng (Width) phải lớn hơn ạ. Em để 1000, chiều cao 500 được không?
AI: Tỉ lệ đó rất đẹp. Nhấn OK nhé. Giờ em muốn nền màu gì?
HS: Màu xanh nhạt ạ.
AI: Em tìm công cụ hình Thùng sơn (Bucket Fill), chọn màu xanh ở ô màu rồi đổ (click) vào khung trắng xem.
HS: Xong rồi thầy. Ra luôn nền xanh. Em Save lại đuôi .xcf để mai em ghép ảnh vô nha.
AI: Em đã làm chủ hoàn toàn quy trình rồi đấy. Chúc mừng em!",8B,TIN8-CD04B,Làm quen với phần mềm chỉnh sửa ảnh,TIN8-B08B,Phần mềm chỉnh sửa ảnh,needs_hnmu_review,LM-SGK-TIN8-0001#F0166,SGK,Bài 8B. Phần mềm chỉnh sửa ảnh,60,shared/learning_resources/ocr_text/sgk_tin_hoc_8/tin_8_bai_8b/tin_8_bai_8b.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
