surface,previous_entrypoint,current_entrypoint,locked_invariant,evidence,status
package_import,vertex_ai_call,edu_benchmark.requirement_scoring,old_namespace_absent_and_business_package_importable,tests/packaging/test_packaging_contract.py,passed
requirement_business,src/vertex_ai_call/requirement_scoring.py,src/edu_benchmark/requirement_scoring/core.py,prompt_payload_request_hash_candidate_order_and_output_schema,tests/requirement_scoring/test_requirement_scoring.py,passed
requirement_vertex_transport,VertexRequirementClient,RequirementScoringModelClient_over_VertexAIProvider,model_system_prompt_json_schema_configured_generation_controls_and_response_metadata,tests/requirement_scoring/test_requirement_scoring.py_and_tests/model_providers/test_providers.py,passed
gemini_judge_transport,GeminiVertexJudgeCaller_with_direct_sdk,GeminiVertexJudgeCaller_over_VertexAIProvider,judge_schema_native_prompts_authorized_include_thoughts_true_usage_and_retry_metadata,tests/benchmark_evaluation/test_claude_judge_runner.py,passed
openai_judge_transport,OpenAIJudgeCaller_with_direct_sdk,OpenAIJudgeCaller_over_OpenAIProvider,responses_input_strict_schema_reasoning_usage_and_finish_reason,tests/benchmark_evaluation/test_openai_judge.py_and_tests/model_providers/test_providers.py,passed
requirement_run_cli,src/vertex_ai_call/run_requirement_scoring.py,scripts/requirement_scoring/run_requirement_scoring.py,config_required_cli_overrides_explicit_execute_api_guard_and_dispatch,tests/requirement_scoring/test_requirement_scoring.py,passed
requirement_analysis_cli,src/vertex_ai_call/analyze_requirement_scoring.py,scripts/requirement_scoring/analyze_requirement_scoring.py,deterministic_analysis_with_config_owned_paths_counts_and_seed,tests/requirement_scoring/test_analysis.py_and_tests/requirement_scoring/test_requirement_scoring.py,passed
requirement_runtime_config,hardcoded_experiment_defaults,experiments/20260806_145124/configs/requirement-scoring-20260727-v1.yaml,repository_relative_paths_strict_schema_no_secrets_and_cli_override_precedence,tests/requirement_scoring/test_requirement_scoring.py,passed
requirement_retry_policy,retry_all_exceptions_until_max_retries,classified_provider_and_response_validation_retry,provider_retryable_true_retries_provider_retryable_false_stops_response_validation_retries_unknown_errors_stop,tests/requirement_scoring/test_requirement_scoring.py,passed
gemini_batch_thinking,include_thoughts_false,include_thoughts_true,project_lead_authorized_thought_summary_request_for_gemini_batch_judging,tests/benchmark_evaluation/test_batch_judge.py,passed
provider_dependency_direction,not_applicable,src/edu_benchmark/model_providers,provider_does_not_import_workflows_or_read_experiment_artifacts,tests/model_providers/test_providers.py,passed
dependency_pin,requirements_PyYAML_6.0.3_vs_pyproject_6.0.2,requirements_and_pyproject_PyYAML_6.0.2,full_dependency_union_equals_package_groups_and_pip_check_clean,tests/packaging/test_packaging_contract.py,passed
