sample_id,actual_decision,expected_decision,actual_confidence_score,expected_confidence_score,decision_is_consistent,confidence_is_consistent,blocking_criterion_ids
HNMU-G6-R0002-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0003-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0004-STT3,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0005-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0006-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0007-STT6,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0008-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0009-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0010-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0011-STT10,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0012-STT11,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0013-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0014-STT13,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0015-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0156-STT1,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0157-STT2,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0158-STT3,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0159-STT4,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0160-STT5,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0161-STT6,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0162-STT7,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0163-STT8,need_human_review,need_human_review,0.54,0.54,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0164-STT9,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0165-STT10,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0166-STT11,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0167-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0168-STT13,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0169-STT14,need_human_review,need_human_review,0.58,0.58,true,true,RAW-CON-02
HNMU-G6-R0198-STT1,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0199-STT2,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0200-STT3,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0201-STT4,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0202-STT5,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0203-STT6,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0204-STT7,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0205-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0206-STT9,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0207-STT10,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02;RAW-CON-05;RAW-CON-07
HNMU-G6-R0208-STT11,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0209-STT12,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0210-STT13,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
HNMU-G6-R0211-STT14,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-02
