sample_id,source_file,source_row_number,grade,lesson,quality_decision_suggestion,confidence_score,failure_reasons,suggested_reviewer_action,needs_hnmu_review,needs_learning_resource_review,needs_sgv_verification,evidence_fragment_ids,checked_by,checked_at
HNMU-G6-R0002-STT1,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,2,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0003,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0003-STT2,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,3,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0003,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0004-STT3,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,4,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0005,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0005-STT4,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,5,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0006,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0006-STT5,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,6,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0004,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0007-STT6,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,7,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0004,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0008-STT7,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,8,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0008,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0009-STT8,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,9,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0004,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0010-STT9,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,10,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0004,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0011-STT10,shared/raw_data/HNMU-teacher_dialog_samples/Lớp 6.xlsx,11,6,Bài 1. Thông tin và dữ liệu,pass,0.70,RAW-CON-02: Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,keep,false,true,true,LM-SGK-TIN6-0001#F0004,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
