sheet_row,stt,field_label,benchmark_field,data_type,required_level,meaning,constraints,example_from_sheet
2,1,Tên người tạo dữ liệu,author_name,Văn bản,Ưu tiên 1 (buộc phải có),Tên người tạo dữ liệu,Phải ghi tên đầy đủ,
3,2,Mã task,Task_id,"Văn bản, giả mã, mã lệnh ngắn",Ưu tiên 1 (buộc phải có),"Tên mã task, ứng với các task được mô tả trong sheet: ""tóm tắt task""","Mã task phải ăn khớp với các mã task được liệt kê trong sheet ""tóm tắt task""; hoàn toàn do bên UET chủ động thực hiện.",
4,3,Chủ đề,Topic,"Văn bản, giả mã, mã lệnh ngắn",Ưu tiên 1 (buộc phải có),Tên chủ đề học sau khi đã được chuẩn hóa.,Chủ đề phải nằm trong danh sách chủ đề có trong SGK Tin học THCS.,
5,4,Mức độ nhận thức,cognitive_level,Văn bản,Ưu tiên 1 (buộc phải có),Độ khó trong yêu cầu của học sinh về kiến thức thuộc chủ đề.,"Thuộc 1 trong 3 giá trị: Biết, Hiểu, Vận dụng.",
6,5,Yêu cầu của học sinh về kiến thức thuộc chủ đề,student_prompt,Văn bản,Ưu tiên 1 (buộc phải có),"Câu hỏi/yêu cầu của học sinh dành cho gia sư, nằm trong phạm vi chủ đề đã điền.",Câu hỏi phải liên quan đến kiến thức thuộc chủ đề học đã được điền ở cột trước đó.,
7,6,Bài làm của học sinh,student_work,Ảnh hoặc văn bản,"Ưu tiên 3 (có thì rất tốt, giúp bổ sung ngữ cảnh)","Đề bài và nội dung bài làm hiện có của học sinh. Phần bài làm phải ghi đúng nội dung học sinh đã viết/chọn/làm, không diễn giải lại bằng lời của người tạo mẫu.","Ghi theo dạng: Đề bài: ...; Bài làm: ... Không viết “học sinh chọn/làm/định...” nếu có thể ghi trực tiếp đáp án, câu viết, công thức, mã lệnh hoặc mô tả sản phẩm của học sinh. Nếu học sinh chưa làm, ghi: Bài làm: Chưa có bài làm.",
8,7,Lịch sử trao đổi giữa học sinh và gia sư,conversation_history,Văn bản có cấu trúc,Ưu tiên 1 (buộc phải có),"Lịch sử hội thoại giữa học sinh và gia sư, dưới dạng các bước hội thoại xen kẽ.",Có định dạng gồm lượt và bước; lượt tương đương một chat session; bước chạy xen kẽ học sinh/gia sư; cần tuân thủ tiến trình sư phạm/giàn giáo trong giới hạn số bước.,
9,8,Danh sách học liệu tham khảo,reference_curriculumn_list,Văn bản có cấu trúc,Ưu tiên 1 (buộc phải có),Danh sách chi tiết các bài học có liên quan hoặc giúp giải quyết yêu cầu của học sinh.,Phải chỉ rõ bài học liên quan; nằm trong phạm vi Tin học lớp 9 và tiền kiến thức lớp 6–8 có liên quan nếu cần.,- <Mục trong bài>|<Tên bài>|<Tên sách>|<Trang>
10,9,Đáp án cho câu hỏi Yêu cầu của học sinh về kiến thức thuộc chủ đề (ưu tiên 1),gold_response,Văn bản,Ưu tiên 1 (buộc phải có),Câu trả lời ground-truth/lý tưởng của gia sư dành cho yêu cầu của học sinh.,Phải dựa trên danh sách học liệu tham khảo; xử lý phù hợp với trường hợp trong/ngoài phạm vi và giới hạn lịch sử hội thoại.,
11,10,Cách trả lời khác vẫn hợp lệ (ưu tiên 2),accepted_response_list,Văn bản có cấu trúc,Ưu tiên 1 (buộc phải có),Các câu trả lời khác vẫn có thể được chấp nhận là đúng của gia sư.,Có cấu trúc gạch đầu dòng; mỗi gạch đầu dòng chứa một cách trả lời hợp lệ.,
12,11,Điểm đánh giá theo thang đo Likert,rubric_score_list,Văn bản có cấu trúc,Ưu tiên 1 (buộc phải có),Danh sách điểm theo từng tiêu chí.,Tiêu chí phải nằm trong danh sách tiêu chí của task; điểm phải nằm trong phạm vi thang Likert.,- tuân thủ tiến trình sư phạm: 5
13,12,Độ chính xác về kiến thức,truthfulness_score,Giá trị điểm theo thang Likert,"Ưu tiên 2 (nên có, giúp hiểu rõ mẫu dữ liệu hơn)",Tính chính xác về mặt nội dung của câu trả lời mẫu khi đối chiếu với học liệu tham khảo.,Nằm trong miền giá trị của thang Likert.,
14,13,"Tính tuân thủ ranh giới (đạo đức, pháp lý, định kiến,...)",boundary_adherence_score_list,Văn bản có cấu trúc,"Ưu tiên 2 (nên có, giúp hiểu rõ mẫu dữ liệu hơn)",Tính tuân thủ các ranh giới chung và ranh giới riêng cho nghiệp vụ sư phạm.,Có cấu trúc gạch đầu dòng; mỗi dòng chứa tên tiêu chí và điểm Likert tương ứng.,
15,14,Tên người kiểm tra chéo,cross_validator_name,Văn bản,Ưu tiên 4 (có thể không có),Tên người kiểm tra chéo chất lượng và tính thống nhất của mẫu.,Mẫu chỉ hoàn thành khi tác giả và người kiểm tra chéo đạt đồng thuận.,
16,15,Thời gian tạo dữ liệu,created_at,Văn bản có cấu trúc,Ưu tiên 4 (có thể không có),Thời điểm bắt đầu tạo dữ liệu bởi tác giả được phân công.,Tuân thủ format <năm><tháng><ngày>_<giờ><phút><giây>.,
17,16,Thời gian hoàn thành dữ liệu,completed_at,Văn bản có cấu trúc,Ưu tiên 4 (có thể không có),Thời điểm hoàn thành tạo dữ liệu.,Chỉ điền khi tác giả và người kiểm tra chéo đạt đồng thuận; dùng format <năm><tháng><ngày>_<giờ><phút><giây>.,
18,17,Ghi chú,Note,Note,Ưu tiên 4 (có thể không có),Các ghi chú trong quá trình tạo dữ liệu.,,
