benchmark_candidate_id,sample_id,grade,lesson,position,bloom_level,student_prompt,conversation_history,source_question,gold_answer,has_history,history_turn_count,selection_reason
BC-HNMU-G6-R0076-STT5-AI06,HNMU-G6-R0076-STT5,6,Bài 6: Mạng thông tin toàn cầu,Mục 1. Kiến thức mới (Tr. 27),Thông hiểu (Giải thích chức năng),Tại sao mỗi website lại cần một địa chỉ riêng dài dằng dặc thế ạ?,"[{""turn_index"":2,""role"":""tutor"",""content"":""Nếu em muốn gửi thư cho một người bạn, em có cần biết địa chỉ nhà bạn ấy không?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ cần chứ ạ, nếu không thư sẽ bị lạc.""},{""turn_index"":4,""role"":""tutor"",""content"":""Website cũng vậy! Internet rất rộng lớn, địa chỉ website giúp trình duyệt tìm đúng \""căn nhà\"" chứa thông tin em cần. Vậy địa chỉ đó có được trùng nhau không nhỉ?""},{""turn_index"":5,""role"":""student"",""content"":""Dạ không, phải là duy nhất ạ!""}]",Địa chỉ website dùng để làm gì?,Dùng để xác định vị trí duy nhất của website đó trên mạng để người dùng có thể truy cập.,true,4,"grade=6;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0137-STT10-AI04,HNMU-G6-R0137-STT10,6,Bài 10: Sơ đồ tư duy,Mục 3 (Tr. 50),Thông hiểu (Giải thích được lợi ích),"Vẽ tay sướng hơn chứ thầy, sao lại phải dùng phần mềm ạ?","[{""turn_index"":2,""role"":""tutor"",""content"":""Nếu em vẽ tay xong mà muốn đổi chỗ hai nhánh lớn cho nhau, em có phải vẽ lại cả tờ giấy không?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ phải ạ, mất công lắm.""}]",Nêu lợi ích của việc sử dụng phần mềm để tạo sơ đồ tư duy so với vẽ tay.,"Dễ dàng chỉnh sửa (thêm, bớt, thay đổi vị trí nhánh), trình bày đẹp, dễ dàng chia sẻ và lưu trữ.",true,2,"grade=6;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0214-STT3-AI06,HNMU-G6-R0214-STT3,6,Bài 16: Các cấu trúc điều khiển,"Mục 1.a, Trang 74",Nhận biết (Nêu được khái niệm),Cấu trúc tuần tự là làm các việc cùng lúc hay thế nào ạ?,"[{""turn_index"":2,""role"":""tutor"",""content"":""Em hãy nhìn vào Hình 6.6 trang 74. Các mũi tên chỉ từ Lệnh 1 sang Lệnh 2 rồi đến Lệnh 3 theo một đường thẳng hay rẽ hướng khác?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ theo một đường thẳng từ trên xuống dưới ạ.""},{""turn_index"":4,""role"":""tutor"",""content"":""Đúng vậy, việc thực hiện lần lượt như thế gọi là \""tuần tự\"". Em thử nêu lại định nghĩa xem nào?""},{""turn_index"":5,""role"":""student"",""content"":""Dạ, cấu trúc tuần tự là thực hiện lần lượt từng bước từ đầu đến cuối ạ.""}]",Thế nào là cấu trúc tuần tự?,Cấu trúc tuần tự là cấu trúc mà các bước được thực hiện lần lượt từng bước một từ bắt đầu đến kết thúc.,true,4,"grade=6;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0176-STT7-AI02,HNMU-G6-R0176-STT7,6,Bài 13: Tìm kiếm và thay thế,"Mục 1, Trang 64",Thông hiểu (Mô tả quy trình),Thầy tóm tắt lại các bước để em tự thực hiện tìm kiếm với ạ.,[],Trình bày các bước để tìm một từ trong văn bản?,B1: Chọn Home/Find; B2: Nhập từ cần tìm vào ô Search; B3: Quan sát các kết quả được đánh dấu trên văn bản.,false,0,"grade=6;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0151-STT10-AI02,HNMU-G6-R0151-STT10,6,Bài 11: Định dạng văn bản,Mục 2. Kiến thức mới (Tr. 56),Thông hiểu (Trình bày được quá trình),"Làm sao để xoay ngang tờ giấy trong Word hả thầy, em tìm mãi không thấy nút đó?",[],Trình bày các bước để thay đổi hướng trang văn bản.,Chọn thẻ Page Layout -> Chọn lệnh Orientation -> Chọn Portrait (đứng) hoặc Landscape (ngang).,false,0,"grade=6;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0229-STT4-AI02,HNMU-G6-R0229-STT4,6,Bài 17: Chương trình máy tính,"Mục 1, Trang 78",Nhận biết (Nhận ra các lệnh),"Làm sao máy tính biết phải làm bước nào trước, bước nào sau hả thầy?",[],Máy tính thực hiện công việc dựa trên yếu tố nào trong chương trình?,Máy tính thực hiện công việc bằng cách thực hiện lần lượt các lệnh trong chương trình.,false,0,"grade=6;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0041-STT12-AI06,HNMU-G6-R0041-STT12,6,Bài 3. Thông tin trong máy tinh,"Vận dụng 2, Trang 15 SGK",Vận dụng (Thực hiện thao tác mã hóa),Em không biết làm sao để ra dãy 101 cho số 5 ạ.,"[{""turn_index"":2,""role"":""tutor"",""content"":""Hãy dùng phương pháp chia đôi dãy số từ 0 đến 7 nhé. Bước 1: Chia dãy số thành hai nửa và Số 5 nằm bên nào?""},{""turn_index"":3,""role"":""student"",""content"":""Dạ bên phải. Ghi số 1 ạ.""},{""turn_index"":4,""role"":""tutor"",""content"":""Đúng! Bước 2: Chia tiếp dãy chứa số 5 thành hai nửa và Số 5 ở đâu?""},{""turn_index"":5,""role"":""student"",""content"":""Dạ bên trái. Ghi số 0 ạ.""}]",Thực hiện mã hóa số 5 thành dãy bit (sử dụng 3 bit).,101,true,4,"grade=6;history=yes;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0087-STT2-AI02,HNMU-G6-R0087-STT2,6,Bài 7: Tìm kiếm thông tin trên Internet,Mục 1. Máy tìm kiếm (Tr. 32),Nhận biết (Nêu được tên),Ngoài Google ra còn có máy tìm kiếm nào khác không thầy?,[],Kể tên một số máy tìm kiếm phổ biến mà em biết.,"Một số máy tìm kiếm: Google, Yahoo, Bing, Cốc Cốc....",false,0,"grade=6;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0192-STT9-AI02,HNMU-G6-R0192-STT9,6,Bài 14: Hoàn thiện sổ lưu niệm,"Mục 1, Trang 54",Thông hiểu (Phân biệt khái niệm),"Thầy ơi, em đang chỉnh màu chữ thì có gọi là biên tập nội dung không ạ?",[],"Phân biệt giữa ""biên tập nội dung"" và ""định dạng"" trong quá trình làm sổ?","Biên tập là chỉnh sửa, bổ sung nội dung chữ; Định dạng là thay đổi cách thể hiện (phông chữ, màu sắc, căn lề).",false,0,"grade=6;history=no;diversified_by=bloom,lesson;family_unique=yes"
BC-HNMU-G6-R0117-STT4-AI04,HNMU-G6-R0117-STT4,6,Bài 9: An toàn thông tin trên Internet,Mục 1. Tình huống (Tr. 42),Thông hiểu (Giải thích được lý do),"Thầy ơi, sao bạn Minh có phần mềm diệt virus rồi mà vẫn bị hỏng máy ạ?","[{""turn_index"":2,""role"":""tutor"",""content"":""Em đọc kỹ đoạn hội thoại trang 42 nhé. Khi máy tính đưa ra \""cảnh báo\"" lúc cài đặt, bạn Minh đã làm gì?""},{""turn_index"":3,""role"":""student"",""content"":""Bạn ấy đã \""háo hức\"" nên bỏ qua cảnh báo ạ.""}]",Tại sao bạn Minh trong tình huống lại bị mất dữ liệu ảnh?,"Vì bạn Minh đã tải phần mềm lạ từ mạng và cài đặt mà bỏ qua cảnh báo của phần mềm diệt virus, dẫn đến máy bị nhiễm mã độc,.",true,2,"grade=6;history=yes;diversified_by=bloom,lesson;family_unique=yes"
