sample_id,grade,lesson,position,evidence_fragment_id,evidence_material_type,evidence_lesson_title,evidence_page_start,evidence_source_markdown_path,evidence_status,evidence_match_reason,needs_learning_resource_review,consistency_issue_codes
HNMU-G6-R0002-STT1,6,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 6 SGK",LM-SGK-TIN6-0001#F0003,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G6-R0003-STT2,6,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 6 SGK",LM-SGK-TIN6-0001#F0003,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G6-R0004-STT3,6,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 6 SGK",LM-SGK-TIN6-0001#F0005,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,6,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo câu hỏi và metadata bài học.,false,
HNMU-G6-R0005-STT4,6,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 6 SGK",LM-SGK-TIN6-0001#F0006,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,6,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G6-R0006-STT5,6,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 5 SGK",LM-SGK-TIN6-0001#F0004,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G6-R0007-STT6,6,Bài 1. Thông tin và dữ liệu,"Hoạt động 1, Trang 6 SGK",LM-SGK-TIN6-0001#F0004,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G6-R0008-STT7,6,Bài 1. Thông tin và dữ liệu,"Mục 2, Trang 7 SGK",LM-SGK-TIN6-0001#F0008,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,6,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo đáp án SGV và metadata bài học.,false,
HNMU-G6-R0009-STT8,6,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 7 SGK",LM-SGK-TIN6-0001#F0004,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G6-R0010-STT9,6,Bài 1. Thông tin và dữ liệu,"Hoạt động 2, Trang 7 SGK",LM-SGK-TIN6-0001#F0004,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G6-R0011-STT10,6,Bài 1. Thông tin và dữ liệu,"Mục 2, Trang 6 SGK",LM-SGK-TIN6-0001#F0004,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
HNMU-G6-R0012-STT11,6,Bài 1. Thông tin và dữ liệu,"Luyện tập, Trang 7 SGK",LM-SGK-TIN6-0001#F0004,SGK,Bài 1. THÔNG TIN VÀ DỮ LIỆU,5,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,draft,Top-1 từ SQLite FTS theo tên bài học.,false,
