criterion_id,criterion_group,criterion_name,required_per_sample,checker_type,evidence_requirement,pass_condition,fail_or_uncertain_policy,default_reviewer_action,source_section,notes
RAW-STR-02,structure,Không thiếu trường lõi,true,agent_or_code,raw_row_fields,"Các trường câu hỏi, đáp án SGV và hội thoại đều có nội dung đủ để kiểm.",Thiếu câu hỏi hoặc hội thoại thường là fail; thiếu/không chắc đáp án SGV thì uncertain hoặc needs_human_review.,exclude_from_current_batch hoặc ask_hnmu_review tùy trường bị thiếu.,raw-dialogue-quality-checklist-v0.md#6,RAW-STR-01 là kiểm cấp batch nên không nằm trong registry cấp từng mẫu.
RAW-STR-03,structure,Có nhãn lượt nói,true,agent_or_code,raw_dialogue_text,Hội thoại có nhãn lượt nói hợp lệ như HS: và AI: hoặc pattern tương đương đã được duyệt.,"Nhãn lạ, thiếu nhãn hoặc không phân tách được lượt nói thì fail/uncertain tùy mức độ.",ask_hnmu_review hoặc exclude_from_current_batch nếu lỗi rõ.,raw-dialogue-quality-checklist-v0.md#6,Tiêu chí này bắt các lỗi như AII: trong dữ liệu thô.
RAW-STR-04,structure,Hội thoại đủ dài để kiểm,true,agent_or_code,raw_dialogue_text,Hội thoại có đủ lượt và đủ nội dung để đánh giá nhất quán/sư phạm.,Hội thoại trống hoặc quá ngắn thì fail/uncertain.,ask_hnmu_review hoặc exclude_from_current_batch.,raw-dialogue-quality-checklist-v0.md#6,Không áp dụng RAW-STR-05/06 ở cấp từng mẫu vì đó là ràng buộc truy vết/quy trình.
RAW-CON-01,consistency,Câu hỏi khớp bài/vị trí,true,agent_with_retrieval,SGK_or_SGV_fragment,"Câu hỏi thuộc đúng bài, mục hoặc vùng học liệu mà metadata ghi.",Không tìm được evidence hoặc evidence mơ hồ thì uncertain; lệch rõ bài/vị trí thì fail.,ask_hnmu_review hoặc needs_uet_decision.,raw-dialogue-quality-checklist-v0.md#7,SGK là evidence chính; SGV có thể dùng phụ khi câu hỏi lấy từ SGV.
RAW-CON-02,consistency,Đáp án SGV khớp câu hỏi,true,agent_with_retrieval,SGV_fragment_or_answer_field,Đáp án SGV trả lời đúng và đủ cho câu hỏi trong dữ liệu thô.,Thiếu SGV/evidence thì uncertain; đáp án mâu thuẫn câu hỏi thì fail.,ask_hnmu_review hoặc needs_sgv_verification.,raw-dialogue-quality-checklist-v0.md#7,"Nếu SGV fragment còn draft, confidence phải thận trọng."
RAW-CON-03,consistency,Hội thoại bám câu hỏi,true,agent,raw_question_and_dialogue,Hội thoại giải quyết đúng vấn đề học sinh nêu trong câu hỏi.,Lệch rõ thì fail; bám chưa đủ rõ thì uncertain.,ask_hnmu_review hoặc exclude_from_current_batch nếu lệch rõ.,raw-dialogue-quality-checklist-v0.md#7,Không yêu cầu hội thoại là mẫu benchmark hoàn chỉnh.
RAW-CON-04,consistency,Hội thoại bám đáp án,true,agent_with_retrieval,answer_sgv_and_optional_SGV_fragment,Gia sư hướng học sinh tới hiểu biết/lời giải không mâu thuẫn đáp án SGV.,Mâu thuẫn rõ thì fail; chưa đủ evidence thì uncertain.,ask_hnmu_review hoặc needs_sgv_verification.,raw-dialogue-quality-checklist-v0.md#7,"Tiêu chí này khác RAW-CON-02: kiểm hội thoại, không chỉ kiểm trường đáp án."
RAW-CON-05,consistency,Mức nhận thức hợp lý,true,agent_with_rule,question_and_bloom_level,Mức nhận thức khớp với yêu cầu trong câu hỏi/nhiệm vụ.,Mức nhận thức không rõ hoặc có dấu hiệu lệch thì uncertain; chỉ fail khi lệch rất rõ theo quy tắc đã duyệt.,ask_hnmu_review.,raw-dialogue-quality-checklist-v0.md#7,"Hiện dùng 3 mức: Nhận biết, Thông hiểu, Vận dụng."
RAW-CON-06,consistency,Không bịa học liệu,true,agent_with_retrieval,SGK_or_SGV_fragment,Hội thoại không nêu nội dung không có căn cứ hoặc trái với SGK/SGV liên quan.,Có dấu hiệu bịa/lệch học liệu thì uncertain hoặc fail tùy mức chắc chắn.,ask_hnmu_review hoặc needs_learning_resource_review.,raw-dialogue-quality-checklist-v0.md#7,Tiêu chí này bắt buộc ở cấp từng mẫu; shard 01/03 trước đó thiếu tiêu chí này.
RAW-CON-07,consistency,Nhất quán metadata,true,agent_with_registry,raw_metadata_and_learning_resource_registry,"Chủ đề, bài học, vị trí, câu hỏi, đáp án và hội thoại nói về cùng một nội dung.",Lệch rõ thì fail; metadata/học liệu mơ hồ thì uncertain.,ask_hnmu_review hoặc needs_uet_decision.,raw-dialogue-quality-checklist-v0.md#7,Tiêu chí này bắt buộc ở cấp từng mẫu; shard 01/03 trước đó thiếu tiêu chí này.
RAW-PED-01,pedagogy,Có dấu hiệu dàn giáo,true,agent_with_scaffolding_reference,dialogue_and_hnmu_scaffolding_note,Gia sư có hỏi/gợi mở/kiểm tra hiểu biết hoặc hỗ trợ theo tinh thần dàn giáo.,Thiếu hoàn toàn dấu hiệu dàn giáo thì uncertain hoặc fail nếu hội thoại không có giá trị.,ask_hnmu_review.,raw-dialogue-quality-checklist-v0.md#8,Dùng bản Markdown chuẩn hóa phương pháp dàn giáo HNMU làm nguồn chính.
