sample_id,criterion_id,criterion_group,criterion_name,result,confidence_score,evidence_fragment_id,evidence_source,evidence_match_reason,reason,suggested_reviewer_action,checked_by,checked_at
HNMU-G6-R0002-STT1,RAW-STR-02,structure,Không thiếu trường lõi,pass,0.93,,,Kiểm trực tiếp trên dòng normalized.,"Câu hỏi, đáp án SGV và hội thoại đều có nội dung.",keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-STR-03,structure,Có nhãn lượt nói,pass,0.90,,,Kiểm nhãn đầu dòng trong hội thoại.,Hội thoại có nhãn HS/AI hợp lệ.,keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-STR-04,structure,Hội thoại đủ dài để kiểm,pass,0.88,,,Đếm lượt nói và độ dài hội thoại.,"Hội thoại có 6 lượt nói, đủ để kiểm sơ bộ.",keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-CON-01,consistency,Câu hỏi khớp bài/vị trí,pass,0.76,LM-SGK-TIN6-0001#F0003,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,Dùng top fragment từ metadata_consistency_flags.csv theo câu hỏi/đáp án và metadata bài học.,Câu hỏi có evidence cùng lớp/bài/vị trí đủ dùng cho audit shard; vì fragment còn trạng thái draft nên confidence không đặt quá cao.,keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-CON-02,consistency,Đáp án SGV khớp câu hỏi,uncertain,0.52,LM-SGK-TIN6-0001#F0003,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,Không có fragment SGV đủ chắc; dùng SGK hoặc evidence metadata như căn cứ phụ.,Có đáp án SGV trong raw data nhưng retrieval chưa tìm được SGV tương ứng đủ chắc.,ask_hnmu_review,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-CON-03,consistency,Hội thoại bám câu hỏi,pass,0.76,LM-SGK-TIN6-0001#F0003,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,So khớp từ khóa giữa câu hỏi/đáp án và hội thoại.,Hội thoại có từ khóa/nội dung liên quan trực tiếp tới câu hỏi hoặc đáp án.,keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-CON-04,consistency,Hội thoại bám đáp án,pass,0.73,LM-SGK-TIN6-0001#F0003,shared/learning_resources/ocr_text/sgk_tin_hoc_6/tin_6_bai_1/tin_6_bai_1.md,So khớp từ khóa giữa đáp án SGV và hội thoại.,Hội thoại hướng tới nội dung trong đáp án SGV.,keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-CON-05,consistency,Mức nhận thức hợp lý,pass,0.70,,,So khớp heuristic giữa động từ câu hỏi và Mức Bloom.,"Mức raw là Nhận biết, phù hợp sơ bộ với dạng câu hỏi.",keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-PED-01,pedagogy,Có dấu hiệu dàn giáo,pass,0.78,,,Đếm câu hỏi/gợi mở và cue dàn giáo trong lượt AI.,"Gia sư có dấu hiệu hỏi/gợi mở, chia nhỏ hoặc kiểm tra hiểu biết trước khi kết luận.",keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
HNMU-G6-R0002-STT1,RAW-PED-02,pedagogy,Không lộ đáp án quá sớm,pass,0.74,,,So khớp lượt AI đầu với đáp án SGV.,Lượt AI đầu không có dấu hiệu đưa thẳng toàn bộ đáp án.,keep,hnmu-dialogue-auditor(single-agent-shard-01),2026-07-17T23:19:58+07:00
