benchmark_candidate_id,sample_id,grade,lesson,position,bloom_level,student_prompt,conversation_history,source_question,gold_answer,focus_principle_id,case_type,expected_score_min,expected_score_max,case_origin,source_candidate_id,boundary_rationale,uet_status
CAL-CHA-P01,CAL-S-CHA-P01,6,Thuật toán,Mục calibration,Vận dụng,"Em đã làm đúng ba bài tìm giá trị lớn nhất rồi. Cho em một bài khó hơn có dữ liệu bị trùng và số âm để em tự thử nhé.",[],"Vận dụng thuật toán tìm giá trị lớn nhất trong trường hợp mới.","Cần xét đầy đủ số âm và xử lí đúng khi các giá trị bằng nhau.",PRINCIPLE-CHALLENGE,positive,4,5,controlled_contrast,,"Học sinh đã làm chủ mức hiện tại và chủ động cần một yêu cầu nhận thức cao hơn.",pending_review
CAL-CHA-P02,CAL-S-CHA-P02,7,Cấu trúc rẽ nhánh,Mục calibration,Vận dụng cao,"Em đã viết được điều kiện kiểm tra một trường hợp. Thầy cô hãy cho em tình huống có nhiều điều kiện xung đột để em tự thiết kế cách xử lí.",[],"Thiết kế rẽ nhánh cho tình huống có nhiều điều kiện.","Phải xác định thứ tự ưu tiên và bao phủ các trường hợp biên.",PRINCIPLE-CHALLENGE,positive,4,5,controlled_contrast,,"Nhu cầu chính là nâng độ khó vừa sức sau khi học sinh đã thực hiện được dạng cơ bản.",pending_review
CAL-CHA-P03,CAL-S-CHA-P03,9,Giải quyết vấn đề với máy tính,Mục calibration,Phân tích,"Hai cách sắp xếp này đều chạy đúng. Em muốn tự so sánh xem cách nào tốt hơn khi dữ liệu rất lớn.",[],"So sánh hai giải pháp theo hiệu quả và điều kiện sử dụng.","Cần phân tích số phép xử lí và giới hạn của từng giải pháp.",PRINCIPLE-CHALLENGE,positive,4,5,controlled_contrast,,"Học sinh cần được duy trì ở nhiệm vụ phân tích cao hơn thay vì nhận một đáp án trực tiếp.",pending_review
CAL-CHA-N01,CAL-S-CHA-N01,6,Mạng máy tính,Mục calibration,Nhận biết,"Em chưa hiểu mạng máy tính là gì. Thầy cô giải thích giúp em bằng lời đơn giản nhé.",[],"Nêu khái niệm mạng máy tính.","Mạng máy tính là hai hay nhiều máy tính và thiết bị được kết nối để trao đổi dữ liệu.",PRINCIPLE-CHALLENGE,near_miss,1,3,controlled_contrast,,"Học sinh đang thiếu hiểu biết nền tảng nên tăng độ khó không phải nhu cầu bắt buộc.",pending_review
CAL-CHA-N02,CAL-S-CHA-N02,8,Bảng tính điện tử,Mục calibration,Thông hiểu,"Bài này có nhiều công thức nên em thấy rất khó. Em chưa biết vì sao phải dùng địa chỉ tuyệt đối.",[],"Giải thích vai trò của địa chỉ tuyệt đối.","Địa chỉ tuyệt đối không thay đổi khi sao chép công thức.",PRINCIPLE-CHALLENGE,near_miss,1,3,controlled_contrast,,"Độ khó bề mặt của chủ đề không chứng minh nhu cầu tăng thử thách.",pending_review
CAL-CHA-N03,CAL-S-CHA-N03,7,Lập trình trực quan,Mục calibration,Vận dụng,"Em đang rối vì chưa tìm thấy khối lệnh cần dùng và không biết bắt đầu từ đâu.",[],"Tạo chương trình điều khiển nhân vật di chuyển.","Cần chọn khối lệnh sự kiện và khối lệnh chuyển động phù hợp.",PRINCIPLE-CHALLENGE,near_miss,1,3,controlled_contrast,,"Học sinh đang quá tải và cần hỗ trợ nền tảng chứ chưa cần nâng yêu cầu nhận thức.",pending_review
CAL-EXP-P01,CAL-S-EXP-P01,6,Internet,Mục calibration,Thông hiểu,"Em tưởng Internet và World Wide Web là cùng một thứ. Vì sao lại nói chúng khác nhau ạ?",[],"Phân biệt Internet và World Wide Web.","Internet là hạ tầng kết nối mạng còn Web là một dịch vụ hoạt động trên Internet.",PRINCIPLE-EXPLANATION,positive,4,5,controlled_contrast,,"Có một hiểu sai khái niệm và quan hệ giữa hai đối tượng cần được làm rõ.",pending_review
CAL-EXP-P02,CAL-S-EXP-P02,8,Bảng tính điện tử,Mục calibration,Thông hiểu,"Em sao chép công thức xuống dưới thì địa chỉ A1 đổi thành A2. Vì sao máy lại tự đổi như vậy?",[],"Giải thích sự thay đổi của địa chỉ tương đối khi sao chép công thức.","Địa chỉ tương đối thay đổi theo vị trí mới của công thức.",PRINCIPLE-EXPLANATION,positive,4,5,controlled_contrast,,"Học sinh hỏi nguyên nhân của cơ chế và cần hiểu quan hệ vị trí.",pending_review
CAL-EXP-P03,CAL-S-EXP-P03,9,An toàn thông tin,Mục calibration,Thông hiểu,"Em biết mật khẩu dài thường tốt hơn nhưng chưa hiểu vì sao thêm nhiều loại kí tự lại làm mật khẩu khó đoán hơn.",[],"Giải thích tác dụng của độ dài và độ đa dạng kí tự.","Không gian khả năng tăng lên khi mật khẩu dài và dùng nhiều loại kí tự.",PRINCIPLE-EXPLANATION,positive,4,5,controlled_contrast,,"Học sinh cần làm rõ quan hệ nhân quả chứ không chỉ cần kết luận.",pending_review
CAL-EXP-N01,CAL-S-EXP-N01,6,Tìm kiếm thông tin,Mục calibration,Nhận biết,"Hãy kể tên ba máy tìm kiếm phổ biến.",[],"Kể tên ba máy tìm kiếm.","Có thể nêu Google Bing và Yahoo.",PRINCIPLE-EXPLANATION,near_miss,1,3,controlled_contrast,,"Nhiệm vụ chỉ yêu cầu kể tên nên không bắt buộc làm rõ khái niệm hay lí do.",pending_review
